CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42963527,42963427,42963430,42963431,42963439,42963447,,51.91,38.5,52.4,68.3125,78.2,93.25,116.1055,139.695,50000,2,0,83.73800988,79.3573154,81.79589271,77.41519823,267.533692,78.36439512,73.98370063,76.42227795,72.04158346,17.97249856,12.47882769
42963516,42963430,42963435,42963441,42963445,42963495,,52.12,41.5375,54.35,66.4,73.1825,85.21,97.73125,142.42,49100,2,0,74.22317267,67.99717318,70.58459903,64.35859954,267.5289586,70.09946879,63.8734693,66.46089515,60.23489566,23.29676403,-2.022034489
42963516,42963435,42963438,42963439,42963447,42963495,,51.97,41.36875,52.95,64.6375,71.80375,82.72625,95.776,138.62,46500,2,0,73.46370049,67.25801325,69.76796772,63.56228048,267.4746416,69.62956985,63.42388261,65.93383708,59.72814984,22.65717356,10.03909186
42963516,42963435,42963436,42963442,42963447,42963448,,51.97,41.66875,54.3125,66.9875,73.315,86.0775,99.459,139.34,46100,2,0,75.22888977,69.30006176,71.82302047,65.89419246,267.4486331,71.06588295,65.13705495,67.66001365,61.73118565,22.83869262,-12.80516535
42963522,42963427,42963435,42963436,42963440,42963495,,51.56,39.6,49.85,61.5625,68.45,81.115,96.851,131.425,48700,2,0,74.69435328,69.1390649,71.40333328,65.8480449,267.4010125,71.19256814,65.63727976,67.90154814,62.34625976,18.77904589,47.63381779
42963516,42963433,42963436,42963437,42963441,42963495,,51.9,42.84375,54.7375,66.95,73.59,85.435,101.251,139.77,49700,2,0,76.02472248,70.23570474,72.76854336,66.97952562,267.3312188,71.68238576,65.89336802,68.42620664,62.6371889,22.83942046,-3.803441674
42963516,42963437,42963439,42963441,42963445,42963448,,52.15,40.4,55.05,70.475,80.865,99.05,117.03475,148.46,45500,2,0,83.27535248,78.38494163,81.09565911,76.20524825,267.3242273,77.32289341,72.43248256,75.14320004,70.25278918,24.41539131,8.10276866
42963527,42963427,42963429,42963437,42963439,42963450,,51.52,38.15,52.025,67.9625,76.5225,93.9025,116.4585,140.17,47600,2,0,83.60493361,79.30367206,81.75105191,77.44979036,266.9720116,78.11667577,73.81541422,76.26279407,71.96153252,18.06258919,4.72064279
42963516,42963429,42963438,42963441,42963442,42963450,,51.59,39.2,54.025,70.3125,79.62875,93.92875,111.357,141.705,48900,2,0,80.6375328,75.65498356,78.22714555,73.24459631,266.8201019,75.33143408,70.34888484,72.92104683,67.9384976,23.19421341,3.571791947
42963516,42963431,42963439,42963441,42963442,42963449,,51.44,38.325,53.6625,72.13125,80.65375,96.23625,114.6135,141.395,48300,2,0,82.15476185,77.47370971,80.04209934,75.3610472,266.6183868,76.56225546,71.88120332,74.44959295,69.76854081,22.97018143,18.27491522
