PG,PG,SG,SG,SF,SF,PF,PF,C,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128363-145331,128363-110356,128363-145548,128363-80817,128363-171784,128363-67026,128363-233146,128363-84695,128363-157825,296.80,59900,11.02,381.07,4.9272,0.0320
128363-19067,128363-157812,128363-203761,128363-157833,128363-84670,128363-84667,128363-145341,128363-171795,128363-228166,290.10,57300,9.21,362.71,0.2200,0.0030
128363-110312,128363-145323,128363-145548,128363-161552,128363-49675,128363-188464,128363-157822,128363-110357,128363-80817,295.50,59900,11.69,384.32,2.5461,0.0223
128363-188405,128363-157850,128363-157908,128363-60021,128363-228118,128363-203798,128363-84695,128363-158855,128363-157811,281.30,58400,6.87,360.32,1.5681,0.0057
128363-110312,128363-145331,128363-145548,128363-60021,128363-84667,128363-20640,128363-58153,128363-67026,128363-203771,293.80,58800,8.52,379.29,5.2540,0.0223
128363-158373,128363-145331,128363-157833,128363-70823,128363-84670,128363-157850,128363-203761,128363-171795,128363-159097,310.20,60000,13.53,391.88,2.4196,0.0263
128363-145331,128363-145323,128363-49675,128363-188464,128363-12341,128363-84695,128363-60021,128363-203761,128363-157825,321.60,59800,20.40,411.18,15.6820,0.0953
128363-171784,128363-145331,128363-145323,128363-188464,128363-67026,128363-171795,128363-158855,128363-203761,128363-188451,312.90,60000,18.85,403.79,7.8735,0.0563
128363-84667,128363-188405,128363-203761,128363-171795,128363-203718,128363-179762,128363-157833,128363-12341,128363-157811,307.10,59900,18.82,397.56,2.2645,0.0287
128363-203733,128363-158373,128363-157908,128363-194829,128363-203718,128363-228127,128363-157833,128363-9646,128363-228122,277.00,58000,5.05,345.56,0.2259,0.0040
128363-171784,128363-179762,128363-188464,128363-145334,128363-203761,128363-12341,128363-171770,128363-171795,128363-157811,301.20,58900,18.94,394.15,5.3416,0.0313
128363-145331,128363-179762,128363-145323,128363-213216,128363-203761,128363-12341,128363-60021,128363-58462,128363-157825,323.20,59900,21.74,415.36,18.3333,0.1037
128363-179762,128363-145331,128363-12341,128363-58462,128363-171672,128363-110356,128363-188422,128363-84695,128363-145304,295.10,59600,11.32,385.17,4.0325,0.0240
128363-49675,128363-203733,128363-228124,128363-179762,128363-80808,128363-84695,128363-60021,128363-80817,128363-157825,292.30,58700,9.29,385.68,3.7618,0.0210
128363-203798,128363-110312,128363-60021,128363-194829,128363-145323,128363-157850,128363-9714,128363-67026,128363-15557,294.00,59700,10.83,381.54,1.9381,0.0113
128363-203721,128363-203733,128363-68090,128363-80817,128363-84670,128363-157826,128363-171795,128363-80808,128363-188451,278.00,59100,6.32,365.86,4.5752,0.0133
128363-179762,128363-145323,128363-188464,128363-84667,128363-157833,128363-203761,128363-80817,128363-58462,128363-157825,322.30,59900,24.86,417.64,12.2873,0.0963
128363-179762,128363-228161,128363-171795,128363-157833,128363-157850,128363-203802,128363-67026,128363-145334,128363-58378,295.20,59300,11.44,375.92,1.0962,0.0123
128363-84667,128363-157850,128363-145323,128363-188464,128363-171770,128363-84670,128363-80817,128363-60021,128363-203771,310.20,60000,16.81,407.09,4.9221,0.0427
