PG,PG,SG,SG,SF,SF,PF,PF,C,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128363-228133,128363-145331,128363-203718,128363-228118,128363-40562,128363-171795,128363-58462,128363-70823,128363-60021,302.00,60000,15.72,397.91,6.1382,0.0450
128363-19067,128363-145331,128363-80817,128363-171795,128363-203727,128363-188405,128363-84670,128363-233146,128363-157846,288.40,59800,7.36,370.78,2.2792,0.0163
128363-145335,128363-203718,128363-171769,128363-70823,128363-188464,128363-188405,128363-67026,128363-40562,128363-60021,289.00,58200,8.88,369.42,1.6029,0.0083
128363-203718,128363-145331,128363-179762,128363-145323,128363-68090,128363-12341,128363-58462,128363-60021,128363-188451,315.10,59900,21.28,414.32,18.0542,0.1033
128363-145331,128363-179762,128363-145323,128363-188464,128363-145341,128363-157833,128363-60021,128363-80817,128363-159097,319.40,59600,18.71,415.95,14.1257,0.0900
128363-49675,128363-145331,128363-157822,128363-158855,128363-145323,128363-188464,128363-145341,128363-12341,128363-15557,302.40,59800,12.67,390.47,6.6570,0.0440
128363-179762,128363-228161,128363-40562,128363-80817,128363-49675,128363-171784,128363-68090,128363-84670,128363-58462,297.90,59800,13.71,383.70,3.7006,0.0270
128363-158373,128363-171784,128363-157822,128363-171770,128363-203777,128363-49675,128363-84695,128363-228124,128363-159097,284.40,58800,4.56,351.04,1.1298,0.0023
128363-228161,128363-171784,128363-157850,128363-145323,128363-80808,128363-84695,128363-80817,128363-60021,128363-188451,307.80,60000,11.85,392.23,4.0794,0.0237
128363-110312,128363-158373,128363-58462,128363-60021,128363-203798,128363-20640,128363-49116,128363-80808,128363-158137,277.60,57200,3.73,353.68,1.4067,0.0037
128363-203718,128363-171784,128363-145323,128363-84667,128363-84670,128363-84695,128363-203761,128363-157833,128363-60021,317.50,59600,18.42,397.85,4.1540,0.0380
128363-145331,128363-179762,128363-84667,128363-188464,128363-157822,128363-84695,128363-60021,128363-70823,128363-58462,321.40,59700,22.93,416.32,15.1586,0.0920
128363-157850,128363-145323,128363-84667,128363-188464,128363-203761,128363-171795,128363-58462,128363-68090,128363-60021,319.50,60000,22.99,417.15,13.4254,0.0817
128363-179762,128363-145331,128363-157850,128363-188464,128363-145334,128363-84695,128363-203761,128363-171795,128363-58462,313.10,59300,19.87,407.36,10.9103,0.0603
128363-145331,128363-203718,128363-179762,128363-228161,128363-12341,128363-203761,128363-171770,128363-60021,128363-84676,311.70,59500,15.91,397.84,6.7953,0.0397
128363-145335,128363-145323,128363-188452,128363-60021,128363-188464,128363-110312,128363-157833,128363-203761,128363-157825,311.60,59500,16.93,395.76,4.4348,0.0250
128363-145323,128363-179762,128363-203718,128363-84667,128363-12341,128363-157833,128363-60021,128363-70823,128363-80817,316.10,59800,23.90,415.08,13.4921,0.0897
128363-179762,128363-19067,128363-171784,128363-203798,128363-203761,128363-188452,128363-171770,128363-171795,128363-58462,298.70,59800,14.03,382.95,3.8686,0.0150
128363-145323,128363-84667,128363-188452,128363-58153,128363-110357,128363-49675,128363-179512,128363-157822,128363-228166,285.00,59300,7.81,362.93,1.5115,0.0090
128363-110312,128363-228161,128363-228117,128363-58153,128363-110357,128363-84670,128363-68090,128363-171795,128363-157908,278.10,58100,6.70,351.00,1.1712,0.0023
128363-80816,128363-157812,128363-58462,128363-40562,128363-19067,128363-110357,128363-9714,128363-84695,128363-58378,275.70,57300,5.96,348.21,1.5534,0.0070
128363-145323,128363-179762,128363-194829,128363-80808,128363-157850,128363-228161,128363-157833,128363-171770,128363-157825,300.10,59000,15.05,385.42,2.2993,0.0197
128363-145323,128363-145331,128363-179512,128363-228117,128363-80816,128363-84667,128363-110357,128363-84670,128363-157846,275.40,57700,4.47,360.74,1.8120,0.0093
128363-179762,128363-145331,128363-145323,128363-188464,128363-110357,128363-12341,128363-58462,128363-194829,128363-60021,316.60,59900,27.24,423.10,23.3041,0.1290
128363-145331,128363-179762,128363-145323,128363-84667,128363-158855,128363-12341,128363-80817,128363-145339,128363-60021,312.00,60000,21.28,419.12,25.3838,0.1213
128363-110312,128363-228168,128363-228117,128363-228122,128363-203713,128363-157850,128363-157822,128363-203761,128363-110359,275.40,59300,2.18,334.56,0.9035,0.0010
128363-110312,128363-203721,128363-194829,128363-145308,128363-228133,128363-110356,128363-157833,128363-80808,128363-15557,281.20,60000,6.54,360.78,1.7826,0.0100
128363-179762,128363-157850,128363-157833,128363-188422,128363-9714,128363-203718,128363-157826,128363-12341,128363-84676,280.20,57400,8.54,361.40,0.4379,0.0043
128363-19067,128363-110356,128363-68090,128363-70823,128363-171784,128363-228161,128363-67026,128363-188452,128363-80817,293.90,59900,11.35,366.98,1.5065,0.0050
128363-157850,128363-203721,128363-80817,128363-145304,128363-145323,128363-188405,128363-188422,128363-158855,128363-188451,282.40,58800,7.10,368.81,0.8993,0.0113
128363-179762,128363-145331,128363-110356,128363-157850,128363-171795,128363-158855,128363-80817,128363-60021,128363-159097,308.60,60000,17.67,411.24,9.6917,0.0583
128363-145331,128363-179762,128363-84667,128363-188464,128363-84695,128363-171795,128363-60021,128363-80817,128363-58462,321.80,60000,24.05,429.58,33.1714,0.1773
128363-145323,128363-158373,128363-67026,128363-84667,128363-80808,128363-203761,128363-60021,128363-70823,128363-159097,317.40,59900,14.44,395.98,9.5991,0.0467
128363-84667,128363-145331,128363-188464,128363-179762,128363-12341,128363-203761,128363-194829,128363-60021,128363-58462,321.00,59800,27.55,427.26,28.6981,0.1507
128363-84667,128363-145331,128363-84670,128363-179762,128363-203761,128363-171795,128363-80817,128363-194829,128363-60021,316.70,60000,24.09,422.50,18.8157,0.1080
128363-110356,128363-158373,128363-145339,128363-58462,128363-160182,128363-228133,128363-145334,128363-12341,128363-145304,281.00,59400,4.99,354.81,1.5329,0.0060
128363-110312,128363-145331,128363-68090,128363-188452,128363-228133,128363-80816,128363-203761,128363-58153,128363-203771,292.50,59800,7.62,367.95,1.9850,0.0117
128363-158373,128363-145331,128363-179762,128363-145323,128363-157822,128363-188418,128363-60021,128363-80817,128363-159097,317.50,59900,13.69,402.42,7.2118,0.0453
128363-110312,128363-203789,128363-171795,128363-80817,128363-171784,128363-213216,128363-9714,128363-157822,128363-84676,287.60,58600,7.15,354.91,1.3472,0.0057
128363-203721,128363-157850,128363-60021,128363-157822,128363-228161,128363-110312,128363-171795,128363-188416,128363-15557,284.30,57800,6.85,367.05,1.1947,0.0020
128363-228133,128363-19067,128363-145339,128363-9646,128363-188464,128363-110356,128363-157833,128363-110357,128363-145548,287.00,60000,10.90,369.56,3.0972,0.0150
128363-171784,128363-110312,128363-188444,128363-157833,128363-203777,128363-145323,128363-84695,128363-49116,128363-157811,287.10,58900,5.54,356.86,1.6066,0.0060
128363-145331,128363-179762,128363-84667,128363-188464,128363-171770,128363-171795,128363-60021,128363-12341,128363-188451,312.20,59600,23.44,422.14,29.0266,0.1303
128363-145323,128363-228133,128363-145314,128363-158855,128363-80816,128363-188464,128363-80808,128363-84670,128363-80817,290.50,59400,9.46,379.18,3.8598,0.0190
128363-158373,128363-157812,128363-203761,128363-58462,128363-171784,128363-84667,128363-188444,128363-157833,128363-171925,292.50,58700,5.34,363.95,1.3150,0.0040
128363-145323,128363-145331,128363-179762,128363-188464,128363-157833,128363-203761,128363-60021,128363-171795,128363-188451,324.70,60000,24.36,423.54,23.4373,0.1323
128363-158373,128363-145331,128363-70823,128363-9646,128363-228161,128363-49675,128363-49116,128363-158855,128363-80817,296.10,59300,8.62,373.80,2.2029,0.0137
128363-157832,128363-158373,128363-80817,128363-157822,128363-19067,128363-84670,128363-228127,128363-157833,128363-188451,290.80,60000,5.05,357.34,3.1127,0.0070
128363-203718,128363-157850,128363-171770,128363-60021,128363-188464,128363-49675,128363-228127,128363-9646,128363-70823,295.70,59400,13.55,386.44,2.6618,0.0177
128363-179762,128363-171784,128363-58462,128363-157822,128363-213216,128363-228161,128363-110357,128363-157833,128363-15557,301.20,59800,11.59,378.05,1.8648,0.0087
128363-145323,128363-145331,128363-84667,128363-188464,128363-203761,128363-158855,128363-80817,128363-60021,128363-188451,321.60,60000,20.53,420.40,21.0697,0.1210
128363-145323,128363-145331,128363-67026,128363-213216,128363-171795,128363-84695,128363-203761,128363-60021,128363-159097,320.60,59800,15.71,402.76,10.5965,0.0580
128363-145323,128363-228161,128363-110356,128363-157850,128363-203761,128363-84695,128363-157822,128363-80817,128363-188451,308.60,59900,11.53,381.84,1.3958,0.0167
128363-158373,128363-145331,128363-179762,128363-188464,128363-203761,128363-157822,128363-58462,128363-60021,128363-159097,325.40,60000,18.01,412.14,12.6381,0.0803
128363-145331,128363-179762,128363-188464,128363-145323,128363-171795,128363-157833,128363-60021,128363-203761,128363-157825,325.50,59600,26.72,422.32,29.0119,0.1393
128363-157850,128363-158373,128363-188424,128363-171770,128363-110357,128363-145323,128363-157822,128363-58153,128363-70823,291.00,60000,7.36,366.37,1.6703,0.0110
128363-145331,128363-203718,128363-84667,128363-179762,128363-203761,128363-171795,128363-58462,128363-60021,128363-15557,312.60,58800,20.73,415.32,15.0954,0.0843
128363-171784,128363-179762,128363-157833,128363-145314,128363-188464,128363-110312,128363-228127,128363-12341,128363-188451,287.80,57100,13.38,379.03,1.8266,0.0097
128363-157850,128363-84667,128363-145323,128363-188464,128363-171795,128363-67026,128363-60021,128363-58462,128363-159097,316.00,60000,22.13,417.04,15.9360,0.0770
128363-203721,128363-145331,128363-179762,128363-84667,128363-12341,128363-203761,128363-70823,128363-80817,128363-58378,306.70,60000,15.12,402.43,8.5259,0.0517
128363-158373,128363-145323,128363-49116,128363-80817,128363-19067,128363-188405,128363-84724,128363-9646,128363-145548,277.40,57700,4.89,348.72,0.3767,0.0023
128363-145331,128363-145323,128363-84667,128363-188464,128363-203761,128363-188418,128363-80817,128363-70823,128363-60021,321.90,59900,20.52,416.14,19.0788,0.1067
128363-145331,128363-145489,128363-40562,128363-157822,128363-80816,128363-203718,128363-58153,128363-84670,128363-58378,274.40,58100,5.26,349.34,1.5886,0.0073
128363-145331,128363-171784,128363-171795,128363-157851,128363-49675,128363-171672,128363-158855,128363-68090,128363-188451,279.30,57500,9.10,367.06,1.6523,0.0120
128363-49675,128363-188405,128363-157908,128363-157833,128363-203798,128363-228118,128363-228124,128363-233146,128363-157825,274.70,60000,4.85,349.76,0.9558,0.0083
128363-84696,128363-188410,128363-228117,128363-157833,128363-145323,128363-84667,128363-157822,128363-171770,128363-203787,276.50,60000,3.42,350.71,0.2028,0.0020
128363-110312,128363-145331,128363-68090,128363-157908,128363-228161,128363-157850,128363-58153,128363-84695,128363-70823,294.90,59800,8.84,367.50,1.0091,0.0090
128363-179762,128363-145331,128363-40562,128363-80817,128363-188464,128363-145334,128363-188452,128363-145341,128363-58462,303.30,59600,15.56,398.72,3.9629,0.0343
128363-228133,128363-145323,128363-9646,128363-70823,128363-203798,128363-213216,128363-171770,128363-84670,128363-157846,279.20,57400,7.02,350.68,0.0880,0.0007
128363-188405,128363-171784,128363-188418,128363-145314,128363-228124,128363-145334,128363-188449,128363-203802,128363-60021,275.20,57200,5.82,353.71,0.9797,0.0013
128363-179762,128363-145323,128363-203718,128363-84667,128363-203761,128363-80808,128363-58462,128363-80817,128363-145548,308.20,59200,18.50,403.22,8.1308,0.0467
128363-145331,128363-145323,128363-179762,128363-84667,128363-203761,128363-158855,128363-60021,128363-80817,128363-70823,322.00,60000,22.80,419.72,30.3273,0.1263
128363-158373,128363-84667,128363-157822,128363-80817,128363-213216,128363-188405,128363-9646,128363-233146,128363-203730,285.40,59900,4.79,354.12,0.9881,0.0077
128363-157850,128363-145323,128363-49675,128363-179762,128363-203761,128363-67026,128363-60021,128363-194829,128363-58378,310.20,60000,18.66,403.69,6.5191,0.0490
128363-179762,128363-145323,128363-110357,128363-84667,128363-157833,128363-171770,128363-70823,128363-194829,128363-60021,311.90,60000,22.57,408.07,10.4238,0.0680
128363-203777,128363-145331,128363-158855,128363-145314,128363-19067,128363-110312,128363-203761,128363-171795,128363-157846,291.10,59200,7.34,369.07,1.1117,0.0023
128363-20640,128363-84667,128363-80817,128363-9646,128363-80816,128363-188405,128363-80808,128363-145341,128363-203787,274.30,59900,3.59,353.52,0.2112,0.0033
128363-84696,128363-145323,128363-194829,128363-157833,128363-9714,128363-145334,128363-145308,128363-9646,128363-228166,274.40,58300,4.94,345.70,1.0325,0.0023
128363-145323,128363-110356,128363-84667,128363-213216,128363-9646,128363-157833,128363-171795,128363-203761,128363-157825,311.40,60000,15.61,388.48,8.7472,0.0407
128363-157850,128363-145335,128363-9646,128363-203761,128363-188464,128363-80816,128363-171795,128363-157822,128363-203771,295.30,60000,8.48,375.09,1.8941,0.0157
128363-179762,128363-110312,128363-194829,128363-60021,128363-84667,128363-228161,128363-80808,128363-49116,128363-58462,297.00,57300,15.66,390.72,3.7237,0.0223
128363-84667,128363-145331,128363-80817,128363-203761,128363-19067,128363-188464,128363-12341,128363-158855,128363-203771,309.80,59800,15.52,399.33,8.0654,0.0507
128363-203721,128363-228161,128363-80808,128363-157822,128363-49675,128363-203802,128363-58153,128363-84670,128363-58378,280.10,58100,6.39,345.56,0.2292,0.0023
128363-110312,128363-145331,128363-161552,128363-40562,128363-67026,128363-179762,128363-188452,128363-9714,128363-70823,288.70,59100,11.04,375.06,1.4763,0.0063
128363-145331,128363-179762,128363-84667,128363-188464,128363-203761,128363-188449,128363-157833,128363-60021,128363-145314,316.50,59900,20.65,415.44,12.0459,0.0877
128363-84667,128363-145331,128363-179762,128363-145323,128363-157822,128363-84670,128363-171795,128363-60021,128363-157825,318.20,59900,24.53,414.64,9.5614,0.0860
128363-171784,128363-145331,128363-188418,128363-145314,128363-203727,128363-213216,128363-110357,128363-9714,128363-145304,281.00,58300,6.49,355.06,2.8307,0.0087
128363-145331,128363-203777,128363-188422,128363-80808,128363-188464,128363-67026,128363-84695,128363-188416,128363-203771,289.40,59400,5.38,364.01,2.4146,0.0183
128363-203713,128363-84667,128363-70823,128363-188449,128363-9714,128363-110357,128363-203761,128363-157833,128363-228166,293.10,59800,9.59,370.58,1.6624,0.0127
128363-110356,128363-145323,128363-58462,128363-145304,128363-188464,128363-145334,128363-188456,128363-58153,128363-80817,290.00,59500,8.13,375.98,1.0929,0.0137
128363-171784,128363-203777,128363-60021,128363-171770,128363-188405,128363-188464,128363-84695,128363-188422,128363-228166,292.80,59500,6.83,367.16,1.9888,0.0097
128363-145331,128363-158373,128363-188418,128363-188424,128363-228133,128363-110312,128363-188444,128363-9646,128363-188451,278.00,58600,3.53,352.84,1.4826,0.0063
128363-157850,128363-145331,128363-194829,128363-171795,128363-188410,128363-188405,128363-9646,128363-158855,128363-157825,284.80,57900,10.04,372.76,8.0323,0.0447
128363-84667,128363-145331,128363-188464,128363-179762,128363-67026,128363-171795,128363-12341,128363-158855,128363-60021,314.70,60000,25.05,422.36,23.0744,0.1263
128363-179762,128363-145323,128363-110312,128363-188464,128363-145334,128363-84695,128363-58462,128363-80817,128363-60021,316.00,59100,20.45,410.80,9.8694,0.0603
128363-145323,128363-179762,128363-203718,128363-188464,128363-9714,128363-67026,128363-157833,128363-203761,128363-60021,319.40,59900,21.78,406.56,8.1358,0.0560
128363-49675,128363-158373,128363-60021,128363-80808,128363-20640,128363-145323,128363-158855,128363-58153,128363-58462,295.40,58300,7.85,373.08,2.3090,0.0073
128363-145323,128363-145331,128363-203718,128363-213216,128363-188452,128363-171770,128363-58462,128363-60021,128363-157825,312.90,59900,17.45,401.50,6.2903,0.0520
128363-157850,128363-145323,128363-203761,128363-188418,128363-188464,128363-9714,128363-157833,128363-110357,128363-84676,302.00,59100,12.72,378.90,2.5734,0.0200
128363-145331,128363-19067,128363-145548,128363-228122,128363-171784,128363-84667,128363-171770,128363-188416,128363-203771,287.00,58900,6.25,361.72,1.9963,0.0140
128363-80816,128363-157850,128363-145314,128363-12341,128363-228161,128363-19067,128363-110357,128363-80808,128363-157825,281.70,58500,8.17,359.88,1.7407,0.0103
128363-228133,128363-145331,128363-158855,128363-171770,128363-145323,128363-203802,128363-110357,128363-188418,128363-145548,290.60,59800,9.33,373.08,4.4314,0.0217
128363-145331,128363-158373,128363-84667,128363-228161,128363-188418,128363-203761,128363-171795,128363-157833,128363-60021,318.20,60000,12.39,397.28,5.0286,0.0353
128363-179762,128363-157850,128363-188405,128363-228133,128363-84695,128363-157833,128363-145548,128363-70823,128363-60021,297.40,58900,11.80,384.56,2.5315,0.0203
128363-188405,128363-158373,128363-60021,128363-188418,128363-228161,128363-157826,128363-110357,128363-203761,128363-157908,294.80,59700,5.31,358.66,1.1176,0.0040
128363-145331,128363-145323,128363-157822,128363-60021,128363-188410,128363-160182,128363-171770,128363-145308,128363-203787,287.40,60000,4.01,359.81,1.2974,0.0053
128363-145331,128363-157812,128363-68090,128363-158855,128363-145334,128363-203713,128363-9646,128363-228117,128363-203771,285.40,60000,4.38,355.30,0.9257,0.0113
128363-145331,128363-145323,128363-84667,128363-188464,128363-158855,128363-12341,128363-60021,128363-58462,128363-159097,318.90,60000,21.56,419.70,23.1637,0.1200
128363-84667,128363-80816,128363-188444,128363-58462,128363-145334,128363-188405,128363-188449,128363-84695,128363-60021,290.90,58800,6.30,373.86,0.9525,0.0107
128363-84667,128363-158373,128363-80816,128363-145323,128363-171795,128363-158855,128363-157833,128363-203761,128363-80817,308.10,59700,10.92,391.84,2.4171,0.0157
128363-145331,128363-203718,128363-145323,128363-188464,128363-157822,128363-171795,128363-60021,128363-203761,128363-188451,321.20,59700,22.18,412.94,14.4655,0.0880
128363-179762,128363-110312,128363-68090,128363-145314,128363-9714,128363-84667,128363-188418,128363-171770,128363-60021,298.60,59300,12.69,386.12,3.2853,0.0173
128363-188405,128363-145323,128363-171767,128363-58462,128363-228160,128363-188464,128363-110357,128363-171795,128363-58378,282.20,57100,6.66,360.84,1.9146,0.0097
128363-145331,128363-228133,128363-188444,128363-58462,128363-110357,128363-188464,128363-68090,128363-171769,128363-203771,292.00,59800,5.78,372.26,4.8450,0.0223
128363-228118,128363-110312,128363-145314,128363-68090,128363-49675,128363-188464,128363-12341,128363-158855,128363-58462,287.90,58000,13.23,379.24,2.5172,0.0190
128363-80816,128363-228161,128363-12341,128363-9646,128363-188405,128363-110356,128363-158855,128363-145341,128363-58462,288.60,59900,6.49,362.91,1.1914,0.0037
128363-84667,128363-145331,128363-228122,128363-157833,128363-188464,128363-145335,128363-158855,128363-49116,128363-145314,297.60,60000,9.11,380.42,4.4352,0.0230
128363-110356,128363-171784,128363-58153,128363-157833,128363-145323,128363-80816,128363-145334,128363-157826,128363-228700,282.20,59900,4.52,349.27,1.5890,0.0063
128363-188405,128363-145331,128363-60021,128363-228122,128363-203715,128363-145334,128363-157826,128363-228117,128363-203771,286.20,59700,2.62,353.51,1.3267,0.0047
128363-179762,128363-145323,128363-203718,128363-84667,128363-110357,128363-49116,128363-58462,128363-80817,128363-60021,309.30,59100,21.32,410.52,8.0344,0.0617
128363-49675,128363-145331,128363-203718,128363-179762,128363-84695,128363-203761,128363-157833,128363-60021,128363-159097,320.10,60000,17.93,406.00,12.4453,0.0623
128363-171784,128363-145331,128363-145334,128363-228127,128363-233146,128363-171795,128363-12341,128363-60021,128363-188451,296.60,59900,11.76,390.81,6.9369,0.0363
128363-84667,128363-145331,128363-179762,128363-145323,128363-188418,128363-12341,128363-58462,128363-145339,128363-60021,311.50,59600,20.22,414.44,20.5593,0.0987
128363-145323,128363-228161,128363-68090,128363-171925,128363-145334,128363-80816,128363-157833,128363-171770,128363-15557,283.50,59400,5.44,358.38,0.6646,0.0057
128363-171784,128363-179762,128363-84667,128363-145323,128363-203761,128363-157833,128363-157822,128363-194829,128363-70823,314.40,59800,21.56,397.50,5.6919,0.0363
128363-19067,128363-145331,128363-12341,128363-203761,128363-110357,128363-203718,128363-84670,128363-68090,128363-110359,292.40,59800,9.65,369.12,0.4936,0.0057
128363-203798,128363-228133,128363-171767,128363-58462,128363-188464,128363-188405,128363-188422,128363-9646,128363-203787,274.40,59400,4.26,348.94,1.6913,0.0093
128363-157850,128363-19067,128363-157833,128363-60021,128363-179762,128363-84667,128363-157822,128363-145341,128363-159097,309.60,59900,14.72,393.39,5.4120,0.0380
128363-49675,128363-158373,128363-194829,128363-49116,128363-188464,128363-228133,128363-157822,128363-171795,128363-80817,291.60,58100,11.60,379.75,6.3381,0.0320
128363-145323,128363-158373,128363-157822,128363-58462,128363-203802,128363-203718,128363-203761,128363-80808,128363-203771,308.10,59200,9.97,372.67,1.0112,0.0123
128363-145323,128363-203718,128363-179762,128363-228133,128363-203761,128363-145334,128363-157833,128363-194829,128363-58462,309.50,59800,18.35,394.80,4.4528,0.0307
128363-145323,128363-145331,128363-203718,128363-179762,128363-171770,128363-158855,128363-58462,128363-70823,128363-60021,315.60,60000,21.57,412.18,11.5385,0.0933
128363-145323,128363-171784,128363-84667,128363-188464,128363-84695,128363-171795,128363-60021,128363-80817,128363-58462,317.80,59500,21.27,416.91,15.9510,0.1033
128363-179762,128363-84667,128363-188464,128363-67026,128363-188418,128363-171770,128363-80817,128363-58462,128363-157825,308.60,60000,18.77,406.70,7.8383,0.0617
128363-145323,128363-179762,128363-145334,128363-110356,128363-68090,128363-203761,128363-60021,128363-58462,128363-159097,314.70,59500,17.54,398.62,8.2670,0.0443
128363-84667,128363-203798,128363-58462,128363-171795,128363-228124,128363-179762,128363-157822,128363-188452,128363-60021,295.40,58800,11.87,390.96,3.0075,0.0263
128363-49675,128363-228161,128363-188449,128363-40562,128363-110312,128363-228133,128363-12341,128363-80808,128363-203771,282.00,58900,8.42,361.34,1.3967,0.0073
128363-157850,128363-179762,128363-188464,128363-110312,128363-203761,128363-84695,128363-80817,128363-58462,128363-60021,319.50,60000,20.64,417.04,14.8452,0.0833
128363-179762,128363-145331,128363-67026,128363-171672,128363-157822,128363-84695,128363-171795,128363-188449,128363-60021,307.70,59900,16.48,402.12,5.7690,0.0527
128363-145331,128363-157850,128363-49116,128363-80808,128363-188464,128363-84667,128363-110357,128363-171769,128363-203787,283.70,59700,7.23,375.24,1.8878,0.0113
128363-84667,128363-145331,128363-228161,128363-145323,128363-203761,128363-145334,128363-171795,128363-58462,128363-157825,317.00,60000,17.90,401.22,4.5664,0.0393
128363-20640,128363-179762,128363-70823,128363-58462,128363-171672,128363-67026,128363-80808,128363-228124,128363-228166,275.00,57200,6.24,358.38,0.2259,0.0027
128363-49675,128363-145323,128363-67026,128363-213216,128363-145341,128363-203761,128363-60021,128363-80817,128363-159097,314.00,59900,12.83,394.67,8.9626,0.0460
128363-145331,128363-158373,128363-84667,128363-179762,128363-157822,128363-171795,128363-228122,128363-203761,128363-60021,320.40,60000,14.33,402.78,7.3740,0.0430
128363-203718,128363-203713,128363-194829,128363-145308,128363-203798,128363-110357,128363-157822,128363-12341,128363-157908,275.20,58800,6.81,351.62,1.3296,0.0043
128363-110312,128363-179762,128363-188452,128363-171795,128363-157850,128363-228118,128363-67026,128363-80808,128363-70823,285.70,58000,15.47,380.14,1.5618,0.0073
128363-20640,128363-110312,128363-171767,128363-203761,128363-213216,128363-203718,128363-157822,128363-157833,128363-58378,295.60,59400,6.39,359.10,1.3824,0.0073
128363-179762,128363-158373,128363-157833,128363-158855,128363-84670,128363-145335,128363-203761,128363-157822,128363-15557,294.10,58200,8.96,367.92,1.3150,0.0040
128363-179762,128363-145323,128363-49675,128363-110356,128363-171795,128363-157833,128363-145339,128363-60021,128363-228166,302.80,59400,15.97,393.68,2.4988,0.0173
128363-145331,128363-179762,128363-157850,128363-145323,128363-110357,128363-171795,128363-60021,128363-203761,128363-159097,317.50,60000,22.04,415.22,13.1975,0.0813
128363-19067,128363-203718,128363-80808,128363-188444,128363-84667,128363-188464,128363-67026,128363-157833,128363-203771,299.30,59900,9.36,374.83,1.0028,0.0087
