P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42429593,42429596,42429724,42429659,42429739,42429757,42429618,42429617,42429620,42429621,98.30,49700,11.27,181.20,3.2091,0.0000
42429591,42429596,42429728,42429625,42429664,42429654,42429612,42429669,42429660,42429628,99.35,50000,14.23,183.20,3.2032,0.0000
42429596,42429592,42429807,42429625,42429682,42429644,42429616,42429621,42429789,42429660,98.75,48100,14.83,183.70,3.1797,0.0000
42429593,42429591,42429724,42429608,42429739,42429702,42429729,42429628,42429620,42429754,99.54,47900,12.42,180.80,3.1768,0.0000
42429593,42429598,42429627,42429625,42429664,42429795,42429618,42429660,42429703,42429638,99.60,48700,13.77,186.70,3.1768,0.0000
42429594,42429593,42429724,42429659,42429732,42429739,42429652,42429606,42429617,42429744,98.00,47700,10.18,181.40,3.1739,0.0000
42429593,42429595,42429724,42429659,42429739,42429757,42429613,42429607,42429696,42429620,99.31,49100,8.62,182.56,3.1621,0.0000
42429591,42429592,42429728,42429625,42429636,42429757,42429673,42429607,42429674,42429660,98.64,49200,14.41,183.30,3.1621,0.0000
42429596,42429594,42429675,42429625,42429678,42429644,42429757,42429621,42429660,42429669,98.23,47800,14.80,184.80,3.1563,0.0000
42429596,42429595,42429728,42429608,42429670,42429795,42429673,42429620,42429628,42429660,98.41,48500,16.08,180.96,3.1416,0.0000
42429593,42429592,42429627,42429619,42429678,42429757,42429616,42429651,42429643,42429776,97.59,49200,8.23,182.30,3.1387,0.0000
42429593,42429594,42429724,42429608,42429754,42429649,42429822,42429617,42429631,42429621,99.15,49800,13.99,183.55,3.1387,0.0000
42429593,42429595,42429627,42429710,42429706,42429702,42429652,42429663,42429620,42429611,98.77,49400,11.20,179.56,3.1152,0.0000
42429599,42429595,42429665,42429608,42429670,42429629,42429729,42429620,42429628,42429674,97.36,50000,14.67,177.62,3.1064,0.0000
42429593,42429591,42429668,42429623,42429682,42429632,42429616,42429663,42429723,42429696,99.34,49100,7.74,182.80,3.0976,0.0000
42429595,42429593,42429724,42429659,42429706,42429772,42429618,42429620,42429638,42429628,99.13,48800,10.89,180.56,3.0947,0.0000
42429593,42429594,42429675,42429623,42429710,42429852,42429613,42429660,42429640,42429607,98.56,49800,16.16,181.40,3.0888,0.0000
42429595,42429591,42429665,42429659,42429838,42429772,42429652,42429620,42429607,42429611,99.10,49900,14.66,179.56,3.0859,0.0000
42429604,42429591,42429724,42429608,42429754,42429706,42429612,42429617,42429651,42429696,96.62,48100,9.13,181.80,3.0683,0.0000
42429595,42429593,42429627,42429614,42429691,42429770,42429618,42429622,42429694,42429703,96.37,49400,5.58,179.56,3.0683,0.0000
42429591,42429599,42429661,42429608,42429773,42429649,42429612,42429650,42429617,42429827,96.91,49400,7.46,179.86,3.0595,0.0000
42429596,42429591,42429661,42429625,42429664,42429644,42429673,42429611,42429721,42429645,98.59,49600,21.38,182.20,3.0536,0.0000
42429596,42429599,42429661,42429625,42429664,42429644,42429639,42429646,42429651,42429621,98.13,49500,11.26,183.26,3.0507,0.0000
42429593,42429592,42429661,42429625,42429682,42429632,42429652,42429663,42429723,42429611,98.97,50000,9.52,181.30,3.0448,0.0000
42429593,42429594,42429675,42429625,42429710,42429702,42429652,42429620,42429611,42429663,99.05,50000,11.88,181.40,3.0448,0.0000
42429594,42429599,42429656,42429608,42429664,42429644,42429673,42429660,42429607,42429827,99.10,49300,16.13,183.46,3.0389,0.0000
42429592,42429595,42429627,42429659,42429691,42429739,42429652,42429620,42429662,42429611,95.74,50000,8.97,177.06,3.0272,0.0000
42429594,42429595,42429656,42429655,42429715,42429773,42429727,42429660,42429615,42429621,97.84,47400,10.33,181.16,3.0067,0.0000
42429594,42429593,42429675,42429623,42429664,42429731,42429613,42429814,42429747,42429607,96.95,48700,8.47,180.40,3.0037,0.0000
42429595,42429594,42429665,42429608,42429670,42429731,42429689,42429669,42429696,42429628,95.10,47900,7.34,178.16,2.9891,0.0000
42429595,42429592,42429728,42429614,42429664,42429739,42429673,42429611,42429660,42429628,98.84,49500,16.74,180.06,2.9832,0.0000
42429592,42429598,42429668,42429625,42429726,42429632,42429673,42429621,42429642,42429660,97.29,48900,13.58,182.20,2.9685,0.0000
42429596,42429598,42429656,42429625,42429664,42429644,42429613,42429795,42429723,42429621,96.86,48500,14.04,182.10,2.9685,0.0000
42429592,42429593,42429668,42429608,42429715,42429609,42429822,42429754,42429651,42429648,97.30,48500,10.35,180.45,2.9685,0.0000
42429591,42429598,42429668,42429608,42429664,42429609,42429822,42429767,42429617,42429648,95.22,49800,15.24,177.85,2.9480,0.0000
42429591,42429593,42429763,42429699,42429706,42429654,42429639,42429606,42429631,42429651,97.72,49300,16.38,179.80,2.9451,0.0000
42429593,42429592,42429724,42429659,42429838,42429644,42429652,42429638,42429606,42429703,98.43,47800,15.39,182.30,2.9363,0.0000
42429591,42429604,42429675,42429608,42429686,42429654,42429652,42429607,42429669,42429650,95.67,49500,9.95,179.80,2.9333,0.0000
42429595,42429593,42429665,42429634,42429682,42429632,42429804,42429643,42429703,42429606,97.95,48700,9.95,180.56,2.9216,0.0000
42429596,42429593,42429668,42429678,42429664,42429644,42429629,42429795,42429621,42429622,98.10,48800,18.99,182.20,2.9099,0.0000
42429599,42429591,42429668,42429608,42429706,42429698,42429618,42429685,42429827,42429611,95.76,48600,11.65,175.86,2.9040,0.0000
42429593,42429604,42429661,42429632,42429682,42429609,42429616,42429638,42429621,42429751,95.89,50000,7.88,178.80,2.8893,0.0000
42429593,42429594,42429728,42429623,42429710,42429739,42429613,42429607,42429735,42429669,96.71,48800,11.12,181.40,2.8805,0.0000
42429592,42429595,42429665,42429840,42429636,42429731,42429729,42429606,42429621,42429735,95.18,47100,7.30,179.06,2.8805,0.0000
42429593,42429594,42429665,42429623,42429835,42429654,42429613,42429669,42429722,42429617,97.15,48800,17.17,179.40,2.8747,0.0000
42429593,42429604,42429668,42429619,42429726,42429739,42429616,42429611,42429638,42429620,96.23,50000,12.26,178.80,2.8659,0.0000
42429599,42429593,42429641,42429659,42429739,42429714,42429652,42429645,42429611,42429628,95.00,48400,12.19,176.86,2.8541,0.0000
42429594,42429595,42429675,42429623,42429678,42429840,42429613,42429669,42429606,42429753,94.81,48600,14.05,177.16,2.8307,0.0000
42429593,42429599,42429656,42429659,42429715,42429689,42429652,42429620,42429638,42429611,95.37,49300,7.87,175.86,2.8307,0.0000
42429593,42429592,42429705,42429619,42429739,42429785,42429618,42429642,42429648,42429643,95.22,48300,8.25,177.30,2.8160,0.0000
42429593,42429604,42429724,42429625,42429682,42429702,42429652,42429638,42429615,42429607,96.74,49200,9.93,180.80,2.7984,0.0000
42429604,42429594,42429728,42429619,42429664,42429644,42429618,42429646,42429663,42429621,96.21,49100,12.14,179.40,2.7984,0.0000
42429594,42429599,42429728,42429608,42429678,42429644,42429686,42429615,42429795,42429660,96.89,47600,18.29,182.46,2.7984,0.0000
42429591,42429594,42429641,42429623,42429670,42429795,42429613,42429622,42429669,42429812,95.78,48600,8.86,179.40,2.7896,0.0000
42429592,42429591,42429661,42429619,42429710,42429706,42429616,42429759,42429744,42429642,95.06,47600,8.19,175.30,2.7632,0.0000
42429594,42429604,42429675,42429625,42429670,42429609,42429613,42429607,42429716,42429795,95.41,49700,11.21,178.40,2.7603,0.0000
42429592,42429591,42429661,42429619,42429678,42429609,42429616,42429776,42429817,42429722,94.91,48700,11.70,178.30,2.7603,0.0000
