P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42717212,42716628,42716743,42716721,42716652,42716668,42716758,42716756,42716664,42716670,,111.08,91.58749962,108.5,130.1999969,141.0650017,164.0575027,191.113506,166.86,49800,1,68.1,85.29835733,81.28998943,83.36260212,79.35423421,170.0689052,81.01627449,77.00790659,79.08051928,75.07215137,8.447751644,55.36623001
42717212,42716628,42716879,42716761,42716652,42716668,42716693,42716670,42716711,42716664,,117.34,96.83749962,117.0499992,139.3125038,150.3575043,170.4524971,198.037,216.06,49500,1,88.1,86.79625066,81.28637406,84.01885568,78.50897908,172.9315626,81.37620076,75.86632416,78.59880579,73.08892919,18.49720297,124.888742
42717212,42716628,42716686,42716688,42716741,42716668,42716693,42716670,42716797,42716664,,116.2,96.01250267,116.8000031,136.2750015,148.2799995,167.7124969,196.7689999,208.32,49700,1,124.1,86.5023247,81.25601901,83.87308956,78.62678386,172.4007345,81.28034818,76.03404249,78.65111304,73.40480734,18.67892497,66.95840359
42717212,42716631,42716686,42716826,42716652,42716668,42716693,42716670,42716664,42716723,,116.82,94.31305122,116.4380493,137.150547,148.318055,173.6505463,196.7670523,203.46,49700,1,98.65,86.59199496,81.2353797,83.88166764,78.52505238,172.7565305,81.36345845,76.00684319,78.65313113,73.29651587,16.256786,105.5599451
42716634,42717212,42716814,42716743,42716658,42716668,42716693,42716652,42716670,42716664,,112.69,92.05450058,113.5670013,132.2169952,144.9345039,164.8770042,193.8860043,179.21,49600,1,60.9,85.70784753,81.22772242,83.5372668,79.05714169,170.6707058,80.94979514,76.46967003,78.77921441,74.29908929,12.36949331,75.46092272
42717212,42716632,42716814,42716826,42716652,42716668,42716693,42716647,42716670,42716664,,108.6,87.78750229,108.75,130.1375046,142.3150017,164.9724968,192.9919969,161.42,50000,1,78.45,84.96103237,81.22029164,83.30891259,79.56817187,168.3799654,80.34728928,76.60654856,78.69516951,74.95442878,9.405030648,75.16397238
42716634,42716628,42716878,42716805,42716652,42716668,42716693,42716873,42716664,42716755,,113.2,92.19200325,111.8669968,133.929493,145.3170013,165.0995018,194.5434982,188.08,49700,1,67.8,85.81125315,81.19028201,83.56514625,78.94417512,170.8808043,80.93276732,76.31179619,78.68666043,74.06568929,12.27991041,83.26644897
42717212,42716631,42716686,42716761,42716652,42716668,42716703,42716670,42716755,42716664,,115.23,94.00055122,112.4380493,134.5505524,148.1455467,169.4955521,197.8450433,206.19,49700,1,109.65,86.35588969,81.17338831,83.82556231,78.64306094,171.6824567,80.92969506,75.74719368,78.39936768,73.21686631,19.48556131,70.43941617
42717212,42716631,42716686,42716743,42716652,42716668,42716693,42716781,42716664,42716670,,114.15,91.81304932,112.2630501,134.0380554,146.6755463,164.4555496,194.1405463,184.78,49800,1,81.65,85.93112884,81.17177604,83.56623779,78.80688498,171.4763179,81.11263466,76.35328186,78.7477436,73.9883908,11.6462855,63.81720304
42717157,42717212,42716697,42716680,42716652,42716668,42716693,42716670,42716664,42716711,,113.02,92.12500191,111.7750015,131.7124977,143.1075043,164.0224998,192.485497,175.42,49500,1,76.55,85.62535216,81.15926901,83.41352035,78.94743721,171.0017696,81.07442995,76.6083468,78.86259814,74.39651499,13.963726,27.22509503
42716634,42716636,42716686,42716705,42716719,42716779,42716665,42716711,42716670,42716723,,108.16,87.4823513,106.5448456,126.1073494,136.4023521,158.4973427,184.3003426,132.48,50000,1,98.8,84.27095388,81.15165747,82.73386823,79.61457182,169.0988155,81.06140725,77.94211085,79.5243216,76.40502519,9.087299085,34.01931524
42716634,42716636,42716743,42716721,42716652,42716668,42716880,42716823,42716670,42716664,,110.36,89.69485474,108.9198494,130.0823479,138.8448486,161.7698425,188.4483546,152.58,49500,1,49.8,84.90574438,81.14401406,83.0577348,79.29600447,169.9056469,81.01259177,77.25086145,79.16458218,75.40285186,7.770178744,69.40234303
42716631,42716628,42716847,42716680,42716775,42716712,42716858,42716755,42716664,42716670,,107.95,88.67554855,105.3630486,127.2380486,139.2605515,157.6205437,188.2890553,153,49600,1,112.55,84.48826012,81.13728904,82.94234158,79.5913705,168.5128279,80.61902104,77.26804996,79.0731025,75.72213142,10.72574421,28.95047367
42716634,42716636,42716686,42716805,42716652,42716668,42716896,42716755,42716670,42716664,,116.37,95.21984673,115.3448486,135.1573524,147.8098465,169.3798485,193.4213516,192.28,50000,1,84.8,86.22593692,81.12863338,83.58165706,78.48435352,172.8424076,81.51114574,76.4138422,78.86686588,73.76956234,14.7636892,109.170115
42717157,42716634,42716743,42716721,42716775,42716668,42716693,42716755,42716664,42716652,,109.42,88.15450096,105.8920021,127.9294987,141.5745018,163.3745041,190.6600043,155.75,49600,1,45.25,84.87682604,81.11826963,83.12412442,79.365568,169.0933514,80.61196329,76.85340687,78.85926167,75.10070525,10.45781863,47.81450927
42716634,42717212,42716686,42716701,42716652,42716668,42716693,42716657,42716813,42716670,,114.71,93.09200287,112.8419991,135.6169968,149.0394974,170.8395012,197.0244983,199.2,49700,1,72.9,86.17096565,81.10711924,83.70147079,78.63762439,171.4506822,80.85740584,75.79355943,78.38791099,73.32406458,17.35474973,73.71396422
42717212,42716632,42716686,42716696,42716652,42716668,42716693,42716670,42716797,42716664,,112.3,91.43749809,113.0250015,134.8500061,145.8375031,167.3150032,194.615506,181.85,50000,1,89.45,85.61016123,81.10703897,83.46233363,78.95921137,170.3186407,80.69210484,76.18898257,78.54427724,74.04115497,14.03472802,71.36024237
42717212,42716633,42716686,42716761,42716652,42716683,42716693,42716670,42716711,42716664,,113.41,92.77500153,111.3999977,133.1499939,144.8650047,167.3050026,192.9819969,182.32,49500,1,104.75,85.67952023,81.09389749,83.40386132,78.81823859,171.1509092,81.02528765,76.43966492,78.74962875,74.16400601,14.70341253,78.04269195
42716634,42717212,42716686,42716701,42716731,42716668,42716693,42716664,42716711,42716652,,116.61,93.10450363,116.0420036,136.5294991,148.8970039,170.1669922,193.1235043,191.2,49400,1,83.9,86.21587111,81.08274633,83.53632343,78.40319865,173.0016482,81.53468751,76.40156274,78.85513983,73.72201505,17.55914871,93.68819594
42716634,42717212,42716812,42716688,42716652,42716779,42716693,42716647,42716664,42716670,,112.33,91.90450096,111.0419998,132.2044945,143.9670105,166.2269951,193.4365044,179.69,49500,1,113.9,85.52133719,81.08243411,83.3753296,78.93642652,170.4634825,80.78865834,76.34975527,78.64265075,74.20374767,14.87176575,63.06418777
42716629,42717212,42716686,42716761,42716652,42716719,42716693,42716755,42716670,42716664,,116.58,94.57905197,114.5915527,136.7165565,148.1640419,174.0440498,195.4975467,202.76,49700,1,125.6,86.3532495,81.06245514,83.6545885,78.36379415,172.7044922,81.2755104,75.98471604,78.5768494,73.28605505,18.40399727,80.61156273
42716634,42716628,42716697,42716680,42716775,42716712,42716858,42716780,42716647,42716787,,99.56,81.84200096,98.79199982,117.342001,130.0319992,148.0795013,177.8765044,84.91,49400,1,120.8,82.34718814,81.05351166,81.92381527,80.63013879,164.7768473,80.15965017,78.86597369,79.7362773,78.44260082,5.765299175,20.31012774
42717212,42716628,42716686,42716716,42716652,42716668,42716896,42716664,42716755,42716670,,117.28,96.58749962,115.5,136.9374962,147.9149948,168.1599945,196.311503,212.19,49500,1,93.1,86.46974539,80.98163337,83.66324198,78.17512995,172.9932217,81.23142299,75.74331096,78.42491957,72.93680754,17.36789401,88.83450031
