P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42748881,42748879,42748978,42748907,42748928,42748917,42748924,42748912,42748989,42748960,,94.48,75.34890366,93.26139832,111.4489002,122.0188988,141.6639069,164.7158954,127.06,49800,1,52.4,89.2094788,86.22226475,87.53449019,84.54727613,174.6835168,86.94779109,83.96057703,85.27280247,82.28558842,8.09206158,93.86439919
42748881,42748887,42748931,42749037,42749038,42748891,42748918,42749068,42748905,42748892,,87.62,68.83269691,86.5576973,105.8701973,116.6652,135.3676971,170.5706906,125.99,48100,1,41.25,88.24181478,86.21452331,87.56290721,85.53561575,168.9980261,84.87557065,82.84827918,84.19666308,82.16937162,8.59033415,12.87466288
42748881,42748889,42748978,42748896,42748974,42748891,42748981,42748922,42748912,42748929,,89.78,69.62500191,86.59999847,105.2875004,116.6224987,138.1749939,163.860506,99.21,48700,1,36.45,88.17775049,86.21343209,87.23041983,85.26610143,171.4282318,86.07411796,84.10979957,85.1267873,83.1624689,0,41.86350405
42748889,42748879,42748992,42748907,42748928,42748917,42748924,42748989,42748892,42748963,,91.25,72.5489006,91.03639984,110.7738991,120.4613953,139.3714043,166.4194073,119.36,48000,1,58.15,88.65029437,86.18221103,87.44814937,84.98006602,172.1331535,86.05462436,83.58654101,84.85247935,82.38439601,8.928231512,77.25940943
42748879,42748884,42748978,42748925,42749038,42748891,42748924,42748912,42748937,42748908,,90.66,70.01549911,90.05299759,107.1154995,117.8430027,140.3305023,165.7014938,114.67,49900,1,71.3,88.4672913,86.16981795,87.36035555,85.0628822,171.8011893,86.00261427,83.70514093,84.89567852,82.59820517,7.401677049,61.14494801
42748889,42748879,42748916,42749008,42748903,42748891,42748924,42748912,42749016,42748937,,91.13,69.66139984,87.43640137,107.9363995,120.9613953,142.1264046,159.3684044,81.59,48900,1,84.15,88.07053762,86.14567103,86.94706934,85.02220276,172.9640439,86.78981098,84.8649444,85.6663427,83.74147612,5.076069044,108.4857225
42748889,42748879,42748978,42748904,42748903,42748891,42748990,42748929,42748912,42748963,,90.15,68.21139526,85.76139832,105.8488998,118.0839005,136.7014069,161.7168953,88.11,49600,1,44.15,88.03986003,86.13514389,87.04288872,85.13817259,171.9494689,86.31359685,84.40888071,85.31662554,83.41190941,0,88.4986043
42748879,42748883,42748978,42749008,42748903,42748891,42748924,42748937,42749016,42748960,,91.65,70.66139984,89.16139984,107.5488987,118.9188992,138.5238983,161.9149074,99.59,48400,1,94.75,88.34827786,86.11514512,87.11597801,84.88284528,172.9906632,86.57807905,84.34494632,85.3457792,83.11264647,5.759468188,59.75937247
42748879,42748887,42748978,42748896,42748974,42748891,42748981,42749015,42748912,42748922,,88.02,67.79409981,85.29410172,105.7316017,117.6765984,137.5741043,165.3595918,103.74,48500,1,73.95,87.83495877,86.06999479,87.11963564,85.35467167,169.922811,85.40135935,83.63639538,84.68603623,82.92107225,7.693210803,36.37724817
42748889,42748879,42748978,42748896,42748974,42748891,42748981,42748922,42748929,42748926,,89.3,68.24889755,84.88639832,105.7239017,115.9263996,137.2638985,162.8174014,93.4,48800,1,61.15,87.88596174,86.04083184,86.99332312,85.14819322,171.1644661,85.92112651,84.07599661,85.02848789,83.18335799,0,24.24300611
42748879,42748883,42748978,42749008,42748974,42748891,42748990,42748912,42748989,42748897,,93.03,72.58640289,90.18639755,110.3614044,120.4113998,140.5664017,164.2688983,116.71,48500,1,82.75,88.74874705,86.02656852,87.26780991,84.54563138,173.6390269,86.50596001,83.78378148,85.02502287,82.30284434,6.682600672,68.58041286
42748881,42748883,42748931,42748900,42748909,42748891,42748910,42749014,42749068,42748963,,96.07,75.92499733,93.79999924,114.6124992,126.7149979,149.0875031,172.866506,175.88,49900,1,49.05,90.00005023,85.99978878,87.96733798,83.96707654,174.6738819,86.13011488,82.12985344,84.09740264,80.09714119,14.80621837,37.29386926
42748879,42748883,42749017,42748896,42748974,42748891,42748910,42748912,42749015,42749016,,92.98,75.24889755,90.68639755,109.5238991,120.0188988,139.6939072,167.5679013,136.83,49300,1,86.75,88.95891015,85.9845969,87.44760227,84.47328902,173.1545866,86.0812019,83.10688864,84.56989402,81.59558077,9.506056325,31.28263056
42748881,42748879,42749017,42748900,42749031,42748891,42748910,42748915,42749065,42748963,,95.2,76.18439865,95.15939713,113.4969044,124.714402,146.1393967,177.0999115,194.75,49700,1,63.4,90.11175055,85.95621128,88.16541183,84.00987256,173.4787044,85.43048764,81.27494838,83.48414892,79.32860965,15.22049705,22.96080887
42748881,42748884,42748931,42748896,42749001,42748895,42748918,42749068,42748905,42749014,,91.49,72.19159889,90.76659775,110.5541,119.4965981,139.4165955,173.2706015,162.35,48900,1,70.6,89.05582249,85.94315149,87.71253733,84.59986633,171.3226378,85.09095014,81.97827914,83.74766498,80.63499398,13.95078063,24.69487339
42748879,42748887,42748978,42748896,42749038,42748891,42748981,42748922,42748912,42748929,,87.31,67.05660057,82.69409943,103.4440994,113.8340992,134.3041039,162.7386009,86.21,49100,1,74.95,87.39398433,85.92238146,86.78765394,85.31605107,169.7105924,85.40449728,83.93289442,84.79816689,83.32656403,0,22.36691266
42748881,42748884,42749005,42748907,42749038,42748891,42748918,42748912,42748937,42748929,,87.72,67.94210434,85.104599,105.5296001,115.1220978,133.5570961,164.8610991,100.96,49400,1,48.6,87.63051844,85.91168217,86.93952753,85.22069126,169.7209279,85.2379733,83.51913703,84.54698238,82.82814611,0,-0.227741897
42748879,42748883,42748978,42748932,42749038,42748891,42748924,42749016,42748897,42748951,,92.97,74.26140213,89.68640137,108.7863998,120.2763992,142.9439072,165.4179074,124.69,48700,1,71.75,88.73274062,85.89121114,87.22763601,84.38610653,173.3995651,86.22857063,83.38704115,84.72346602,81.88193654,7.125620244,48.42549562
42748879,42748883,42748978,42748896,42748974,42748891,42748990,42748937,42748929,42749009,,88.77,68.5354023,86.38539886,105.4854031,115.5604019,134.7204033,164.2713913,101.91,48900,1,73.75,87.7857387,85.8889239,86.93541205,85.03859725,170.5428015,85.4966009,83.59978609,84.64627425,82.74945944,0,28.8815558
42748881,42748879,42748978,42749008,42749001,42748891,42748981,42748912,42748929,42748908,,91.63,72.31140137,90.26140213,109.3864002,119.8689037,139.9613953,167.5163983,132.56,49600,1,53.4,88.59100831,85.85279791,87.26533738,84.52712697,172.1508851,85.67906084,82.94085043,84.3533899,81.61517949,0,40.34458697
42748881,42748883,42749017,42748900,42748930,42748919,42748910,42748963,42748991,42748897,,95.61,75.67499924,93.97499847,113.7749996,125.0650028,147.2525002,176.861006,195.68,49400,1,50.05,90.08588976,85.81859437,88.05596046,83.78866508,173.7578545,85.40372079,81.1364254,83.37379149,79.10649611,17.19912479,6.428933889
42748881,42748883,42748931,42748932,42749061,42748891,42748918,42749068,42748998,42748897,,94.41,74.31249809,93,112.7625008,123.9450008,140.2599998,168.3505031,149.55,48200,1,43.05,89.19373186,85.80966487,87.42651122,84.04244423,174.0169977,86.11041345,82.72634646,84.34319281,80.95912582,11.93298716,55.848068
