P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score,MLB $4K Hot Corner [5 Entry Max] ROI,MLB $4K Hot Corner [5 Entry Max] Sim Dupes,MLB $4K Hot Corner [5 Entry Max] Win Rate,MLB $4K Hot Corner [5 Entry Max] Cash Rate,MLB $4K Hot Corner [5 Entry Max] ROI StDev,MLB $12K Chin Music [Single Entry] ROI,MLB $12K Chin Music [Single Entry] Sim Dupes,MLB $12K Chin Music [Single Entry] Win Rate,MLB $12K Chin Music [Single Entry] Cash Rate,MLB $12K Chin Music [Single Entry] ROI StDev,MLB $200K Sinker de Mayo [$50K to 1st] ROI,MLB $200K Sinker de Mayo [$50K to 1st] Sim Dupes,MLB $200K Sinker de Mayo [$50K to 1st] Win Rate,MLB $200K Sinker de Mayo [$50K to 1st] Cash Rate,MLB $200K Sinker de Mayo [$50K to 1st] ROI StDev,MLB $15K Base Hit [Single Entry] ROI,MLB $15K Base Hit [Single Entry] Sim Dupes,MLB $15K Base Hit [Single Entry] Win Rate,MLB $15K Base Hit [Single Entry] Cash Rate,MLB $15K Base Hit [Single Entry] ROI StDev,MLB $7.5K Solo Shot ROI,MLB $7.5K Solo Shot Sim Dupes,MLB $7.5K Solo Shot Win Rate,MLB $7.5K Solo Shot Cash Rate,MLB $7.5K Solo Shot ROI StDev,MLB $30K Four-Seamer [20 Entry Max] ROI,MLB $30K Four-Seamer [20 Entry Max] Sim Dupes,MLB $30K Four-Seamer [20 Entry Max] Win Rate,MLB $30K Four-Seamer [20 Entry Max] Cash Rate,MLB $30K Four-Seamer [20 Entry Max] ROI StDev
42974868,42974878,42975019,42974952,42975012,42974943,42974893,42974935,42975118,42974925,,87,67.50000191,85.375,103.3000031,113.9574974,131.4049942,150.017,52.59,50000,1,118.2,81.7151053,80.41312324,80.9233851,79.62140304,167.3353985,80.97603992,79.67405786,80.18431972,78.88233766,3.57959297,17.76701808,0.102761902,0,0.002857143,0.204285714,7.988492437,0.108714292,0,0.001714286,0.183285714,9.134744093,2.288611174,0,0.000571429,0.206285714,71.30286472,0.09940476,0,0.002857143,0.165428571,7.841566699,0.477428576,0,0.000857143,0.208142857,21.62729087,0.743357137,0,0.001,0.206142857,25.21268029
42974869,42974871,42975124,42975021,42975126,42974894,42974912,42974970,42974939,42974950,,95.54,73.42499733,92.04999924,111.1999969,125.4075008,144.0750031,166.304003,118.13,49400,1,44.7,87.19244161,84.31872563,85.64403619,82.77032021,172.4151813,84.76491534,81.89119936,83.21650992,80.34279394,8.803098878,18.74386519,0.102476187,0,0.002,0.265714286,6.906613364,0.189142853,0,0.001571429,0.233142857,8.863267832,2.28285706,0,0.000714286,0.271,73.77403893,0.073571429,0,0.002,0.211714286,6.827481811,0.619857132,0,0.000857143,0.268857143,23.23956833,0.467357144,0,0.000714286,0.260142857,20.9260604
42974872,42974871,42975119,42975039,42974941,42974987,42975120,42974890,42974936,42974910,,90.61,70.68749809,88.02500153,108.3999996,119.3150028,141.6499939,158.861503,91.14,49100,1,66.7,84.21693777,82.1279085,83.09800077,81.0089715,169.2521156,82.42559793,80.33656866,81.30666094,79.21763166,7.85809681,-4.578028619,0.04542857,0,0.002285714,0.241142857,6.883700536,0.089857142,0,0.001285714,0.213857143,8.069043467,2.593928576,0,0.000857143,0.238714286,83.90710598,0.029761905,0,0.002,0.194857143,6.596348432,0.644571438,0,0.000857143,0.244571429,23.35658243,0.308464289,1,0.000714286,0.234428571,16.89443137
42974869,42974884,42974981,42974946,42975105,42974937,42974969,42974905,42974960,42974889,,90.91,72.33749962,89.90000153,109.9000015,121.4874969,142.652494,165.861506,104.67,50000,1,36.2,85.61613582,83.36718504,84.5952885,82.34633772,168.9718033,82.95267273,80.70372195,81.93182542,79.68287464,5.9032335,-1.660655066,-0.068761908,0,0.001428571,0.240571429,5.952390641,0.007142857,0,0.001428571,0.205857143,7.974033001,2.584761858,0,0.000857143,0.236571429,80.37735487,-0.062261906,0,0.002,0.189428571,6.40452333,0.553714275,0,0.000857143,0.240714286,23.02454512,0.686357155,0,0.001285714,0.230428571,26.99720901
42974879,42974871,42975124,42974952,42975074,42974894,42974893,42974950,42974970,42974939,,88.07,66.57499886,83.52500153,101.7499981,113.5225002,135.5,157.0060001,66.11,49600,1,44.65,83.70211128,82.30845282,83.00448846,81.61083001,167.8045502,82.31162716,80.9179687,81.61400434,80.22034589,4.227554051,5.740348995,-0.090000004,0,0.002,0.208285714,6.600802861,0.16385715,0,0.002,0.182,9.67196148,2.603452563,0,0.000714286,0.203857143,79.41797361,-0.083333336,0,0.001714286,0.165428571,6.532078961,0.631500006,0,0.001,0.205142857,23.89758214,0.469035715,0,0.000571429,0.199571429,19.3463319
42974868,42974869,42974904,42975025,42974984,42974923,42974891,42975023,42975293,42975141,,90.94,75.03750229,92.625,110.1750011,121.3100002,140.6150055,157.415506,121.46,49600,1,84.95,82.30244695,79.31823474,80.6798902,77.69567799,168.7282703,79.84003732,76.85582511,78.21748057,75.23326836,9.935799885,13.82994056,0.216571435,0,0.001714286,0.275428571,7.078504348,0.134142863,0,0.001,0.250857143,7.047412849,1.799642861,0,0.000571429,0.281428571,65.42499636,0.068333335,0,0.000857143,0.224571429,5.688441462,0.77757144,0,0.000857143,0.284714286,23.53997391,0.66475001,0,0.000571429,0.278142857,21.19592984
42974882,42974870,42975089,42974952,42975074,42974943,42974893,42974936,42974890,42975003,,86.13,64.34999847,82.47499847,102.9375019,114.4000015,133.2049973,156.4749969,60.17,49900,1,69.1,83.12458156,82.07225117,82.67826494,81.62593455,166.4603354,81.75285686,80.70052646,81.30654024,80.25420984,4.406699486,-4.707174376,-0.038571429,0,0.002285714,0.194571429,7.171292274,-0.040428571,0,0.001,0.172142857,7.438422994,3.117023826,0,0.001,0.195714286,91.9811352,-0.051547617,0,0.002571429,0.156571429,7.156512157,0.31014286,0,0.000571429,0.201142857,19.79780276,0.354464293,0,0.000571429,0.192428571,20.19269858
42974868,42974867,42975089,42975041,42975076,42974987,42974958,42974962,42974910,42975003,,91.54,75.43749809,91.85000229,112.0875015,123.8650047,146.8550056,169.4574969,111.68,49300,1,50.2,87.16156631,85.10357015,86.3042941,84.24629794,169.5215535,84.4166667,82.35867054,83.55939448,81.50139832,8.954581648,22.89189398,0.217999995,0,0.002,0.278857143,7.221911091,0.099571429,0,0.001,0.240428571,7.072659466,1.736626983,0,0.000714286,0.270714286,73.96397998,0.235119045,0,0.002,0.224,7.430119339,0.562071443,0,0.000714286,0.274,21.5129334,0.791392863,0,0.001,0.267142857,25.31119246
42974882,42974867,42975089,42974908,42974944,42975120,42974958,42975003,42974890,42974993,,91.73,67.23749924,88.25,107.9374981,120.0075005,139.3575058,161.0525031,81.4,49100,1,78.7,85.893892,84.07198238,84.91385666,83.09194704,170.3885359,84.34830453,82.52639491,83.36826918,81.54635956,6.084599289,16.61816686,0.208952382,0,0.002857143,0.227714286,8.235734517,0.03757143,0,0.001142857,0.192285714,7.790089184,1.611269772,0,0.000428571,0.221428571,62.35111923,0.142499998,0,0.002571429,0.184285714,7.555830642,1.156142831,0,0.001571429,0.223571429,30.61973152,0.485928565,0,0.000714286,0.217428571,21.94318584
42974868,42974867,42975082,42975041,42975076,42975075,42974912,42975117,42974962,42974892,,93.14,76.57499886,95.32500076,115.6124992,128.5650017,145.7675003,163.303503,130.09,49500,1,77.2,84.76169952,81.71028163,83.15966346,80.10824557,170.2813581,82.0155901,78.96417221,80.41355404,77.36213615,10.9795779,13.76971155,0.018666668,0,0.001714286,0.292571429,5.961839026,0.176714286,0,0.001285714,0.255142857,7.902518197,2.224404812,0,0.000714286,0.287285714,73.05037324,0.075595237,0,0.002,0.236571429,6.341816815,0.478571415,0,0.000857143,0.290714286,22.46096586,0.652714282,0,0.000857143,0.283714286,23.6007603
