P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42441364,42441369,42441698,42441444,42441688,42441458,42441437,42441596,42441398,42441433,98.64,47000,7.82,182.95,0.0557,0.0000
42441364,42441369,42441698,42441444,42441418,42441574,42441447,42441427,42441596,42441398,97.20,48300,8.57,180.95,0.0821,0.0000
42441364,42441370,42441439,42441405,42441425,42441617,42441511,42441411,42441565,42441595,98.27,47900,9.08,180.90,0.0499,0.0000
42441375,42441364,42441456,42441410,42441454,42441419,42441591,42441611,42441464,42441388,96.79,49800,14.29,181.61,0.0557,0.0000
42441370,42441364,42441507,42441426,42441471,42441403,42441397,42441553,42441438,42441603,99.30,49700,7.03,185.90,0.0675,0.0000
42441364,42441365,42441644,42441558,42441425,42441466,42441432,42441396,42441446,42441617,99.97,48800,17.01,186.65,0.0675,0.0000
42441365,42441370,42441569,42441406,42441572,42441496,42441432,42441582,42441396,42441433,100.65,48200,11.60,187.50,0.0704,0.0000
42441364,42441371,42441501,42441410,42441563,42441458,42441399,42441533,42441482,42441398,97.86,50000,6.94,184.10,0.0587,0.0000
42441370,42441372,42441456,42441401,42441465,42441796,42441397,42441411,42441617,42441398,98.32,49000,14.86,182.95,0.0704,0.0000
42441379,42441366,42441501,42441406,42441454,42441450,42441437,42441438,42441625,42441453,97.52,47000,15.59,185.15,0.0851,0.0000
42441364,42441372,42441456,42441509,42441465,42441617,42441399,42441595,42441396,42441482,100.13,48200,9.60,183.25,0.0704,0.0000
42441365,42441367,42441719,42441406,42441425,42441466,42441447,42441396,42441640,42441398,100.32,50000,13.70,188.21,0.0675,0.0000
42441369,42441364,42441569,42441444,42441572,42441574,42441437,42441400,42441596,42441402,98.74,48100,7.86,184.95,0.1085,0.0000
42441365,42441364,42441569,42441455,42441465,42441496,42441432,42441396,42441640,42441433,101.90,49400,11.45,186.80,0.0675,0.0000
42441364,42441366,42441646,42441406,42441454,42441434,42441397,42441553,42441453,42441625,105.78,48900,26.52,195.70,0.0851,0.0000
42441365,42441370,42441834,42441430,42441425,42441572,42441496,42441398,42441640,42441396,98.89,47200,17.27,185.50,0.0704,0.0000
42441366,42441370,42441569,42441406,42441454,42441434,42441491,42441630,42441396,42441398,102.90,49700,26.02,192.40,0.0733,0.0000
42441370,42441364,42441507,42441401,42441454,42441603,42441397,42441596,42441617,42441438,99.40,48000,9.12,186.90,0.0821,0.0000
42441372,42441364,42441569,42441389,42441548,42441472,42441421,42441417,42441584,42441504,97.04,48500,7.01,181.25,0.0587,0.0000
42441364,42441374,42441439,42441406,42441563,42441458,42441399,42441647,42441450,42441482,97.26,48800,6.23,182.95,0.0763,0.0000
42441372,42441370,42441507,42441401,42441494,42441536,42441397,42441522,42441453,42441404,97.78,48600,7.41,186.95,0.0557,0.0000
42441363,42441364,42441622,42441406,42441475,42441617,42441407,42441452,42441463,42441474,97.37,49900,8.21,179.75,0.0528,0.0000
42441365,42441364,42441644,42441455,42441442,42441496,42441432,42441640,42441464,42441396,100.26,48700,11.59,185.80,0.0616,0.0000
42441366,42441364,42441501,42441406,42441688,42441434,42441629,42441398,42441388,42441625,104.24,49600,13.44,191.70,0.0851,0.0000
42441366,42441365,42441531,42441406,42441567,42441434,42441437,42441398,42441453,42441522,104.55,49800,17.72,195.15,0.1027,0.0000
