F,F,F,F,F,F,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,MMA Default,MMA Sim Diversity 10,geomean1,Saber Score
42728122,42704866,42704870,42704859,42704873,42704865,,443.51,395.68,462.79,525.0275,559.738,616.376,673.6397,163.485,50000,0,0,103.6794493,73.69516499,26.5584689,61.37747169
42728122,42704868,42704875,42704859,42704873,42704865,,439.32,386.4675,456.195,522.775,561.4415,619.121,681.4027,166.825,49800,0,0,103.6726705,72.82685169,27.13035525,47.91788161
42704868,42704870,42704862,42704857,42704859,42728127,,438.26,376.3025,448.62,520.145,560.1445,627.835,700.6806,183.865,50000,5,0,103.6484696,571.9913954,30.31357529,67.85765886
42728122,42704866,42704875,42704859,42704873,42704865,,434.08,383.42,449.85,515.3575,553.5535,609.113,682.1519,162.295,49600,1,0,103.6163293,172.0397502,26.40017236,45.45657337
42728122,42704870,42704875,42704857,42704859,42704863,,433.51,378.645,446.47,520.4825,562.196,625.4855,699.4501,176.355,49900,3,0,103.5983699,371.3453127,28.65454456,59.2517674
42728122,42704868,42704857,42704859,42704863,42704861,,429.17,388.4525,450.55,516.3225,553.006,619.428,683.6928,160.6,49600,0,0,103.5970903,71.28393034,26.02797066,17.126064
42728122,42704866,42728126,42704859,42704873,42704865,,427.44,380.0325,441.55,504.855,540.996,602.609,676.2659,151.78,49900,0,0,103.5914098,71.29799293,24.74025644,34.42384005
42728122,42704868,42704857,42704859,42728127,42704865,,431.39,384.6625,450.77,517.0825,550.5565,609.215,683.3646,162.395,49400,0,0,103.5864186,71.60626231,26.38022478,33.4427923
42728122,42704870,42704862,42704857,42704859,42704861,,438.99,388.5925,456.54,526.37,566.6535,626.9805,689.5087,173.645,50000,1,0,103.5832141,172.4655159,28.29964829,59.93166566
42728122,42704866,42704870,42704859,42728127,42704865,,435.27,383.5975,454.275,518.5425,551.6205,610.266,677.9017,160.505,49900,0,0,103.5743942,72.34360157,26.02081259,57.47036338
42728122,42704868,42704875,42704857,42704859,42704867,,433.28,385.9175,449.475,516.235,550.7715,621.7425,682.8536,162.555,50000,0,0,103.5691537,71.88608986,24.9824661,48.37394655
42728124,42704864,42704870,42704859,42728127,42704861,,417.13,356.5875,424.29,493.43,535.0105,598.0035,697.3536,160.865,49900,0,0,103.5627163,69.08762821,26.14726039,-5.214785039
42704868,42704860,42704862,42704857,42704859,42704871,,425.8,363.9675,433.355,503.93,547.1775,608.436,698.6614,171.385,50000,2,0,103.5623355,270.2692519,28.07562324,71.99698687
42728122,42704868,42704856,42704859,42704863,42728127,,418.64,371.9675,436.27,503.665,541.2935,600.483,686.0709,153.45,50000,0,0,103.5527417,69.6945187,24.94202077,17.47455597
42728122,42704868,42704858,42704857,42704863,42704865,,432.42,379.96,444.055,513.2425,548.371,602.988,677.8454,159.06,50000,0,0,103.5437927,71.93181067,25.7293894,43.10283959
42728122,42704870,42704872,42704857,42704859,42704861,,429.25,383.96,449.215,522.05,561.949,621.0125,690.489,165.585,49900,0,0,103.538116,71.03682969,26.81059769,49.23453927
42704868,42704866,42704857,42704859,42704873,42728127,,433.58,379.5625,447.28,515.2325,554.3675,616.3045,690.8157,172.265,49500,0,0,103.5324957,71.63661905,28.34726989,39.04950619
42704868,42704862,42728126,42704857,42704859,42704873,,430.43,368.695,440.755,513.83,554.9035,617.314,697.7719,175.14,50000,1,0,103.5313229,170.9457868,28.82176042,62.01421618
42728124,42704868,42704857,42704859,42704873,42704863,,432.84,378.62,445.9,520.59,558.2925,621.7605,686.6295,167.67,49800,1,0,103.5233781,171.6758674,27.39263468,40.5081898
42728122,42704862,42704875,42704857,42704859,42704873,,440.12,382.4525,454.795,527.0525,563.747,626.944,692.7595,177.655,49900,0,0,103.5122401,72.48765897,29.20608244,72.32840657
42728122,42704868,42704858,42704857,42704861,42704865,,432.24,382.9175,447.34,511.9775,548.288,607.5855,678.6104,159.835,49800,1,0,103.5099472,171.8681636,25.89431721,22.93503582
42704868,42704864,42704870,42704859,42728127,42704861,,420.97,358.5975,429.33,503.5025,542.4815,605.081,698.4972,166.995,49800,0,0,103.5085023,69.57313407,27.16257871,25.00470877
42728122,42704868,42704862,42704859,42704873,42704867,,428.37,383.395,443.845,510.0925,546.5755,608.8585,676.303,153.74,50000,0,0,103.4979476,71.39722616,23.76057883,32.22502172
42704868,42704864,42704875,42704857,42704859,42704863,,430.53,373.8925,439.835,511.5325,548.915,615.831,696.0138,173.34,50000,0,0,103.4831114,71.00564387,28.25353256,42.39717126
42704868,42704866,42704870,42704859,42704873,42704861,,440.38,384.985,453.975,526.485,561.9845,629.617,683.6314,172.685,50000,4,0,103.4819169,472.8350654,28.24853688,82.09602237
42728122,42728124,42704875,42704859,42704863,42704861,,425.02,374.5625,438.925,503.735,547.629,613.1635,683.3524,155.92,50000,0,0,103.4747295,70.66745044,25.24586827,13.79128098
42728122,42704868,42704857,42704874,42704859,42704861,,425.58,381.1175,445.915,514.395,549.2615,624.643,691.4327,165.055,49900,2,0,103.4675295,270.460463,26.92213767,28.2792598
