CPT_ID,CPT_Name,CPT_Salary,CPT_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954615,Andre Drummond,2800,7.76,42954616,Baylor Scheierman,2200,15.04,222.35,49600,34.2,3.4240e+1
42954638,Paul George,13200,51.17,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954607,Payton Pritchard,7800,33.08,42954609,Derrick White,7000,33.39,42954620,Justin Edwards,1200,5.83,221.85,49800,35.8,3.5768e+1
42954642,Derrick White,10500,50.09,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954607,Payton Pritchard,7800,33.08,42954620,Justin Edwards,1200,5.83,221.49,48900,34.7,3.4660e+1
42954640,Payton Pritchard,11700,49.63,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954609,Derrick White,7000,33.39,42954620,Justin Edwards,1200,5.83,221.34,49300,35.0,3.4973e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954607,Payton Pritchard,7800,33.08,42954610,Neemias Queta,5600,24.20,42954627,Adem Bona,1000,1.09,221.04,50000,34.1,3.4103e+1
42954642,Derrick White,10500,50.09,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954608,Kelly Oubre Jr.,7400,23.38,42954616,Baylor Scheierman,2200,15.04,221.00,49500,35.0,3.4975e+1
42954640,Payton Pritchard,11700,49.63,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954610,Neemias Queta,5600,24.20,42954620,Justin Edwards,1200,5.83,220.90,49100,35.0,3.5010e+1
42954635,Joel Embiid,15600,72.58,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954609,Derrick White,7000,33.39,42954612,Nikola Vucevic,4400,18.94,42954613,Sam Hauser,4200,18.90,220.78,50000,35.1,3.5092e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954609,Derrick White,7000,33.39,42954614,Jordan Walsh,3400,15.26,42954620,Justin Edwards,1200,5.83,220.72,47300,34.9,3.4855e+1
42954637,Tyrese Maxey,15000,64.29,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954607,Payton Pritchard,7800,33.08,42954609,Derrick White,7000,33.39,42954620,Justin Edwards,1200,5.83,220.70,50000,33.9,3.3930e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954605,Paul George,8800,34.11,42954607,Payton Pritchard,7800,33.08,42954610,Neemias Queta,5600,24.20,42954620,Justin Edwards,1200,5.83,220.60,49100,33.9,3.3902e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954606,VJ Edgecombe,8200,27.60,42954614,Jordan Walsh,3400,15.26,42954616,Baylor Scheierman,2200,15.04,220.57,49400,34.6,3.4607e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954607,Payton Pritchard,7800,33.08,42954612,Nikola Vucevic,4400,18.94,42954620,Justin Edwards,1200,5.83,220.52,49000,33.7,3.3728e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954607,Payton Pritchard,7800,33.08,42954613,Sam Hauser,4200,18.90,42954618,Dominick Barlow,1600,2.13,220.35,49300,34.2,3.4225e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954613,Sam Hauser,4200,18.90,42954620,Justin Edwards,1200,5.83,224.28,50000,33.6,3.3570e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954606,VJ Edgecombe,8200,27.60,42954607,Payton Pritchard,7800,33.08,42954609,Derrick White,7000,33.39,42954620,Justin Edwards,1200,5.83,223.28,49900,33.5,3.3465e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954606,VJ Edgecombe,8200,27.60,42954607,Payton Pritchard,7800,33.08,42954609,Derrick White,7000,33.39,42954620,Justin Edwards,1200,5.83,222.48,50000,32.8,3.2763e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954607,Payton Pritchard,7800,33.08,42954614,Jordan Walsh,3400,15.26,42954615,Andre Drummond,2800,7.76,222.34,49700,33.4,3.3438e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954609,Derrick White,7000,33.39,42954610,Neemias Queta,5600,24.20,42954615,Andre Drummond,2800,7.76,222.04,50000,33.5,3.3543e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954612,Nikola Vucevic,4400,18.94,42954628,Hugo Gonzalez,1000,2.48,221.77,49900,32.7,3.2663e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954607,Payton Pritchard,7800,33.08,42954614,Jordan Walsh,3400,15.26,42954615,Andre Drummond,2800,7.76,221.54,49800,32.7,3.2737e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954613,Sam Hauser,4200,18.90,42954620,Justin Edwards,1200,5.83,221.51,49800,33.4,3.3427e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954614,Jordan Walsh,3400,15.26,42954617,Luka Garza,1800,5.62,221.23,49700,32.4,3.2442e+1
