DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
128363-203730,Kel'el Ware,C/PF,MIA,BOS,,5700,0,17.5,,17.5,3.070175439,0.03,0.038251082,0,100,112.445,229.4915,18.3843,13.6,17.55,21.95,24.6,29.255,35.1525,18.4481,13.5,17.56,22.295,24.94,29.86,35.981,18.4481,13.5,17.56,22.295,24.94,29.86,35.981,18.5794,13.64,17.72,22.32,24.94,29.782,35.8606,6.3861,6.62657,6.62657,6.51521,6.92837,17.7534,2.16353,0.5312,5.7114,1.21427,4.49713,1.4769,0.432467,0.5092,0.694033
128363-20640,Jordan Clarkson,SG/PG,NY,MEM,,3900,0,17.5,,17.5,4.487179487,0.39,0.425020688,0,100,117.936,227.0075,17.8928,13.5,17.5,22.25,24.75,29,34.2525,16.954,12.5,16.7,21.2,23.815,28.205,32.902,16.954,12.5,16.7,21.2,23.815,28.205,32.902,17.4566,13.2,17.2,21.6,24.015,28.305,33.301,6.4443,6.39979,6.39979,6.21628,11.0938,19.2627,2.59425,1.533,1.29275,0.28625,1.0065,2.65375,0.4245,0.1855,1.40475
128363-203716,Tristan da Silva,SF/PF,ORL,ATL,,5100,0,17.4,,17.4,3.411764706,0.1,0.112767764,0,100,116.0122,234.4589,19.6327,14.15,18.8,23.65,26.55,31.4,37.85,19.3091,13.81,18.48,23.39,26.24,31.26,37.4406,19.3091,13.81,18.48,23.39,26.24,31.26,37.4406,19.4718,14.02,18.64,23.44,26.24,31.16,37.2204,7.10785,7.18593,7.18593,7.02178,9.95971,21.2305,1.946,1.40043,3.94273,0.874233,3.0685,1.2218,0.634133,0.442667,0.906967
128363-158137,Jock Landale,C,ATL,ORL,,4100,0,17.2,,17.2,4.195121951,0.08,0.087539433,0,100,118.4467,234.4589,17.2705,13.35,17.6,22.45,25.1,30.45,37.3515,17.2806,13.22,17.56,22.62,25.46,30.82,37.6416,17.2806,13.22,17.56,22.62,25.46,30.82,37.6416,17.4417,13.48,17.76,22.66,25.52,30.94,37.7016,6.8334,7.05198,7.05198,6.92128,7.91887,19.0361,2.41503,0.602733,4.7272,1.00357,3.72363,1.7339,0.504333,0.457833,0.818667
128363-228700,Dylan Cardwell,C,SAC,TOR,,3900,0,17.1,,17.1,4.384615385,0.28,0.296914588,0,100,108.3737,226.3999,16.3237,12,15.75,19.85,22.35,26.6,32.1,16.6344,11.98,15.98,20.51,23.16,27.58,33.1,16.6344,11.98,15.98,20.51,23.16,27.58,33.1,16.7784,12.24,16.14,20.54,23.14,27.56,32.9,5.91485,6.32545,6.32545,6.18386,3.96037,17.4288,1.09523,0.379467,6.45217,1.68463,4.76753,1.20933,0.651167,0.642667,0.9014
128363-171791,Jaden Hardy,SG,WAS,PHI,,4000,0,16.7,,16.7,4.175,0.07,0.069694721,0,100,112.9143,239.3848,16.2277,12.3,16.6,21.35,24.15,28.85,34.0515,15.3237,11.48,15.72,20.28,23,27.7,33.24,15.3237,11.48,15.72,20.28,23,27.7,33.24,15.7929,12.14,16.16,20.78,23.42,27.86,33.362,6.62964,6.55065,6.55065,6.38109,10.5503,18.3571,1.9089,1.58345,1.40235,0.3533,1.04905,2.3504,0.58745,0.10335,1.643
128363-203715,Baylor Scheierman,SG,BOS,MIA,,3900,0,16.6,,16.6,4.256410256,0.03,0.032183757,0,100,117.0465,229.4915,16.2926,12.3,16.35,20.9,23.5,28.6,35.1025,16.1975,12.13,16.22,20.96,23.7,28.8,35.5404,16.1975,12.13,16.22,20.96,23.7,28.8,35.5404,16.1653,12.24,16.22,20.72,23.426,28.283,34.661,6.54436,6.73244,6.73244,6.46216,6.4532,23.4514,0.9407,1.11547,4.37797,1.13903,3.23893,1.6916,0.984668,0.1811,0.872667
128363-188456,Rayan Rupert,SG/SF,MEM,NY,,4200,0,16.1,,16.1,3.833333333,0.19,0.205277091,0,100,109.0715,227.0075,16.0175,12.75,16.75,21.25,24,28.5,34.005,16.101,12.675,16.8,21.7,24.4,29.1,34.901,16.101,12.675,16.8,21.7,24.4,29.1,34.901,16.03,12.8,16.7,21.3,24,28.405,34.2,6.40071,6.66601,6.66601,6.37497,6.10725,23.6523,1.3695,0.9105,4.1845,1.0935,3.091,2.25525,1.09625,0.151,0.8395
128363-158854,Sam Hauser,SF/PF,BOS,MIA,,3900,0,15.9,,15.9,4.076923077,0.25,0.24270497,0,100,117.0465,229.4915,17.282,12.15,16.65,21.5,24.45,29.8,36.7,16.7195,11.64,16.04,20.855,23.68,28.9,35.7404,16.7195,11.64,16.04,20.855,23.68,28.9,35.7404,16.6613,11.7,16,20.66,23.386,28.6,34.961,7.13743,6.92757,6.92757,6.76328,8.20867,28.1025,0.461067,2.30737,3.39733,0.8529,2.54443,1.17017,0.672433,0.377067,0.569133
128363-203789,Tyler Kolek,PG,NY,MEM,,3500,0,15.8,,15.8,4.514285714,0.31,0.218764402,0,100,117.936,227.0075,10.4522,6.25,9.5,13.25,15.25,19,23.2525,10.2382,5.9,9.2,13.1,15,18.705,23.7,10.2382,5.9,9.2,13.1,15,18.705,23.7,10.4072,6.2,9.5,13.2,15.015,18.7,23.301,5.07003,5.19517,5.19517,5.01071,5.25025,13.0403,0.9495,0.82925,1.0935,0.249,0.8445,1.36375,0.47525,0.18225,0.8605
