Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,5129634867,akboy305,0,161.65,1B Matt Olson 2B Ozzie Albies 3B Josh Jung C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Wenceel Perez P Chris Sale P Sean Burke SS Ronny Mauricio,,Ramon Laureano,OF,9.97%,3
34,5130126895,mcgee022002 (3/6),0,161.65,1B Matt Olson 2B Ozzie Albies 3B Jace Jung C Dillon Dingler OF Ronald Acuna Jr. OF Riley Greene OF Wenceel Perez P Chris Sale P Sean Burke SS Kevin McGonigle,,Austin Riley,3B,9.83%,25
34,5130150301,k201986,0,161.65,1B Matt Olson 2B Josh Smith 3B Austin Riley C Ivan Herrera OF Ronald Acuna Jr. OF Jordan Walker OF Michael Harris II P Chris Sale P Sean Burke SS Jorge Mateo,,J.P. Crawford,SS,9.74%,3
37,5129960440,GetConfidentStupid (4/35),0,160.65,1B Jake Burger 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Riley Greene OF Michael Harris II OF Evan Carter P Chris Sale P Sean Burke SS Mauricio Dubon,,Josh Naylor,1B,9.64%,5
38,5130139900,babyregg3200 (12/12),0,159.3,1B Mark Vientos 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Mike Yastrzemski OF Tyrone Taylor P Chris Sale P Emerson Hancock SS Ronny Mauricio,,Max Muncy,3B,9.49%,10
39,5129765391,skijmb (96/150),0,159,1B Matt Olson 2B Ezequiel Duran 3B Austin Riley C Drake Baldwin OF Ramon Laureano OF Michael Harris II OF Wenceel Perez P Chris Sale P Reid Detmers SS Mauricio Dubon,,Hunter Goodman,C,8.86%,2
39,5129967014,nerdytenor (87/150),0,159,1B Matt Olson 2B Ozzie Albies 3B Leo Rivas C Drake Baldwin OF Jackson Merrill OF Michael Harris II OF Wenceel Perez P Chris Sale P Reid Detmers SS Jorge Mateo,,Fernando Tatis Jr.,2B,8.51%,0
41,5129461710,rockywise,0,158.65,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Ezequiel Duran OF Jarred Kelenic P Chris Sale P Sean Burke SS J.P. Crawford,,Shohei Ohtani,1B,8.36%,0
41,5129634427,jmoore3903 (43/150),0,158.65,1B Alec Burleson 2B Gleyber Torres 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Mauricio Dubon OF Wenceel Perez P Chris Sale P Michael King SS Jorge Mateo,,Hyeseong Kim,SS,8.30%,0
41,5129833199,phils44 (146/150),0,158.65,1B Matt Olson 2B Josh Smith 3B Colt Keith C Drake Baldwin OF Ronald Acuna Jr. OF Riley Greene OF Michael Harris II P Chris Sale P Sean Burke SS Jorge Mateo,,Mauricio Dubon,SS,8.09%,2
