P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42960497,42960550,42960416,42960502,42960506,42960451,42960532,42960503,42960553,42960510,,95.3,77.77645493,94.01395416,112.5889511,124.98395,143.0414413,166.9029465,284.3112245,46800,1,73.65,83.63927756,77.61802211,80.48759343,74.46633798,171.7090492,78.18224775,72.1609923,75.03056362,69.00930817,24.09160254,66.2569344
42960550,42960497,42960416,42960502,42960506,42960482,42960532,42960503,42960468,42960510,,96.95,78.58895111,96.78895569,113.7764511,123.7764526,142.991452,167.4399496,293.5459184,49400,1,70.65,84.04825721,77.66816601,80.64846811,74.26837691,172.8285059,78.50714004,72.12704884,75.10735093,68.72725974,25.31632735,104.4153094
42960497,42960550,42960556,42960454,42960506,42960451,42960532,42960510,42960553,42960468,,96.57,78.73895264,97.36394882,114.97645,124.2539524,143.1314583,168.4004466,295,49000,1,72.65,84.1289484,77.79683123,80.79949194,74.46737478,172.4749711,78.45042272,72.11830555,75.12096626,68.7888491,25.39537079,75.98590255
42960497,42960550,42960556,42960502,42960506,42960525,42960532,42960468,42960510,42960553,,97.47,79.71395111,97.03895187,115.8014488,124.996452,141.5139526,168.1069586,299.375,50000,1,66.65,84.24008771,77.7223162,80.76382727,74.24605576,173.1286804,78.59181494,72.07404343,75.1155545,68.59778299,26.35947627,89.79398012
42960497,42960550,42960556,42960454,42960506,42960451,42960532,42960503,42960553,42960460,,95.83,79.53894806,95.03894806,114.3639507,124.1039509,146.0514404,167.4519496,290.5484694,47800,1,64.65,83.75739093,77.57183974,80.51209716,74.32654596,171.9983962,78.18191246,71.99636127,74.93661869,68.75106749,25.12518623,112.0787978
42960497,42960550,42960416,42960502,42960506,42960451,42960532,42960505,42960484,42960553,,91.96,74.83895111,89.98895264,110.03895,119.5614548,140.241452,166.1469466,270.2678571,45600,1,67.65,82.74898951,77.38561514,80.07460585,74.71123148,169.3558666,77.35640104,71.99302668,74.68201739,69.31864302,22.72824869,46.45051062
42960497,42960550,42960416,42960502,42960506,42960451,42960439,42960553,42960510,42960460,,93.07,74.35144806,92.51395035,109.6389465,120.546455,139.9939529,168.0109526,281.25,45100,1,72.65,83.26498095,77.61138729,80.4415926,74.78799894,169.9755097,77.59775337,71.94415971,74.77436502,69.12077135,24.12690325,57.61658549
42960497,42960550,42960416,42960502,42960506,42960451,42960532,42960484,42960553,42960468,,92.1,75.36394691,91.21395111,108.901453,119.6689472,139.0889587,164.4439496,265.4464286,45900,1,70.65,82.4589077,77.09963074,79.73151084,74.37223389,169.5838627,77.29066426,71.9313873,74.5632674,69.20399044,22.1323042,57.18629956
42960550,42960497,42960416,42960502,42960565,42960451,42960532,42960460,42960553,42960505,,94.65,78.16394997,93.26395035,112.0014515,123.8464504,143.2439468,169.6399466,294.4897959,47500,1,55.65,83.84651693,77.81871053,80.80163756,74.77383117,170.9540972,77.9426152,71.9148088,74.89773583,68.86992944,25.81685972,67.6553905
42960550,42960497,42960403,42960502,42960506,42960482,42960439,42960553,42960505,42960460,,95.02,77.05145073,93.26395035,111.8264484,123.9389496,141.8539581,168.1429466,291.4158163,48000,1,64.65,83.66388004,77.60059917,80.54031951,74.47703864,171.3412013,77.96827954,71.90499867,74.84471901,68.78143814,26.08882956,65.89975357
42960497,42960550,42960556,42960502,42960506,42960451,42960532,42960505,42960510,42960553,,96.97,78.23895264,96.23895264,115.60145,126.5964504,145.6414467,166.8954465,294.1326531,49500,1,67.65,83.84745552,77.4221943,80.40873408,73.98347286,172.8322841,78.32655762,71.9012964,74.88783618,68.46257496,25.52141534,128.6580086
42960550,42960497,42960416,42960502,42960565,42960482,42960532,42960460,42960503,42960553,,97.4,80.41395187,97.06394958,115.2014503,126.0964504,148.4964523,169.0204526,304.5153061,49300,1,60.65,84.27644048,77.69529383,80.79776902,74.21662236,172.9498647,78.44768638,71.86653973,74.96901492,68.38786826,27.2841343,101.3301253
42960497,42960422,42960403,42960502,42960506,42960480,42960564,42960407,42960503,42960553,,89.44,70.5264492,88.91394806,107.4014454,118.6889496,139.8414581,165.8629587,259.1071429,49800,1,81.95,82.12369909,77.24764479,79.81297602,74.93692172,167.5552376,76.73842848,71.86237418,74.42770541,69.55165111,23.6063227,99.96163249
42960497,42960422,42960403,42960502,42960540,42960482,42960532,42960490,42960465,42960503,,91.12,72.34194946,91.46694946,110.6669521,122.8069538,140.4444557,168.8994525,276.9897959,49500,1,75.95,82.96473246,77.65521586,80.43744508,75.12792847,168.4867403,77.14533222,71.83581561,74.61804483,69.30852822,25.51443806,95.46511769
42960550,42960497,42960403,42960454,42960506,42960482,42960439,42960503,42960553,42960468,,93.97,77.37644768,93.51395035,111.3889465,122.0689552,140.94645,166.9514496,283.3290816,45800,1,70.65,83.2129271,77.37835669,80.22350502,74.3889346,170.6770337,77.6669042,71.83233378,74.67748211,68.8429117,24.91099179,64.60887194
42960550,42960497,42960403,42960502,42960565,42960451,42960532,42960503,42960553,42960468,,95.85,79.0264492,95.73895264,114.7514515,125.7264496,146.3489586,166.5399405,289.7066327,47700,1,59.65,83.52488742,77.31970648,80.24308365,74.03790271,172.0484102,78.03655969,71.83137875,74.75475592,68.54957498,25.4174067,51.26554966
42960497,42960550,42960403,42960502,42960506,42960451,42960532,42960553,42960468,42960505,,94.64,77.98895264,93.73895264,114.2514515,124.3614513,142.9964523,165.1109587,279.630102,48200,1,63.65,83.03418879,77.11335339,79.91578097,73.99494556,171.3069693,77.74531387,71.82447847,74.62690605,68.70607065,24.00339086,94.39807534
42960550,42960497,42960556,42960502,42960565,42960451,42960532,42960460,42960484,42960553,,95.91,78.26394844,94.91394806,114.3014488,125.4889526,143.4614494,168.2589526,295.994898,48800,1,59.65,83.82241923,77.55411131,80.55440634,74.28609842,171.9433352,78.08954705,71.82123913,74.82153415,68.55322623,26.13700541,64.90581632
42960497,42960422,42960403,42960575,42960506,42960482,42960532,42960433,42960490,42960503,,89.68,71.0264492,88.0889473,108.2014503,120.5964504,137.7439529,167.7914555,266.7857143,49000,1,86.95,82.47768614,77.48828304,80.15239883,75.16299573,167.5527111,76.81062606,71.82122296,74.48533876,69.49593566,24.01251868,108.352375
42960497,42960550,42960403,42960502,42960565,42960482,42960439,42960553,42960460,42960503,,96.23,78.91394997,95.16394806,112.4639492,124.1339504,145.2714523,169.2709526,301.4923469,47500,1,60.65,84.05288443,77.68830898,80.74897891,74.38440347,172.0826423,78.17478015,71.81020471,74.87087464,68.50629919,27.62569652,65.0865078
42960497,42960550,42960416,42960502,42960506,42960482,42960532,42960553,42960468,42960505,,95.26,77.57645035,94.0639534,113.2014503,124.5114517,143.7014496,165.4574496,283.7882653,49100,1,65.65,83.20878728,77.14727922,79.99830795,73.93679988,171.7136272,77.86618043,71.80467236,74.65570109,68.59419303,24.47485049,101.4505863
42960550,42960497,42960403,42960502,42960506,42960451,42960439,42960510,42960468,42960553,,93.85,76.78894806,92.71395111,111.66395,120.4114479,139.2464523,166.0929587,279.5918367,46000,1,73.65,83.0228428,77.22649022,80.03445235,74.23809977,170.6538848,77.58734688,71.7909943,74.59895643,68.80260385,24.14630252,61.85930371
42960497,42960550,42960556,42960502,42960565,42960451,42960532,42960468,42960503,42960553,,96.23,79.22645187,95.78894806,114.8639507,126.7964485,144.7514526,165.2389526,287.4107143,48100,1,56.65,83.35408368,77.09422098,79.98900626,73.72914356,172.4144116,78.03480528,71.77494259,74.66972786,68.40986517,25.14018837,78.25783491
42960550,42960497,42960556,42960502,42960506,42960482,42960439,42960505,42960553,42960468,,94.47,76.53894806,93.78894806,112.0639515,122.9614498,141.0914581,164.6459467,278.4693878,47700,1,62.65,82.8951761,77.0090156,79.78964717,73.90348667,171.2124061,77.65881032,71.77264981,74.55328138,68.66712088,24.51096415,76.56242847
42960550,42960497,42960416,42960502,42960565,42960482,42960532,42960484,42960468,42960553,,95.22,77.90145111,94.41394806,111.5014534,123.6339504,143.1214584,167.6634467,291.7984694,48600,1,65.65,83.55405007,77.42890816,80.37589936,74.25075744,171.4891952,77.89122719,71.76608527,74.71307647,68.58793456,25.59378391,83.02972913
42960550,42960497,42960403,42960502,42960506,42960451,42960439,42960505,42960468,42960460,,92.01,74.58895111,91.58895111,109.7764511,118.98395,137.7514526,166.5434557,274.3494898,45600,1,57.65,82.71227668,77.27065047,80.00739192,74.5657657,169.300999,77.20693711,71.76531089,74.50205234,69.06042612,23.75382859,42.68543422
42960497,42960422,42960556,42960502,42960480,42960482,42960564,42960465,42960503,42960553,,89.52,71.93894958,89.68894958,108.8889465,119.7689522,140.0389404,165.7914404,260.9821429,48600,1,72.95,82.06619835,77.14506826,79.72686027,74.80573017,167.5873302,76.6601604,71.73903031,74.32082232,69.39969222,24.0062948,116.3988233
42960497,42960550,42960416,42960502,42960565,42960482,42960532,42960503,42960468,42960553,,96.47,79.32645035,96.13895035,114.7014503,125.996452,145.3914467,166.6449466,293.8647959,48600,1,61.65,83.61789259,77.2584401,80.23041841,73.87096592,172.4550682,78.08943181,71.72997932,74.70195763,68.34250514,25.91663955,80.63732982
42960497,42960550,42960416,42960502,42960565,42960482,42960532,42960505,42960553,42960503,,96.33,78.91394997,95.61394882,114.0389481,126.0864517,147.3914467,168.1434467,298.6862245,48300,1,58.65,83.8388786,77.46381274,80.49290167,74.11783581,172.2270721,78.09758877,71.72252291,74.75161183,68.37654597,26.61448277,79.28622961
42960497,42960422,42960403,42960575,42960506,42960482,42960532,42960490,42960465,42960503,,89.4,70.33895111,88.3139534,108.9014473,119.1614468,138.0114494,166.6954497,262.8571429,48300,1,77.95,82.18174068,77.25313615,79.87021448,74.94160996,167.4192363,76.64203187,71.71342735,74.33050568,69.40190116,23.47723738,76.01587772
42960550,42960497,42960403,42960502,42960506,42960482,42960439,42960510,42960468,42960553,,96.18,78.7764492,95.11394882,113.6889496,121.5039524,142.241452,166.7444525,292.7423469,48500,1,75.65,83.56232097,77.25225431,80.21707127,73.9070046,172.2337143,78.0131198,71.70305313,74.66787009,68.35780343,25.94051731,70.74056864
42960497,42960550,42960416,42960502,42960506,42960451,42960532,42960460,42960484,42960553,,93.03,75.3389492,91.51395035,109.5389519,120.69645,141.0064529,165.6964496,276.0969388,46600,1,69.65,82.73801233,77.09380066,79.85617763,74.21196596,170.0786593,77.3327161,71.68850444,74.45088141,68.80666974,23.30011803,51.56670213
42960497,42960550,42960556,42960502,42960506,42960451,42960439,42960553,42960484,42960505,,91.17,73.58895111,90.48894882,108.4514503,120.1689472,134.4989525,164.4599495,264.9489796,44200,1,64.65,82.13956482,76.90223576,79.52082931,74.28350026,168.8546455,76.90251967,71.66519061,74.28378416,69.04645511,22.76178517,49.21296239
42960497,42960550,42960403,42960454,42960506,42960451,42960532,42960553,42960510,42960460,,97.12,79.91394997,96.4639473,114.7014503,125.3039478,148.9439491,170.1294586,307.9464286,49300,1,74.65,84.30028138,77.69148203,80.85323151,74.24443215,172.6037664,78.26208282,71.65328346,74.81503294,68.20623359,27.03016887,104.6777844
42960497,42960550,42960416,42960502,42960506,42960482,42960532,42960503,42960510,42960505,,96.81,79.12644577,96.38894653,114.4014473,125.0614483,142.753952,167.5484557,298.3673469,49100,1,67.65,83.79958955,77.32560937,80.36302206,73.88904188,172.6005098,78.12391893,71.64993875,74.68735145,68.21337127,25.99800629,94.00223494
42960497,42960550,42960416,42960502,42960506,42960482,42960532,42960468,42960510,42960484,,95.7,78.22645187,94.51395035,111.4014473,122.8539509,143.9764496,166.8934467,291.4795918,49400,1,74.65,83.45562866,77.22171703,80.17703201,73.94312038,171.862633,77.86828039,71.63436876,74.58968374,68.35577211,25.00095008,82.10891485
42960497,42960550,42960416,42960502,42960506,42960451,42960532,42960553,42960460,42960505,,93.86,77.28894997,92.01395035,112.0639477,122.0964504,142.0964584,166.0044525,281.2882653,47300,1,62.65,82.930167,77.09439719,79.91906796,74.08329815,170.6285943,77.46725375,71.63148394,74.4561547,68.62038489,23.98410641,62.38428354
42960497,42960550,42960403,42960502,42960506,42960451,42960532,42960484,42960510,42960505,,94.94,78.03894806,93.86394882,113.2389526,123.4964531,141.4439491,167.9964526,292.1428571,48200,1,69.65,83.48545892,77.37384704,80.33767147,74.22605959,171.2279789,77.74177307,71.63016119,74.59398562,68.48237374,25.17957551,67.50047207
42960550,42960497,42960556,42960454,42960565,42960451,42960532,42960510,42960505,42960553,,97.22,79.87644768,96.98894882,117.3889465,127.3689518,145.0239525,171.2464526,313.0229592,48900,1,62.65,84.49321481,77.82460276,81.04263035,74.3740183,172.572478,78.28971652,71.62110447,74.83913206,68.17052002,28.07202699,96.52377367
42960550,42960497,42960556,42960502,42960565,42960451,42960532,42960510,42960503,42960553,,98.18,80.5264492,97.38895035,117.0514545,128.0039536,145.1564468,167.4409496,304.2091837,49000,1,63.65,84.03964278,77.28028414,80.38777351,73.62841486,173.573725,78.36904396,71.60968531,74.71717468,67.95781603,27.02485649,107.461822
42960497,42960550,42960556,42960502,42960506,42960482,42960439,42960468,42960510,42960553,,96.56,78.23895264,95.61395264,113.5139523,122.4014481,141.8014412,165.2959406,290.4464286,48900,1,72.65,83.34167152,76.96861548,79.90484054,73.53178451,172.5997157,77.9698273,71.59677126,74.53299633,68.15994029,25.6575936,95.52115202
42960497,42960550,42960403,42960502,42960565,42960451,42960532,42960503,42960484,42960460,,95.13,77.83895111,94.76395035,113.2514515,123.3039478,142.2489525,168.5504556,296.0714286,47500,1,57.65,83.59488138,77.4176816,80.42024839,74.24304861,171.304903,77.76181398,71.5846142,74.587181,68.40998122,26.11221221,52.84469128
42960497,42960550,42960556,42960502,42960565,42960451,42960532,42960503,42960505,42960553,,96.09,79.57645226,94.98895264,114.5139523,126.6889496,144.5464554,166.1399466,292.2321429,47800,1,53.65,83.37318326,77.06405946,80.01595534,73.70683154,172.1864155,77.87472355,71.56559975,74.51749563,68.20837183,25.81712451,73.61928225
42960550,42960497,42960416,42960502,42960506,42960451,42960532,42960468,42960505,42960503,,92.53,76.2764492,91.91394806,110.9389496,120.8264481,140.0989578,163.6424466,268.4183673,45700,1,58.65,82.21892549,76.69888422,79.36673799,73.84669673,169.8613668,77.06755169,71.54751042,74.21536419,68.69532293,22.5121607,69.67772245
42960497,42960550,42960556,42960502,42960506,42960451,42960439,42960503,42960553,42960505,,92.42,75.17644882,90.56394958,110.1889496,122.2364468,139.3414581,163.1744466,267.0153061,44200,1,60.65,82.11319192,76.62651639,79.27009706,73.78342153,169.8205185,77.02554478,71.53886925,74.18244991,68.69577438,23.04891625,60.03054976
