P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42991285,42991276,42991316,42991388,42991353,42991339,42991473,42991296,42991297,42991495,,100.22,81.82335281,103.2983475,122.8358459,134.4808563,157.0908493,179.9258551,118.62,49700,1,101.2,90.3747856,86.28589153,89.01415839,10.54930622,84.92292683,83.56229962,173.9241662,87.6511937,87.64651874,86.29056648,42.93503761
42991285,42991276,42991458,42991447,42991353,42991334,42991295,42991327,42991297,42991495,,98.46,79.47834969,100.7283516,121.1408482,134.6333473,154.7108536,179.6078477,109.9,49200,1,85.2,90.0056681,86.22093879,88.89775079,8.278522422,84.95936236,83.85144504,172.7808624,87.63617435,87.32885611,86.52825704,35.26285589
42991276,42991286,42991458,42991447,42991353,42991469,42991303,42991305,42991495,42991292,,99.26,79.55350304,99.41600418,121.5410004,132.9285042,155.0810005,181.6990094,125.77,48100,1,110.55,90.30652834,86.01677085,89.06517043,11.80965721,84.58685168,83.34549377,173.0560317,87.63525126,87.25812876,86.39389335,25.0778228
42991703,42991274,42991530,42991388,42991400,42991425,42991303,42991330,42991296,42991495,,94.49,76.04094696,93.97845459,114.5909462,125.1934513,145.1634483,178.3454454,92.9,49100,1,194.45,89.15373787,86.1712678,88.62554061,8.283726766,85.17711111,84.64891386,170.279373,87.63138392,86.69946506,87.10318666,7.805819809
42991285,42991274,42991412,42991447,42991353,42991469,42991309,42991495,42991297,42991293,,96.77,78.40185165,97.33934784,118.4268513,131.5718597,151.0718437,180.5158434,109.13,49800,1,94.05,89.74258411,86.02760914,88.86784974,9.415658193,84.78928415,83.91454978,171.5348223,87.62952475,86.90234351,86.75479038,35.09505391
42991290,42991276,42991430,42991331,42991329,42991334,42991295,42991390,42991292,42991532,,99.21,81.70479965,100.8172989,118.5922985,129.4748009,148.7197975,175.7733035,96.12,49400,1,51.95,89.83650906,86.62890229,88.64502043,7.83362719,85.55970004,84.36821141,173.7392246,87.57581818,87.82039092,86.38432955,11.28263175
42991285,42991274,42991458,42991447,42991353,42991334,42991295,42991297,42991495,42991506,,95.05,77.95085144,96.63834763,117.7633476,132.1508423,151.4883484,181.8743423,110.24,48000,1,105.05,89.42443528,85.63853964,88.76285594,9.245417385,84.37657442,83.71499508,170.1720543,87.50089073,86.30011897,86.83931139,36.02875769
42991285,42991275,42991405,42991331,42991329,42991497,42991344,42991305,42991451,42991299,,97.43,79.28535461,97.96035385,118.3478489,128.4328407,148.887851,180.9758575,115.58,49400,1,74.25,89.79656946,85.82253075,88.79688527,7.540791117,84.49785118,83.49816698,171.8668932,87.4722057,86.82221494,86.4725215,13.01669627
42991278,42991276,42991418,42991388,42991353,42991391,42991473,42991297,42991495,42991293,,96.61,80.37225342,98.7472496,119.7972488,131.7797455,152.3397354,180.9802444,112.27,49100,1,54.2,89.62442308,85.75540473,88.73837322,6.713319044,84.46573194,83.57968208,171.3097558,87.44870043,86.64145459,86.56265057,31.54512346
42991276,42991277,42991485,42991375,42991329,42991519,42991309,42991292,42991363,42991392,,101.02,81.48019981,101.8927002,120.7301979,133.2176971,156.740197,179.0787032,121.39,49700,1,66.79666667,90.309224,86.14476598,88.80180413,11.1841082,84.7566133,83.24919343,174.4856449,87.41365146,87.65218584,85.90623159,35.40489078
42991275,42991276,42991345,42991320,42991479,42991541,42991309,42991330,42991409,42991350,,97.26,80.66800117,98.24300385,118.1055012,129.407991,149.350502,175.7664964,95.93,49300,1,104.95,89.34924213,86.33709017,88.408967,7.301865688,85.33303952,84.39276439,172.378132,87.40491635,87.2773653,86.46464122,46.69142663
42991284,42991728,42991509,42991385,42991308,42991382,42991396,42991292,42991293,42991421,,88.88,69.29880142,88.91130066,108.6237984,119.9763023,139.0862953,172.8112946,42.57,49300,1,66.65,87.53660961,86.27675349,87.82417398,3.363691243,85.85680144,86.14436581,167.1371514,87.40422194,85.98918912,87.69178631,-28.90254557
42991275,42991703,42991458,42991447,42991353,42991334,42991295,42991297,42991495,42991532,,96.58,80.33144569,98.95645142,119.6564484,131.9639496,152.8289574,181.7604393,117.78,48900,1,61.65,89.63006224,85.58687357,88.7303801,10.30093977,84.23914401,83.33946187,171.1706977,87.38265054,86.48655571,86.4829684,27.67247558
42991278,42991276,42991430,42991331,42991308,42991466,42991361,42991305,42991451,42991326,,98.99,79.32724953,98.30224991,117.5147495,128.6822517,148.0697464,176.1367491,101.66,49800,1,92.2,89.67532793,86.32281903,88.47592972,7.800990942,85.20531606,84.00591784,173.4743631,87.35842675,87.52221724,86.15902854,1.385862473
42991275,42991276,42991458,42991447,42991353,42991469,42991473,42991314,42991292,42991363,,99.94,84.34850121,102.9859962,122.861002,133.0610046,154.8460045,183.7250136,142.6,49200,1,43.95,90.3794861,85.4638079,88.9723918,13.14913333,83.8252485,82.4181542,173.1588277,87.3338324,86.87090219,85.9267381,46.60542607
42991280,42991276,42991485,42991515,42991329,42991519,42991309,42991330,42991292,42991314,,97.91,79.50874901,99.37124634,118.8462505,130.0237534,146.0287407,175.8762463,95.34,49600,1,59.15,89.42497742,86.25689663,88.37643026,7.832821621,85.2008697,84.15232255,172.7713113,87.32040333,87.30544379,86.27185617,38.55029345
42991278,42991728,42991509,42991385,42991433,42991525,42991303,42991296,42991338,42991293,,93.99,75.46224976,92.81224823,111.6497517,121.73475,145.8647438,173.0627557,67.33,49600,1,134.9,88.46188939,86.37013752,87.99702132,4.915876445,85.6728869,85.20801883,170.490776,87.2997707,86.83500559,86.83490263,1.088914275
42991275,42991274,42991529,42991408,42991479,42991541,42991303,42991330,42991442,42991296,,96.75,79,97.92499924,116.9499969,127.5299995,149.2525002,176.0530031,95.69,48500,1,146.8,89.20122818,86.15566486,88.31383364,6.503468044,85.14047708,84.25308254,171.9658004,87.29864587,87.0430594,86.41125132,33.87728333
42991275,42991276,42991529,42991385,42991479,42991334,42991415,42991426,42991330,42991296,,100.86,83.07749748,100.7150002,120.0025024,129.7050011,149.7150024,174.0445084,102.29,48200,1,87.95,89.83723131,86.57130757,88.37647708,7.994795023,85.48266632,84.0219121,174.9622969,87.28783584,88.0320618,85.82708161,38.61052692
42991278,42991276,42991430,42991331,42991497,42991541,42991344,42991305,42991338,42991296,,102.01,82.13675308,100.7992516,121.3617516,133.2142502,155.2017494,178.9807492,127.58,49400,1,103.2,90.40552499,86.05283235,88.73549654,11.5335797,84.60193481,82.93190636,175.1173254,87.284599,87.7228608,85.61457055,28.56752276
42991276,42991277,42991485,42991424,42991502,42991365,42991315,42991362,42991437,42991292,,95.59,76.56770325,94.06769943,112.467701,123.6077011,143.3177002,172.6202063,71.78,48000,1,113.7966667,88.69110866,86.41845434,87.98940408,3.50814055,85.66090289,84.95919831,171.5938837,87.23185263,87.12015892,86.53014805,33.39964747
42991276,42991703,42991458,42991388,42991353,42991365,42991415,42991297,42991495,42991292,,98.17,81.27144814,99.47144699,120.4964466,132.5539482,154.1014503,179.6499538,114.95,50000,1,66.6,89.67913351,85.72258491,88.5439105,10.05271027,84.40373537,83.26851237,172.4445189,87.22506097,86.85780791,86.08983797,12.19056398
42991275,42991276,42991529,42991320,42991479,42991334,42991295,42991442,42991426,42991330,,98.25,81.65250206,99.79000092,118.414999,128.5974968,149.1424995,174.1404994,94.23,49100,1,91.95,89.29192205,86.34257436,88.19132805,7.02735001,85.35945846,84.25886445,173.1771716,87.20821215,87.44316837,86.10761814,29.62168753
42991275,42991286,42991485,42991440,42991308,42991519,42991361,42991363,42991292,42991326,,95.77,77.07799911,96.52799606,116.9655018,128.2755051,150.6754967,176.6119968,94.19,48100,1,80.6,88.98912292,85.93156691,88.22119539,6.620614394,84.91238157,84.14445405,171.2082832,87.20201005,86.69949443,86.43408253,11.24817431
42991278,42991286,42991485,42991331,42991497,42991425,42991315,42991305,42991338,42991296,,98.88,78.64975166,96.93724823,116.2872524,128.5272385,149.7122498,178.1182437,112.51,48300,1,130.85,89.68393701,85.89449176,88.45495224,10.21082293,84.63134335,83.40235858,173.0989422,87.19180383,87.12347652,85.96281906,6.011525914
42991278,42991279,42991430,42991312,42991433,42991466,42991344,42991305,42991451,42991296,,97.61,77.69145012,95.3539505,114.6789494,126.1939537,149.5539459,174.555961,88.37,49100,1,121.85,89.16500813,86.20444995,88.14399197,6.127074064,85.21759722,84.19658106,172.6802142,87.15713924,87.2254661,86.13612309,9.251619875
42991285,42991290,42991340,42991385,42991359,42991425,42991318,42991338,42991296,42991291,,99.06,78.44064903,97.8906517,118.8531513,130.8856529,150.8931549,180.3171494,117.12,49500,1,161.25,89.83232681,85.5754958,88.54746124,9.176287733,84.15655213,82.87168656,172.925019,87.12851757,86.86036137,85.843652,23.41687679
42991276,42991274,42991529,42991331,42991479,42991541,42991415,42991343,42991363,42991292,,100.36,82.6400013,100.4900017,120.5149975,131.6975029,150.5425079,175.4690024,108.11,48200,1,88.75,89.73259336,86.19015945,88.3033447,8.898288197,85.00934814,83.58009948,174.3955476,87.12253339,87.61940811,85.69328473,49.42811131
42991275,42991286,42991354,42991320,42991585,42991334,42991295,42991342,42991376,42991478,,90.89,77.34999847,94,113.3749981,124.3100002,142.8025032,176.272,76.29,49000,1,69.6,87.97151483,85.63186375,87.8913185,4.815657767,84.85198006,84.77178373,167.954573,87.11143481,85.71206008,87.03123848,-18.95842999
42991276,42991703,42991555,42991515,42991329,42991519,42991303,42991368,42991384,42991292,,95.18,78.67094994,96.50844955,117.5709476,127.7834473,145.238459,177.2114413,96.23,48000,1,94.6,88.85565317,85.72353082,88.15120446,8.159484922,84.67949003,83.97504132,170.7073295,87.10716368,86.42797953,86.40271497,13.67502213
42991290,42991276,42991485,42991312,42991329,42991519,42991315,42991368,42991363,42991292,,97.42,79.84529877,99.67030334,118.9453011,129.435302,148.9803062,174.7243063,89.81,48300,1,68.95,89.10464723,86.1129612,88.10038633,6.469991932,85.11573252,84.11147163,172.5141469,87.10315766,87.1172221,86.09889676,28.36525738
42991275,42991703,42991352,42991551,42991329,42991466,42991344,42991305,42991495,42991291,,97.8,80.6439476,100.3314476,120.0189533,130.1789497,151.6114456,182.0184544,127.14,49900,1,67.65,89.6888284,85.27796663,88.56369672,10.79874301,83.80767937,82.68254769,171.8586607,87.09340946,86.40309831,85.96827778,11.57089472
42991275,42991286,42991509,42991349,42991308,42991298,42991415,42991343,42991330,42991442,,97.1,78.18749809,98.79999924,117.8749981,130.0150009,147.0050003,173.653994,87.85,48600,1,73.6,88.95661913,86.20223203,88.00504132,6.465726608,85.28410299,84.33252518,172.4276043,87.08691229,87.15380984,86.13533448,9.897061437
42991276,42991274,42991345,42991320,42991433,42991480,42991309,42991350,42991398,42991421,,93.51,74.68050003,93.36800003,112.8680019,123.3655025,146.498011,174.2009932,75.73,49600,1,103.75,88.3028101,85.95659339,87.85963678,3.950650986,85.17452116,84.73134784,169.95402,87.07756455,86.39976671,86.63439123,8.726638556
42991285,42991275,42991405,42991331,42991329,42991466,42991344,42991305,42991451,42991299,,97.77,79.98834991,97.86334991,116.9508476,128.5708527,150.3358543,177.4818484,105.92,49700,1,62.25,89.34345422,85.76953929,88.25853438,6.802466262,84.57823432,83.49331448,172.3936807,87.06722941,86.85445913,85.98230957,5.581232905
42991275,42991276,42991354,42991385,42991497,42991306,42991303,42991585,42991342,42991478,,94.18,77.92450333,95.23700333,114.4495029,125.2594997,147.4019943,177.8060027,97.59,49100,1,86.95,88.67731949,85.55574411,88.10365754,6.616912446,84.51521899,83.94155704,169.9495425,87.06313242,86.12940606,86.48947047,-5.343929678
42991275,42991274,42991430,42991331,42991366,42991480,42991309,42991305,42991551,42991451,,95.62,77.68199539,95.23199463,116.4569988,127.0045013,146.9819946,179.6479886,111.42,49100,1,77.8,89.06564049,85.38080072,88.26466827,8.552744757,84.15252079,83.35154857,170.6753713,87.03638835,86.18177294,86.23541613,0.03474993
42991285,42991286,42991345,42991320,42991329,42991519,42991309,42991409,42991292,42991314,,95.68,77.41334915,96.31335449,116.1258507,127.3208538,147.6733452,175.2723514,88.96,49200,1,104.85,88.75730563,85.87279717,87.98430974,7.84305792,84.91129435,84.13829846,171.2548146,87.02280692,86.64579306,86.24981103,38.30069005
42991276,42991274,42991458,42991447,42991308,42991382,42991361,42991495,42991421,42991313,,94.55,76.27750206,93.83999634,116.9025002,128.404998,151.0725082,176.9989903,93.35,48200,1,98.75,88.64751045,85.59089151,88.01714297,5.777460871,84.57201852,83.94165104,170.2758296,86.99826998,86.22125899,86.3679025,11.8462719
42991275,42991276,42991458,42991385,42991400,42991425,42991344,42991551,42991296,42991338,,99.15,82.83999634,99.54000092,120.2774982,130.1975006,148.6900024,177.5500085,116.23,48100,1,102.95,89.55066846,85.7200335,88.2518746,9.479102647,84.44315518,83.14436133,173.2779833,86.97499628,87.01882736,85.67620243,2.078647353
42991279,42991276,42991518,42991312,42991433,42991365,42991315,42991362,42991327,42991419,,92.24,73.93169785,89.28170395,109.6066971,121.2142025,138.8792046,169.1747076,44.49,48200,1,120.55,87.62339107,86.33659876,87.38705325,2.152013929,85.90766799,85.67133018,169.6889836,86.95812248,86.57293657,86.72178467,32.3970288
42991285,42991277,42991530,42991312,42991400,42991525,42991303,42991296,42991390,42991292,,96.4,77.76005363,96.88505173,115.6100464,126.2325516,144.2750519,172.0250404,76.15,49700,1,188.0966667,88.61787368,86.20063409,87.75883514,6.363915959,85.39488755,84.53584901,172.1169964,86.95308861,87.05967262,86.09405007,37.07003295
42991276,42991277,42991485,42991320,42991329,42991519,42991309,42991409,42991350,42991363,,95.19,77.67070007,95.14570236,116.2206955,126.6932003,151.0431908,176.6732152,96.19,48100,1,73.79666667,88.70574006,85.58732153,87.9762351,8.231111157,84.54784869,83.81834374,170.7241136,86.93676226,86.31682649,86.20725731,36.62685454
42991284,42991286,42991430,42991331,42991329,42991519,42991344,42991296,42991292,42991314,,98.68,80.06130219,98.48629761,118.4238014,130.5187943,149.3738098,176.4358006,104.31,49800,1,70.6,89.3513005,85.77300188,88.12220449,9.05019131,84.58023568,83.35113966,173.0867429,86.92943828,87.0020979,85.70034227,2.125990577
42991278,42991276,42991340,42991375,42991497,42991318,42991315,42991305,42991392,42991429,,101.01,80.58675194,100.9242516,119.8117542,130.7492393,152.3092552,181.5557553,137.19,49900,1,98.2,90.15302401,85.28056262,88.54249715,0,83.65640882,82.04588195,174.0059945,86.91834335,86.89108949,85.30781648,29.48834002
42991278,42991275,42991458,42991385,42991400,42991425,42991344,42991296,42991338,42991363,,99.87,82.54974937,100.2122498,119.6247501,131.7697533,151.5647552,177.2312497,117.18,49500,1,95.25,89.62246981,85.7155878,88.21244819,9.968118525,84.4132938,83.00327219,173.7778212,86.91015419,87.12560942,85.50013258,9.729257971
