P,P,C,1B,2B,3B,SS,OF,OF,OF
42643652,42643649,42643853,42643685,42643803,42643681,42643825,42643664,42643721,42643800
42643652,42643658,42643667,42643722,42643765,42643735,42643748,42643664,42643821,42643721
42643662,42643648,42643832,42643669,42643736,42643714,42643825,42643712,42643665,42643699
42643648,42643653,42643695,42643813,42643742,42643750,42643678,42643745,42643749,42643702
42643652,42643658,42643682,42643718,42643798,42643725,42643876,42643664,42643670,42643762
42643657,42643649,42643832,42643813,42643736,42643700,42643705,42643702,42643749,42643665
42643652,42643658,42643807,42643755,42643714,42643700,42643678,42643793,42643716,42643665
42643651,42643649,42643832,42643669,42643688,42643836,42643825,42643703,42643745,42643702
42643658,42643649,42643679,42643739,42643668,42643725,42643876,42643745,42643738,42643699
42643657,42643658,42643724,42643669,42643786,42643864,42643683,42643703,42643664,42643726
42643652,42643658,42643717,42643708,42643757,42643766,42643727,42643854,42643665,42643666
42643661,42643649,42643667,42643671,42643797,42643707,42643799,42643767,42643772,42643687
42643652,42643656,42643832,42643704,42643736,42643750,42643743,42643664,42643672,42643794
42643657,42643648,42643682,42643813,42643736,42643709,42643825,42643703,42643672,42643749
42643658,42643651,42643689,42643708,42643668,42643750,42643683,42643672,42643794,42643854
42643661,42643658,42643667,42643676,42643742,42643735,42643748,42643665,42643713,42643781
42643660,42643649,42643682,42643718,42643736,42643681,42643825,42643712,42643699,42643762
42643661,42643650,42643807,42643669,42643736,42643836,42643705,42643745,42643703,42643664
42643657,42643649,42643667,42643676,42643791,42643681,42643740,42643800,42643835,42643719
42643654,42643658,42643667,42643669,42643714,42643766,42643727,42643776,42643854,42643665
42643656,42643649,42643807,42643671,42643742,42643766,42643700,42643842,42643730,42643665
42643661,42643658,42643667,42643704,42643688,42643750,42643705,42643794,42643672,42643692
42643652,42643658,42643717,42643684,42643847,42643709,42643678,42643745,42643699,42643690
42643654,42643658,42643807,42643755,42643830,42643735,42643678,42643712,42643664,42643670
42643657,42643652,42643710,42643676,42643814,42643685,42643683,42643794,42643672,42643772
42643661,42643658,42643667,42643706,42643714,42643700,42643683,42643719,42643687,42643806
42643658,42643656,42643695,42643676,42643688,42643770,42643705,42643745,42643702,42643692
42643658,42643656,42643795,42643684,42643736,42643709,42643847,42643712,42643664,42643666
42643661,42643660,42643689,42643669,42643742,42643750,42643825,42643712,42643664,42643672
42643658,42643650,42643682,42643676,42643830,42643681,42643683,42643716,42643821,42643721
42643658,42643649,42643667,42643684,42643736,42643735,42643825,42643703,42643842,42643692
42643652,42643654,42643807,42643704,42643830,42643770,42643683,42643716,42643670,42643672
42643648,42643658,42643737,42643676,42643714,42643735,42643748,42643729,42643756,42643692
42643658,42643651,42643902,42643722,42643742,42643681,42643869,42643664,42643721,42643665
42643657,42643649,42643787,42643739,42643797,42643725,42643683,42643664,42643719,42643806
42643654,42643656,42643832,42643722,42643736,42643681,42643740,42643703,42643745,42643665
42643654,42643658,42643695,42643893,42643688,42643700,42643825,42643672,42643702,42643665
42643657,42643658,42643679,42643708,42643742,42643766,42643727,42643664,42643672,42643842
42643658,42643656,42643689,42643718,42643742,42643750,42643678,42643670,42643802,42643672
42643648,42643649,42643695,42643813,42643688,42643691,42643854,42643749,42643805,42643698
42643655,42643648,42643682,42643813,42643688,42643836,42643825,42643664,42643805,42643702
42643648,42643658,42643695,42643813,42643736,42643720,42643705,42643749,42643733,42643680
42643648,42643658,42643667,42643733,42643786,42643685,42643697,42643670,42643796,42643957
42643648,42643656,42643851,42643893,42643773,42643681,42643723,42643664,42643711,42643698
42643661,42643648,42643695,42643893,42643688,42643830,42643705,42643702,42643665,42643733
42643652,42643648,42643889,42643671,42643803,42643707,42643723,42643730,42643713,42643698
42643652,42643648,42643682,42643940,42643765,42643685,42643723,42643721,42643821,42643699
42643652,42643648,42643851,42643684,42643773,42643691,42643683,42643767,42643698,42643801
42643648,42643658,42643724,42643693,42643786,42643714,42643700,42643665,42643729,42643957
42643652,42643648,42643851,42643669,42643773,42643691,42643723,42643745,42643711,42643762
42643648,42643661,42643807,42643693,42643830,42643720,42643678,42643670,42643793,42643680
42643652,42643648,42643682,42643867,42643798,42643817,42643683,42643719,42643687,42643726
42643648,42643658,42643682,42643747,42643798,42643685,42643705,42643699,42643780,42643713
42643652,42643648,42643710,42643755,42643815,42643830,42643723,42643670,42643716,42643698
42643648,42643661,42643682,42643684,42643798,42643709,42643876,42643699,42643690,42643694
42643652,42643658,42643787,42643706,42643773,42643691,42643683,42643726,42643687,42643698
42643652,42643661,42643710,42643755,42643830,42643770,42643678,42643670,42643664,42643772
42643654,42643658,42643682,42643733,42643736,42643725,42643876,42643703,42643664,42643699
42643652,42643661,42643832,42643669,42643798,42643691,42643723,42643745,42643664,42643703
42643658,42643656,42643695,42643676,42643688,42643770,42643705,42643805,42643702,42643672
42643652,42643658,42643682,42643693,42643714,42643750,42643881,42643665,42643729,42643699
42643652,42643658,42643667,42643676,42643786,42643743,42643678,42643793,42643745,42643716
42643652,42643654,42643832,42643733,42643736,42643735,42643697,42643745,42643664,42643711
42643654,42643656,42643667,42643708,42643736,42643700,42643854,42643703,42643664,42643842
42643657,42643652,42643832,42643669,42643797,42643817,42643683,42643664,42643719,42643726
42643652,42643656,42643832,42643685,42643757,42643681,42643825,42643703,42643664,42643721
42643652,42643654,42643667,42643722,42643736,42643685,42643869,42643664,42643800,42643821
42643652,42643651,42643807,42643669,42643736,42643830,42643678,42643745,42643712,42643716
42643661,42643656,42643682,42643739,42643736,42643725,42643678,42643712,42643664,42643762
42643652,42643654,42643689,42643669,42643742,42643685,42643825,42643745,42643672,42643802
42643652,42643656,42643832,42643669,42643714,42643700,42643825,42643745,42643712,42643665
42643654,42643656,42643667,42643669,42643765,42643864,42643825,42643745,42643664,42643692
42643657,42643652,42643710,42643759,42643736,42643750,42643740,42643672,42643772,42643665
42643657,42643661,42643832,42643669,42643736,42643735,42643683,42643703,42643712,42643666
42643657,42643650,42643832,42643722,42643736,42643750,42643825,42643703,42643664,42643672
42643652,42643654,42643667,42643706,42643797,42643750,42643683,42643821,42643687,42643726
