Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
44,5118339926,elchispon (2/3),0,144.95,1B Christian Walker 2B Jose Altuve 3B Jose Ramirez C Yainer Diaz OF Bryan Reynolds OF Angel Martinez OF MJ Melendez P Ryan Weathers P Bailey Ober SS Carlos Correa,,Luis Robert Jr.,OF,7.76%,3
45,5117479666,TeeJayOrTj (103/150),0,144.4,1B Ben Rice 2B Matt McLain 3B Ryan McMahon C Victor Caratini OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Ryan Weathers P Mike Burrows SS Elly De La Cruz,,Shane McClanahan,P,7.64%,6.95
46,5118168802,MichLK,0,144.35,1B Ben Rice 2B Amed Rosario 3B Luis Rengifo C Gary Sanchez OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Jacob Misiorowski P Ryan Weathers SS Brooks Lee,,Nico Hoerner,2B,7.57%,12
47,5117727467,mau5pad (146/150),0,144.15,1B Christian Walker 2B Jose Altuve 3B Nick Gonzales C Joey Bart OF Yordan Alvarez OF Bryan Reynolds OF Jake Mangum P Eury Perez P Bailey Ober SS Konnor Griffin,,MJ Melendez,OF,7.54%,14
48,5118073793,ShipMyMoney (39/150),0,144.05,1B Ben Rice 2B Juan Brito 3B Jose Ramirez C Tyler Stephenson OF Aaron Judge OF Daniel Schneemann OF Spencer Steer P Eury Perez P Shane McClanahan SS Brayan Rocchio,,Eugenio Suarez,3B,7.53%,4
49,5118039862,hishboo (31/150),0,144,1B Sal Stewart 2B Matt McLain 3B Jose Ramirez C Tyler Stephenson OF Aaron Judge OF TJ Friedl OF Spencer Steer P Eury Perez P Ryan Weathers SS Francisco Lindor,,Trevor Larnach,OF,7.09%,11
50,5118063901,ShipMyMoney (1/150),0,143.95,1B Curtis Mead 2B Nasim Nunez 3B Jose Ramirez C Gary Sanchez OF James Wood OF Daniel Schneemann OF David Fry P Ryan Weathers P Bailey Ober SS CJ Abrams,,Maikel Garcia,3B,6.72%,0
51,5117985522,mrgoodseats (37/150),0,143.85,1B Ben Rice 2B JJ Wetherholt 3B Amed Rosario C Ivan Herrera OF Aaron Judge OF Jordan Walker OF Cody Bellinger P Ryan Weathers P Javier Assad SS Masyn Winn,,Cam Smith,OF,6.40%,0
52,5117940641,invertedcheese (32/150),0,143,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Austin Wells OF Cody Bellinger OF Trent Grisham OF TJ Friedl P Eury Perez P Ryan Weathers SS Elly De La Cruz,,Cody Bellinger,OF,6.34%,13
53,5118070061,FantasyGOAT01 (9/9),0,142.95,1B Ben Rice 2B JJ Wetherholt 3B Amed Rosario C Ivan Herrera OF Aaron Judge OF Jordan Walker OF Cody Bellinger P Ryan Weathers P Bailey Ober SS Jose Caballero,,Carson Benge,OF,6.30%,0
