P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42962147,42962148,42962254,42962236,42962179,42962256,42962222,42962294,42962293,42962221,,98.37,77.34119987,95.85370255,116.9537029,129.1912018,149.7112045,184.0542108,141.52,49500,1,76.95,88.50069402,83.72637197,87.55381697,10.8459349,82.13493128,81.18805424,169.6163786,85.96237629,84.67324901,85.01549924,0.370355439
42962147,42962149,42962274,42962381,42962179,42962218,42962242,42962294,42962211,42962188,,104.41,82.68114853,102.4811478,123.2061481,133.7286476,157.3786552,185.6676584,168.44,49500,1,78.45,89.72988858,83.81683981,87.93011559,12.08717496,81.84582356,80.04605058,173.3271627,85.95909934,85.6166128,84.15932635,38.52452338
42962157,42962149,42962254,42962194,42962208,42962256,42962246,42962175,42962283,42962170,,98.69,76.81874847,97.39374924,119.1562462,133.1712448,156.4337616,183.7787531,136.38,49700,1,109.85,88.5381612,83.7687595,87.54873836,11.45723273,82.17895893,81.18953609,169.8564766,85.95893779,84.75818234,84.96951495,15.99429697
42962157,42962149,42962254,42962248,42962179,42962256,42962236,42962165,42962283,42962192,,103.74,82.12325096,103.0857506,123.1607513,137.3832474,162.4157509,186.8277603,175.58,49600,1,121.85,89.6873258,83.65190463,87.9701615,14.58572741,81.64009758,79.92293328,172.7497439,85.95835444,85.36906894,84.24119014,36.60108149
42962154,42962149,42962244,42962228,42962233,42962218,42962242,42962271,42962170,42962192,,98.83,78.35149384,96.76399994,116.5640011,128.79151,148.3890076,187.8920074,160.93,49600,1,106.5,88.84216462,83.28194748,87.79395567,8.934136677,81.42854177,80.38033283,169.4328741,85.94054996,84.33015642,84.89234102,-11.82411611
42962150,42962154,42962254,42962248,42962179,42962256,42962236,42962165,42962283,42962192,,101.94,81.37809563,100.8156013,121.2906036,132.4705971,155.7581009,186.0421036,173.39,49600,1,112.25,89.28147958,83.62839054,87.8166764,14.58335842,81.74402752,80.27922434,171.6725321,85.93231339,85.09319371,84.46751021,16.99691862
42962148,42962149,42962250,42962225,42962313,42962354,42962330,42962195,42962184,42962165,,100.92,83.26734734,101.6798515,119.2673512,130.2023544,148.8923523,183.9848584,141.68,49600,1,106.2,88.93490233,83.79508134,87.62662785,10.92209801,82.08180768,80.77353321,171.2598542,85.91335419,85.10335582,84.60507971,26.16644502
42962148,42962149,42962224,42962285,42962179,42962256,42962168,42962247,42962259,42962347,,96.94,78.3403511,96.60285187,117.6153507,129.4103477,152.8103561,181.0368384,120.23,50000,1,80.2,87.98610487,83.94157167,87.25502549,5.03562662,82.59339393,81.86231455,169.0446251,85.90684775,84.67265105,85.17576837,36.1492157
42962149,42962157,42962411,42962194,42962219,42962312,42962242,42962163,42962266,42962175,,102.53,81.16075325,101.7107506,122.185751,134.3257591,156.7207542,179.7132544,130.79,49700,1,128.85,88.92130635,84.34217106,87.42483734,11.38913113,82.81579263,81.31932362,172.825134,85.89845891,85.83864007,84.4019899,31.6398114
42962150,42962149,42962217,42962285,42962264,42962312,42962168,42962259,42962247,42962175,,97.17,77.37540054,94.81290054,115.7628994,125.6878967,144.0253998,175.3154028,81.38,49400,1,72.45,87.60901432,84.5809407,86.89256547,4.627396553,83.57158282,82.85513397,169.8924776,85.8832076,85.29738955,85.16675875,48.92889857
42962150,42962153,42962217,42962194,42962299,42962312,42962200,42962205,42962175,42962181,,98.97,77.23709869,96.68710327,117.8495979,128.2370934,148.7570915,171.1491002,72.67,49700,1,92.1,87.63929121,85.12699138,86.70767589,6.365113243,84.2895581,83.35794278,171.5684267,85.87024261,86.05860669,84.93862729,36.94957495
42962147,42962149,42962204,42962228,42962178,42962185,42962246,42962320,42962293,42962294,,98.45,78.98664665,96.17414856,113.7741451,127.136644,144.4816574,178.9006546,98.2,49700,1,75.45,88.08881409,84.21119291,87.16058955,6.455900517,82.91865252,81.99042799,170.2733836,85.86804916,85.13941744,84.93982463,1.446092688
42962149,42962159,42962411,42962194,42962180,42962312,42962242,42962175,42962192,42962188,,100.35,77.53394699,97.53395081,119.2464542,131.8114555,152.3764481,181.4649539,141.84,49800,1,96.35,88.61251174,83.98944103,87.39580379,10.74953652,82.44841746,81.23170951,171.1825227,85.85478022,85.20614898,84.63807227,15.87383896
42962150,42962149,42962254,42962248,42962179,42962256,42962222,42962203,42962181,42962283,,103.61,83.30789948,103.4079056,123.8704014,133.1728989,154.6778976,183.1678979,162.57,50000,1,112.45,89.32146997,83.91968103,87.63377645,12.87713796,82.11908471,80.43139119,173.0759582,85.83318013,85.60737455,84.14548661,31.48489594
42962154,42962153,42962250,42962190,42962173,42962268,42962300,42962241,42962191,42962165,,93.68,75.44869804,94.7111969,114.3237019,125.5211971,147.176194,179.6891939,101.15,49900,1,84.15,87.22419931,83.83402527,86.94146327,8.046992762,82.70396725,82.42123121,167.0682836,85.81140526,84.11676131,85.52866921,29.80237603
42962149,42962157,42962250,42962194,42962173,42962268,42962200,42962287,42962241,42962175,,100.01,81.27324677,100.1357498,121.4857521,132.2682449,153.3232597,179.5367422,116.27,49600,1,82.85,88.37615,84.12955316,87.21429946,10.55271429,82.71402088,81.55217033,171.1818864,85.79876718,85.29140371,84.63691663,29.26031053
42962147,42962149,42962254,42962258,42962179,42962344,42962236,42962294,42962283,42962170,,101.83,81.34414673,100.9941521,121.6316509,134.3591476,155.7466415,182.4961407,148.59,49400,1,109.45,88.92001618,83.8711672,87.4790665,11.52234432,82.18821754,80.74726785,171.9939527,85.79611683,85.31211689,84.35516715,29.50122356
