F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704858,Youssef Zalal,8400,83.47,42704861,Joselyne Edwards,7400,46.21,42704865,Talita Alencar,7200,46.29,415.72,50000,24.5,2.4515e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704869,Mayra Bueno Silva,6900,30.35,415.56,49500,24.5,2.4518e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704858,Youssef Zalal,8400,83.47,42704875,Marcus Buchecha,8300,67.03,42704865,Talita Alencar,7200,46.29,42704867,Eric McConico,7100,29.68,415.40,49800,25.1,2.5080e+1
42728122,Jafel Filho,9500,95.99,42704864,Julia Polastri,9000,76.53,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42728123,Cody Durden,6700,26.07,415.29,50000,24.4,2.4440e+1
42704868,Michelle Montague,9300,92.94,42704864,Julia Polastri,9000,76.53,42704870,Jackson McVey,8700,76.46,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,415.25,50000,25.0,2.5037e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704860,Norma Dumont,8800,71.70,42704858,Youssef Zalal,8400,83.47,42704865,Talita Alencar,7200,46.29,42728125,Lucas Brennan,6800,24.79,415.18,50000,23.2,2.3175e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42728126,Victor Valenzuela,8600,60.39,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704869,Mayra Bueno Silva,6900,30.35,415.18,49800,25.0,2.5045e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42728127,Max Griffin,7600,48.53,414.97,50000,25.0,2.5010e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704861,Joselyne Edwards,7400,46.21,42728125,Lucas Brennan,6800,24.79,414.62,49900,24.5,2.4532e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704856,Adrian Luna Martinetti,8200,54.49,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704861,Joselyne Edwards,7400,46.21,414.62,49900,24.7,2.4683e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704857,Davey Grant,8000,67.34,42704873,Rafa Garcia,7700,56.77,42704869,Mayra Bueno Silva,6900,30.35,414.61,49900,24.8,2.4812e+1
42704868,Michelle Montague,9300,92.94,42704864,Julia Polastri,9000,76.53,42704860,Norma Dumont,8800,71.70,42704875,Marcus Buchecha,8300,67.03,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,414.57,49900,25.0,2.5048e+1
