P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Saber Score
42755626,42755632,42755876,42755660,42755715,42755650,42755799,42756008,42755847,42755686,,108.29,86.44805145,108.2480469,131.7605476,141.7480469,161.3155502,185.0115469,129.01,49700,1,122.4,51.01594329
42755630,42755628,42755902,42755660,42755744,42755650,42755682,42755964,42755950,42755651,,93.85,75.90514946,94.61765289,115.5051537,125.6501537,142.127652,166.0481482,94.96,49800,1,53.95,-29.94382083
42755628,42756140,42755902,42755855,42755744,42755650,42755655,42755964,42755950,42755648,,102.52,84.56370163,102.7262039,120.2887058,131.291198,151.2486961,173.9771962,118.08,50000,1,67.5,3.644907475
42755630,42755628,42755902,42755660,42755744,42755682,42755655,42755964,42755950,42755648,,93.31,74.71765327,94.24265289,112.917654,124.0926525,144.6551544,166.9996452,91.71,49600,1,55.95,-40.92921317
42755630,42755628,42755902,42755660,42755744,42755682,42755655,42755964,42755950,42755651,,92.92,74.0176487,93.71765137,114.6176567,124.5076538,140.4476433,161.6041362,85.86,49300,1,53.95,-33.01611245
42755628,42756140,42755699,42755670,42755781,42755725,42755649,42755771,42755955,42755910,,102.73,84.08569908,102.023201,122.0107002,132.2131973,151.113205,170.5652025,113.58,49400,1,71.5,14.09243196
42755628,42755630,42755699,42755670,42755662,42755725,42755649,42755771,42755955,42755910,,92.11,74.95215225,92.06465149,112.2771492,122.4296497,142.4296432,164.6206544,75.07,49900,1,47.95,-18.40767711
42755628,42755630,42755699,42755670,42755781,42755725,42755649,42755745,42755771,42755910,,94.53,74.86465454,93.26464844,111.2021503,123.1796497,141.9196426,164.6196545,77.91,49200,1,61.95,-14.64260072
42755628,42755630,42755699,42755855,42755662,42755650,42755862,42755741,42755771,42755731,,91.9,74.55215073,93.36465073,113.41465,124.0021454,141.6271545,161.8186514,73.79,49200,1,40.95,-15.87325484
42755626,42755632,42755876,42755658,42755715,42755696,42755799,42755964,42755647,42755727,,106.97,89.13554955,106.598053,127.2730503,140.2480469,161.7605469,184.79905,125.68,49900,1,118.4,25.60280561
42755626,42755643,42755876,42755752,42755715,42755650,42755799,42755964,42755674,42755647,,98.59,80.03994942,96.86495209,119.2899532,132.5449532,149.1674477,172.0654416,115.43,49300,1,102.6,-9.539297968
42755626,42755632,42755876,42755658,42755715,42755911,42755799,42755654,42755727,42755694,,105.22,86.77305031,105.1230507,123.9605503,136.3980408,156.7555466,179.3620529,113.58,49400,1,111.4,25.29296875
42755626,42755632,42755876,42755658,42755757,42755911,42755799,42755647,42755727,42755694,,104.64,87.68555069,104.0480499,125.1355515,136.4780563,156.1005524,181.3660529,113.1,49600,1,113.4,29.17850614
42755626,42755628,42755902,42755658,42755829,42755696,42755842,42755654,42755964,42755674,,97.71,80.75499916,100.3300018,118.8050003,129.0449997,148.3224991,178.8639867,106.97,49100,1,45.55,-14.38010931
42755626,42755627,42755902,42755658,42755757,42755696,42755891,42755654,42755964,42755674,,90.29,73.86750412,91.97999954,110.3925037,121.4525005,138.6274872,156.6839926,63.59,49500,1,53.6,-35.1546973
42755626,42755628,42755902,42755658,42755757,42755696,42755891,42755654,42755964,42755674,,95.32,79.96749687,96.75499725,116.5925007,129.1324875,144.4799965,167.3374866,93.42,49300,1,48.55,-21.15724534
42755628,42755637,42755935,42755670,42755781,42755682,42755649,42755745,42755904,42755651,,101.21,81.66160011,99.41159821,118.799099,131.2516037,148.5465912,166.1900996,105.24,49700,1,72.2,19.06658709
42755642,42755637,42755669,42755670,42755781,42755650,42755649,42755897,42755804,42755745,,93.64,74.41144943,92.24895096,110.7239532,121.6314476,143.8339447,167.6774503,70.04,49100,1,51.35,-14.25964981
42755637,42755638,42755714,42755670,42755781,42755682,42755649,42755745,42755904,42755665,,95.57,74.94784737,94.58535385,114.21035,125.2753529,142.3128487,154.6628546,70.91,49400,1,77.45,-22.50835896
42755628,42755637,42755714,42755670,42755781,42755830,42755649,42755897,42755745,42755665,,97.32,77.87409782,97.01160049,116.1116009,126.9365997,146.8890968,165.0391057,83.25,49000,1,66.2,-11.04532927
42755626,42755634,42755669,42755681,42755781,42755953,42755649,42755674,42755847,42756008,,99.5,81.56864929,100.7186508,118.0686493,129.6411514,150.2711464,167.4196553,91.44,49900,1,133.85,4.888447002
42755626,42755634,42755669,42755681,42755781,42755953,42755649,42755847,42756008,42755706,,100.76,83.24364662,102.1686554,120.7436504,131.3061462,151.1986404,173.4196402,95.45,49100,1,136.85,15.3230831
42755626,42755634,42755669,42755919,42755781,42755732,42755649,42755674,42755847,42756008,,100.03,81.76864624,101.1686516,119.5811501,131.2061401,149.8286491,177.3741524,92.94,49000,1,124.85,28.80844176
42755626,42755634,42755669,42755856,42755703,42755732,42755668,42755880,42755661,42755787,,99.54,82.218647,101.5936508,121.3311501,133.7186584,154.4786583,173.3751523,91.64,49400,1,107.85,1.205173135
42755626,42755634,42755669,42755670,42755781,42755953,42755649,42755661,42755904,42755847,,101.17,83.06864929,101.6186523,119.3686523,130.8061462,148.9886581,174.0706493,98.43,49700,1,114.85,28.21034193
42755626,42755634,42755669,42755670,42755781,42755953,42755649,42755880,42755661,42755847,,100.34,82.81864929,101.1436539,119.0436478,131.4186554,148.973658,177.0486462,98.87,49800,1,117.85,26.16644502
42755637,42755632,42755876,42755660,42755715,42755746,42755682,42755904,42755647,42755686,,104.2,84.6596489,101.7346497,125.4346542,137.5646523,155.392144,175.7356497,119.6,49500,1,114.05,8.042537421
42755628,42755632,42755876,42755837,42755722,42755746,42755682,42755706,42755727,42755647,,105.85,86.23554802,103.3730507,125.3355503,136.020546,155.9030556,181.30605,129.2,49200,1,133.75,24.47972596
42755646,42755632,42755876,42755660,42755722,42755746,42755682,42755727,42755647,42755686,,99.2,78.14880371,98.87380219,118.8237991,129.9712929,151.2863091,172.8027975,104.54,49100,1,98.3,-11.70365661
42755633,42755632,42755876,42755660,42755722,42755746,42755682,42755904,42755706,42755647,,100.4,80.42305183,99.69805145,118.298048,130.0055473,150.9030411,171.31355,97.38,49500,1,113.85,2.414255589
42755626,42756281,42755714,42755919,42755781,42755753,42755649,42755745,42755665,42755981,,98.34,81.45000076,99.09999847,119.1625004,128.9599953,145.8650055,162.1145061,76.99,49400,1,94.8,20.15521079
42755626,42755628,42755714,42755675,42755757,42755753,42755679,42755851,42755951,42755665,,93.03,78.65850449,95.29600525,113.5835056,123.7710037,141.8760017,161.6210022,82.31,49500,1,64.55,-40.02128243
42755626,42755628,42755714,42755675,42755757,42755753,42755679,42755851,42755891,42755665,,94.05,79.75,95.94999695,116.0500031,125.6224987,143.2574997,162.7044969,81.8,49800,1,59.55,-27.79234946
42755626,42755628,42755714,42755675,42755757,42755753,42755679,42755891,42755951,42755665,,92.93,78.22100067,94.82100677,112.8459969,123.8434982,140.4559906,161.485493,82.67,49200,1,64.55,-32.84830749
42755634,42755627,42755939,42755710,42755711,42755914,42755649,42755689,42755705,42755695,,82.97,64.09365082,82.01864624,101.2186508,112.191148,131.9261551,154.2821463,35.63,49100,1,100.25,-27.32339799
42755634,42755627,42755939,42755710,42755854,42755812,42755649,42755671,42755689,42755694,,82.35,65.18115044,80.79365158,101.1186523,110.8761517,127.0836494,149.8306493,24.62,49200,1,76.25,-25.38707554
42755634,42755627,42755702,42755710,42755711,42755914,42755649,42755814,42755689,42755705,,83.12,64.00614738,82.61865234,102.8311501,115.6186523,133.1686554,160.8716524,30.77,49800,1,119.25,-37.35351563
42755634,42755627,42755767,42755710,42755915,42755914,42755649,42755671,42755689,42755705,,82.15,64.14364815,80.96865082,101.2061481,113.8261497,131.6686409,154.2761462,28.45,49100,1,106.25,-32.56004453
42755634,42755627,42755767,42755710,42755744,42755914,42755655,42755671,42755689,42755705,,82.98,64.70615196,82.09365082,99.58115005,112.0186462,132.5836494,153.0261462,20.57,49900,1,108.25,-27.49120295
42755634,42755627,42755939,42755710,42755744,42755812,42755655,42755671,42755689,42755705,,82.88,63.65614796,81.49364853,99.74365044,110.941148,128.8236488,151.2261584,18.63,49400,1,88.25,-15.30961543
42756140,42755632,42755938,42755687,42755744,42755772,42755690,42755897,42755724,42755651,,104.43,85.68375015,103.4212494,121.8462524,131.8037498,150.8037498,178.9622585,83.06,49100,1,88.35,88.93758655
