PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42691656,CJ McCollum,5900,32.52,42691780,Anthony Edwards,8400,47.03,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691705,Cameron Johnson,4700,23.88,42691682,Rudy Gobert,6000,35.10,269.14,49800,36.9,3.6934e+1
42691717,Jalen Brunson,8200,43.87,42691684,Josh Hart,5500,31.76,42691705,Cameron Johnson,4700,23.88,42691729,OG Anunoby,5800,32.27,42691698,Karl-Anthony Towns,8300,44.27,42691723,Jamal Murray,8600,45.42,42691689,Aaron Gordon,5600,30.30,42691673,Jonas Valanciunas,3200,9.92,261.69,49900,33.6,3.3550e+1
42691717,Jalen Brunson,8200,43.87,42691684,Josh Hart,5500,31.76,42691705,Cameron Johnson,4700,23.88,42691698,Karl-Anthony Towns,8300,44.27,42691682,Rudy Gobert,6000,35.10,42691656,CJ McCollum,5900,32.52,42691729,OG Anunoby,5800,32.27,42691689,Aaron Gordon,5600,30.30,273.97,50000,39.9,3.9885e+1
42691656,CJ McCollum,5900,32.52,42691744,Nickeil Alexander-Walker,6800,35.66,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691786,Jaden McDaniels,5400,27.73,42691682,Rudy Gobert,6000,35.10,264.32,49500,34.8,3.4814e+1
42691723,Jamal Murray,8600,45.42,42691656,CJ McCollum,5900,32.52,42691835,Jonathan Kuminga,4500,22.66,42691817,Jalen Johnson,9400,46.30,42691798,Onyeka Okongwu,6100,32.23,42691773,Christian Braun,4600,23.86,42691705,Cameron Johnson,4700,23.88,42691682,Rudy Gobert,6000,35.10,261.97,49800,33.1,3.3108e+1
42691776,Miles McBride,3700,15.29,42691656,CJ McCollum,5900,32.52,42691864,Dyson Daniels,6200,33.00,42691705,Cameron Johnson,4700,23.88,42691696,Nikola Jokic,12400,66.65,42691684,Josh Hart,5500,31.76,42691689,Aaron Gordon,5600,30.30,42691682,Rudy Gobert,6000,35.10,268.50,50000,35.6,3.5611e+1
42691717,Jalen Brunson,8200,43.87,42691732,Bruce Brown,3900,16.69,42691835,Jonathan Kuminga,4500,22.66,42691705,Cameron Johnson,4700,23.88,42691696,Nikola Jokic,12400,66.65,42691773,Christian Braun,4600,23.86,42691689,Aaron Gordon,5600,30.30,42691682,Rudy Gobert,6000,35.10,263.01,49900,31.8,3.1759e+1
42691717,Jalen Brunson,8200,43.87,42691684,Josh Hart,5500,31.76,42691864,Dyson Daniels,6200,33.00,42691698,Karl-Anthony Towns,8300,44.27,42691766,Naz Reid,4900,23.18,42691720,Donte DiVincenzo,5000,24.81,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,268.26,49900,35.7,3.5740e+1
42691744,Nickeil Alexander-Walker,6800,35.66,42691656,CJ McCollum,5900,32.52,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691773,Christian Braun,4600,23.86,42691693,Julius Randle,7200,36.44,42691723,Jamal Murray,8600,45.42,259.86,49400,33.6,3.3633e+1
42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691864,Dyson Daniels,6200,33.00,42691705,Cameron Johnson,4700,23.88,42691798,Onyeka Okongwu,6100,32.23,42691732,Bruce Brown,3900,16.69,42691709,Mikal Bridges,5200,25.64,42691696,Nikola Jokic,12400,66.65,262.37,49900,31.6,3.1629e+1
42691717,Jalen Brunson,8200,43.87,42691684,Josh Hart,5500,31.76,42691864,Dyson Daniels,6200,33.00,42691705,Cameron Johnson,4700,23.88,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691709,Mikal Bridges,5200,25.64,42691689,Aaron Gordon,5600,30.30,267.71,49900,36.0,3.6016e+1
42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691864,Dyson Daniels,6200,33.00,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,42691780,Anthony Edwards,8400,47.03,42691693,Julius Randle,7200,36.44,42691720,Donte DiVincenzo,5000,24.81,272.93,50000,37.8,3.7828e+1
42691717,Jalen Brunson,8200,43.87,42691773,Christian Braun,4600,23.86,42691709,Mikal Bridges,5200,25.64,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,42691780,Anthony Edwards,8400,47.03,42691864,Dyson Daniels,6200,33.00,42691689,Aaron Gordon,5600,30.30,271.07,50000,36.5,3.6523e+1
42691656,CJ McCollum,5900,32.52,42691773,Christian Braun,4600,23.86,42691684,Josh Hart,5500,31.76,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,42691717,Jalen Brunson,8200,43.87,42691689,Aaron Gordon,5600,30.30,42691780,Anthony Edwards,8400,47.03,276.71,50000,41.3,4.1274e+1
42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691696,Nikola Jokic,12400,66.65,42691773,Christian Braun,4600,23.86,42691864,Dyson Daniels,6200,33.00,42691705,Cameron Johnson,4700,23.88,264.63,49400,36.3,3.6274e+1
42691744,Nickeil Alexander-Walker,6800,35.66,42691732,Bruce Brown,3900,16.69,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691696,Nikola Jokic,12400,66.65,42691773,Christian Braun,4600,23.86,42691864,Dyson Daniels,6200,33.00,42691682,Rudy Gobert,6000,35.10,263.92,50000,31.7,3.1684e+1
42691656,CJ McCollum,5900,32.52,42691744,Nickeil Alexander-Walker,6800,35.66,42691864,Dyson Daniels,6200,33.00,42691729,OG Anunoby,5800,32.27,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691689,Aaron Gordon,5600,30.30,42691766,Naz Reid,4900,23.18,264.58,49900,34.1,3.4124e+1
42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691705,Cameron Johnson,4700,23.88,42691729,OG Anunoby,5800,32.27,42691682,Rudy Gobert,6000,35.10,42691660,Tim Hardaway Jr.,4000,16.36,42691689,Aaron Gordon,5600,30.30,42691696,Nikola Jokic,12400,66.65,268.84,49900,36.1,3.6101e+1
