PG,SG,SF,PF,C,G,F,UTIL,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42424198,42424251,42424265,42424235,42424367,42424430,42424354,42424302,264.91,49900,17.74,335.70,242.2396,0.3520
42424251,42424333,42424413,42424302,42424418,42424201,42424354,42424198,281.31,49800,25.09,349.35,412.3494,0.4887
42424298,42424280,42424369,42424226,42424331,42424333,42424302,42424198,278.31,50000,29.94,352.60,472.5796,0.5173
42424280,42424201,42424354,42424195,42424418,42424457,42424226,42424407,277.80,50000,21.16,338.20,191.1624,0.3643
42424198,42424201,42424226,42424369,42424247,42424430,42424443,42424418,275.10,49800,22.24,340.20,257.8996,0.4017
42424251,42424201,42424413,42424195,42424367,42424280,42424443,42424430,269.30,49800,18.37,332.65,200.5070,0.3287
42424298,42424430,42424354,42424302,42424367,42424218,42424226,42424198,276.61,49800,26.45,352.25,480.3099,0.5087
42424280,42424380,42424226,42424195,42424418,42424284,42424258,42424430,271.30,49900,21.78,338.50,254.7923,0.3720
42424201,42424430,42424369,42424302,42424235,42424396,42424354,42424198,272.31,49700,23.44,345.50,407.7490,0.4680
42424280,42424201,42424369,42424195,42424418,42424430,42424235,42424457,272.30,49400,21.19,333.60,202.4020,0.3497
42424312,42424326,42424232,42424226,42424418,42424198,42424302,42424333,268.71,50000,19.66,339.85,197.0985,0.3470
42424198,42424287,42424232,42424302,42424443,42424284,42424226,42424418,272.01,49900,20.41,335.05,173.6758,0.3247
42424298,42424316,42424258,42424195,42424418,42424430,42424247,42424280,267.60,50000,20.60,335.60,238.4536,0.3590
42424198,42424316,42424369,42424195,42424230,42424430,42424407,42424418,276.40,50000,19.16,336.75,261.9789,0.3960
42424251,42424218,42424265,42424443,42424418,42424198,42424302,42424333,271.11,49900,21.95,340.15,245.8348,0.3553
42424201,42424280,42424218,42424420,42424418,42424198,42424407,42424396,271.10,49800,20.74,336.75,222.0396,0.3620
42424201,42424265,42424354,42424351,42424418,42424198,42424302,42424380,268.11,49600,18.64,335.60,179.3460,0.3243
42424298,42424280,42424226,42424420,42424418,42424251,42424302,42424198,284.81,49900,30.02,355.25,483.1972,0.5523
42424280,42424251,42424258,42424369,42424418,42424287,42424413,42424195,272.00,49800,19.54,330.45,152.2644,0.2830
42424287,42424333,42424226,42424195,42424367,42424251,42424369,42424430,274.90,49700,20.65,336.10,211.3476,0.3453
42424280,42424333,42424354,42424226,42424367,42424298,42424302,42424198,279.41,49600,30.33,354.25,515.3798,0.5470
42424198,42424326,42424226,42424195,42424367,42424430,42424399,42424418,273.00,50000,21.31,342.25,294.3981,0.4423
42424280,42424201,42424354,42424369,42424367,42424333,42424195,42424418,281.80,49600,31.54,348.00,419.4266,0.5117
42424198,42424280,42424369,42424226,42424418,42424298,42424302,42424284,282.81,49700,31.46,355.40,512.3849,0.5650
42424280,42424312,42424226,42424195,42424247,42424430,42424407,42424418,268.20,49300,17.43,331.30,161.7098,0.3057
42424280,42424430,42424208,42424302,42424443,42424198,42424226,42424351,267.71,49800,18.47,340.00,265.7668,0.3640
42424305,42424298,42424218,42424351,42424418,42424280,42424302,42424198,272.31,49800,22.03,341.20,269.7356,0.4060
42424280,42424298,42424413,42424369,42424367,42424198,42424195,42424457,271.70,49300,19.16,330.95,148.4765,0.3190
42424298,42424430,42424218,42424226,42424331,42424462,42424302,42424195,265.71,49500,18.01,333.95,178.0924,0.3090
42424198,42424312,42424226,42424247,42424230,42424457,42424302,42424418,269.81,50000,19.22,331.60,142.7340,0.2680
42424396,42424354,42424226,42424195,42424418,42424198,42424302,42424449,289.41,50000,31.66,357.97,608.5308,0.5820
42424312,42424298,42424354,42424195,42424418,42424198,42424302,42424430,287.51,50000,28.65,358.30,639.9096,0.6177
42424396,42424287,42424232,42424302,42424418,42424251,42424195,42424354,276.11,49800,21.27,336.45,226.8757,0.3353
42424280,42424333,42424258,42424195,42424418,42424287,42424302,42424384,269.11,49400,20.25,334.55,167.0172,0.3260
42424298,42424287,42424384,42424195,42424418,42424198,42424302,42424449,274.71,49800,21.49,340.92,274.7311,0.4107
42424198,42424280,42424369,42424195,42424230,42424430,42424457,42424443,271.20,49700,18.82,329.50,174.3446,0.3080
42424198,42424287,42424449,42424247,42424418,42424354,42424195,42424430,273.80,49700,19.36,334.47,203.1881,0.3590
42424316,42424333,42424354,42424302,42424367,42424198,42424226,42424251,277.31,49900,28.95,352.85,503.6905,0.5057
42424280,42424251,42424218,42424195,42424418,42424430,42424326,42424351,265.90,49900,17.18,333.35,198.2552,0.3213
42424251,42424280,42424226,42424302,42424331,42424430,42424195,42424457,275.11,49600,21.41,340.65,248.6293,0.3820
42424198,42424287,42424226,42424369,42424443,42424201,42424430,42424331,270.30,50000,20.52,336.15,218.7788,0.3467
42424198,42424354,42424369,42424195,42424418,42424333,42424302,42424331,288.41,49900,32.94,356.25,569.0481,0.5807
42424201,42424333,42424369,42424302,42424230,42424457,42424195,42424430,272.81,50000,18.93,333.15,180.6063,0.3337
42424198,42424201,42424265,42424302,42424418,42424333,42424369,42424396,277.31,49700,22.48,343.70,283.5409,0.4230
42424316,42424258,42424413,42424195,42424418,42424198,42424302,42424457,276.11,49700,19.52,337.55,214.4052,0.3570
42424430,42424218,42424326,42424369,42424367,42424198,42424226,42424280,266.20,50000,19.65,340.10,232.1968,0.3833
42424198,42424298,42424326,42424226,42424367,42424251,42424302,42424418,275.11,49500,23.30,348.10,350.7885,0.4530
42424198,42424333,42424226,42424407,42424418,42424280,42424258,42424287,273.40,49900,19.20,335.35,153.3860,0.3120
42424430,42424333,42424218,42424407,42424418,42424201,42424354,42424195,274.30,49900,20.89,339.75,267.3939,0.3963
42424287,42424430,42424218,42424302,42424418,42424396,42424232,42424195,273.51,49800,18.29,333.60,180.7393,0.3207
42424430,42424333,42424226,42424195,42424367,42424354,42424302,42424230,276.11,49700,23.32,342.35,328.6243,0.4130
42424280,42424298,42424226,42424369,42424367,42424305,42424195,42424430,270.10,49200,20.91,335.80,261.4891,0.3637
42424201,42424413,42424218,42424195,42424418,42424354,42424326,42424430,265.30,49900,16.49,333.35,170.8129,0.3263
42424198,42424287,42424218,42424226,42424367,42424251,42424457,42424418,274.90,50000,20.89,334.45,161.4477,0.3017
42424312,42424333,42424354,42424226,42424462,42424198,42424195,42424443,269.80,50000,20.05,335.20,156.7309,0.3147
42424198,42424430,42424208,42424302,42424418,42424316,42424226,42424298,276.31,50000,23.54,352.45,476.8436,0.5137
42424280,42424430,42424226,42424302,42424235,42424198,42424326,42424418,272.21,49700,20.32,346.15,345.8889,0.4580
42424201,42424316,42424226,42424302,42424418,42424430,42424195,42424457,281.31,49600,23.19,346.45,350.0347,0.4590
42424396,42424333,42424258,42424302,42424418,42424280,42424218,42424198,278.21,50000,27.76,349.85,393.5634,0.4617
42424284,42424298,42424369,42424195,42424462,42424201,42424302,42424418,271.01,49100,21.00,335.60,187.9905,0.3400
42424198,42424333,42424226,42424302,42424418,42424316,42424208,42424396,275.71,49900,24.79,349.95,403.7772,0.4717
42424201,42424316,42424232,42424195,42424418,42424396,42424354,42424430,271.40,49600,21.47,336.70,239.9662,0.3807
42424251,42424298,42424354,42424226,42424418,42424333,42424302,42424198,284.81,49500,32.31,357.50,558.0148,0.5547
42424198,42424333,42424226,42424195,42424443,42424298,42424413,42424457,271.40,49800,18.10,330.90,142.0819,0.3003
42424316,42424287,42424354,42424195,42424367,42424430,42424226,42424251,272.10,50000,21.04,338.60,279.7334,0.3720
42424198,42424258,42424413,42424195,42424235,42424430,42424457,42424418,269.80,49800,15.44,326.45,130.5881,0.2690
