CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42961881,42961842,42961843,42961850,42961851,42961857,,215.31,199.25,216.625,235.1875,244.01875,262.025,284.3875,191.25,49600,4,0,102.5802144,96.76620166,99.68641892,93.84598441,470.8710646,99.64434722,96.72412997,96.72412997,84.21497533,29.22138507,59.06238556
42961888,42961842,42961844,42961845,42961846,42961856,,214.71,199.84375,215.0625,231.03125,240.25,254.50625,274.12875,198.89,49700,4,0,102.1310221,96.12181957,99.07557808,93.16806107,470.5902117,98.96391526,96.01015676,96.01015676,83.49418216,21.60598649,2.078648657
42961877,42961844,42961848,42961850,42961852,42961853,,212.24,198.125,213.875,229.53125,238.75,256,279.63125,177.42,49900,4,0,101.1970406,95.75210928,98.48074273,93.02347582,470.1604404,98.49979636,95.7711629,95.7711629,83.59031603,28.10961484,17.13026315
42961878,42961845,42961846,42961848,42961850,42961859,,212.8,196.75,212.375,230.5,240.51875,257.5,281.5025,198.335,49500,4,0,101.1494701,94.95677673,98.05204434,91.86150912,469.6266911,98.07906394,94.98379633,94.98379633,82.41137543,30.93393037,41.48055315
42961879,42961845,42961846,42961848,42961849,42961859,,211.98,197.125,212.125,228.75,238,252.5,271.37875,190.715,50000,4,0,100.8003064,94.75337847,97.73341387,91.77334306,469.5650027,97.60275578,94.62272038,94.62272038,82.20205079,29.3001188,56.35147691
42961877,42961844,42961846,42961848,42961851,42961867,,218.67,204.34375,221.125,238.875,247.625,264.625,287.87625,185.64,49900,3,0,104.3727908,98.82066236,101.5867336,96.05459113,372.3764707,101.5667445,98.80067323,98.80067323,86.29602536,25.4606783,50.68033934
42961878,42961842,42961845,42961846,42961857,42961859,,220.64,204.625,221.8125,239.03125,248.26875,267.25625,287.515,208.83,49500,3,0,104.8686069,98.57412643,101.7470858,95.40116702,372.2645737,101.6181285,98.44516913,98.44516913,85.44589814,31.56704235,73.85599613
42961894,42961842,42961843,42961844,42961846,42961850,,220.83,205,221.5,238.03125,247.75,265.625,290.00125,217.875,49600,3,0,104.8581024,98.37467483,101.6223244,95.12702528,372.1828874,101.6372533,98.38960374,98.38960374,85.30718087,23.74817122,69.08831
42961877,42961845,42961846,42961848,42961853,42961859,,220.01,205.84375,222.25,239,247.89375,264.525,280.38375,207.99,49100,3,0,104.5548133,98.13774528,101.3291547,94.94633584,372.0032148,101.0600421,97.8686327,97.8686327,84.87896905,33.76984736,54.32494879
42961879,42961842,42961843,42961846,42961857,42961860,,217.48,202.21875,217.625,234.75,246.125,263.38125,287.12875,187.77,49800,3,0,103.7779346,98.22753197,100.9994072,95.45565677,371.9408849,100.999943,98.22806781,98.22806781,85.77061321,24.43369792,19.12261844
42961877,42961843,42961846,42961848,42961855,42961857,,217.7,203.125,220.0625,237.125,247.625,265,288.39875,188.63,49500,3,0,103.8680146,98.18411517,101.0229683,95.34526206,371.8853115,101.0068158,98.16796273,98.16796273,85.6337324,28.58420284,51.61404014
42961878,42961842,42961845,42961846,42961857,42961858,,217.65,202.5,218.625,235.5,245.5,264.01875,286.63125,190.62,49900,3,0,103.7474723,98.08202207,100.9354533,95.22859088,371.8383411,100.8957554,98.04232423,98.04232423,85.49574259,27.40444593,45.83952725
42961877,42961843,42961844,42961850,42961853,42961859,,218.49,203.21875,218.625,234.78125,244.875,264.25625,285.0025,197.78,49500,3,0,103.9159819,97.92193957,100.9563428,94.88753634,371.7756756,100.8529545,97.81855127,97.81855127,85.05358779,32.03820486,99.15707111
42961881,42961842,42961843,42961845,42961856,42961858,,216.14,200.625,218.125,234.375,243.25,261.63125,284.37875,180.415,50000,3,0,103.1683263,97.8676011,100.5390726,95.1961296,371.6642717,100.5111881,97.8397166,97.8397166,85.54234325,25.20096974,27.98230946
42961883,42961842,42961843,42961846,42961850,42961859,,219.25,204.625,221.25,238.125,248.375,265.63125,290.75375,211.505,49700,3,0,104.197151,97.72552229,100.955079,94.49596553,371.6561444,100.9951679,97.76561113,97.76561113,84.77164714,29.5030944,78.58055234
42961881,42961842,42961843,42961848,42961852,42961859,,217.93,203.875,220.375,238.40625,247.51875,264.26875,288.00875,202.295,49600,3,0,103.7274084,97.54309193,100.620798,94.46538582,371.4895508,100.6183827,97.54067658,97.54067658,84.7573501,30.35010882,55.8567524
42961877,42961843,42961844,42961851,42961853,42961859,,217.35,201.71875,218.75,234.375,243.625,261.13125,284.255,197.49,49100,3,0,103.3633943,97.31234583,100.3423988,94.28229287,371.3782124,100.3287293,97.29867631,97.29867631,84.58883356,31.98127195,51.74739361
42961877,42961843,42961845,42961848,42961853,42961860,,215.33,200.75,217.125,233.875,243.26875,259.65,281.01625,179.78,49900,3,0,102.7908678,97.38161312,100.0705442,94.69268209,371.3407627,100.0020787,97.3131477,97.3131477,85.03438858,25.40814318,22.48317003
42961883,42961842,42961843,42961846,42961851,42961859,,218.11,204.125,221,237.78125,247.64375,263.75625,285.7575,211.215,49300,3,0,103.6649952,97.16190451,100.387111,93.93669802,371.2586812,100.3275872,97.10238075,97.10238075,84.16353749,29.45066647,51.33866668
42961877,42961845,42961846,42961850,42961851,42961857,,215.81,201,217.5,234.75,243.875,260.75625,280.00125,186.285,49700,3,0,102.8543379,97.1135373,99.97664664,94.25042796,371.1634224,99.83324578,96.97013644,96.97013644,84.49582198,29.90018759,34.74655747
42961894,42961842,42961843,42961844,42961845,42961851,,217.32,202.375,218.3125,234,243.125,259.125,275.88125,210.505,49400,3,0,103.2193991,96.89237005,100.0333643,93.75137584,371.1456414,99.8109507,96.6699565,96.6699565,83.85050856,23.06254672,24.03654456
42961878,42961842,42961844,42961848,42961854,42961859,,215.7,202,216.8125,233.03125,242.75,260.5125,285.63125,193.24,49700,3,0,102.7017165,96.87761533,99.80004721,93.95518346,371.0055861,99.8555713,96.93313943,96.93313943,84.40440133,27.14467065,50.40915608
42961883,42961842,42961843,42961844,42961853,42961857,,216.1,201.875,217.25,232.90625,242.26875,259.38125,284.50375,198.37,49500,3,0,102.787587,96.7941992,99.7899477,93.79845071,371.0014664,99.84903749,96.853289,96.853289,84.23342008,27.37830109,26.83345675
42961880,42961842,42961846,42961848,42961851,42961859,,217.26,203,219.375,236.28125,245.51875,262.275,275.62625,209.735,49500,3,0,103.2059649,96.73852479,99.96051345,93.51653613,370.9622755,99.61363664,96.39164798,96.39164798,83.49387773,30.90239518,50.68033338
42961877,42961843,42961845,42961848,42961855,42961859,,215.47,200.96875,216.9375,233.78125,243,260.25,283.005,191.415,49100,3,0,102.6225903,96.80590523,99.71487827,93.89693218,370.9505584,99.69144604,96.78247299,96.78247299,84.27743688,29.58123587,12.83600479
42961879,42961842,42961846,42961850,42961851,42961857,,215.47,199.375,215.75,233,243.875,262.00625,283.265,191.97,49800,3,0,102.6289098,96.78607025,99.72318703,93.84895347,370.8942709,99.64393114,96.70681436,96.70681436,84.17363452,28.91774114,55.51246405
42961881,42961842,42961843,42961849,42961851,42961859,,215.48,201.375,217.5,234.875,243.875,261.25,283,193.425,49800,3,0,102.5921592,96.63909583,99.61741678,93.66077488,370.8154254,99.55703508,96.57871413,96.57871413,84.00388476,29.41810953,47.20352292
42961880,42961842,42961846,42961848,42961851,42961858,,214.27,199.875,216.9375,233.75,242.375,257.875,273.125,191.525,49900,3,0,102.0700604,96.2036628,99.10612324,93.30120236,370.5360429,98.83668808,95.93422764,95.93422764,83.48914674,26.82744263,20.33169866
42961877,42961843,42961844,42961849,42961855,42961857,,211.8,197.34375,213.125,229.40625,237.625,254.00625,274.0025,166.12,49900,3,0,101.1737842,96.13385062,98.64547435,93.6222269,370.4376949,98.54794217,96.03631844,96.03631844,84.09207691,25.19630912,7.23349452
42961885,42961842,42961843,42961846,42961848,42961857,,215.42,200.59375,216.625,235,244.01875,259.6375,285.75,210.21,49700,3,0,102.3863661,95.9988648,99.16191933,92.83581027,370.4245812,99.25363329,96.09057876,96.09057876,83.33368794,26.28858504,31.70004189
42961878,42961842,42961845,42961850,42961851,42961859,,214.09,198.875,214.5,231.75,241.51875,259.75,278.87625,194.685,49700,3,0,101.8504846,95.87540138,98.88354897,92.86725378,370.2605374,98.73920057,95.73105298,95.73105298,83.18830131,29.90154198,39.08816278
42961879,42961842,42961843,42961850,42961852,42961859,,212.73,196.375,212.875,229.125,238.875,258.5,280.12625,188.65,49600,3,0,101.2579515,95.57557635,98.46644606,92.68470664,370.010547,98.41024938,95.51937967,95.51937967,83.15447415,28.02289083,15.61134756
