P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42957647,42957641,42957667,42957649,42957679,42957663,42957689,42957687,42957722,42957738,,96.89,77.05415154,95.89164734,116.3666515,127.0066532,146.3616447,171.2591533,100.26,49900,1,52.25,86.44028751,84.43085117,85.48506327,83.47562693,169.9421428,84.23287546,82.22343912,83.27765122,81.26821488,6.861958743,45.89106739
42957638,42957641,42957654,42957656,42957803,42957720,42957741,42957728,42957791,42957653,,104.97,84.21665192,104.0166512,125.9541512,136.2791534,157.2941559,184.6031442,196.4,49200,1,135,88.88090536,84.41965525,86.67896869,82.21771858,173.5404919,84.30490171,79.8436516,82.10296504,77.64171493,16.96928244,57.59081841
42957638,42957641,42957694,42957678,42957752,42957720,42957648,42957728,42957785,42957727,,98.93,80.08715057,97.89965439,117.737154,130.7321533,149.2321548,175.683152,134.09,48000,1,84,87.10265364,84.38510129,85.81616326,83.09861091,170.7054537,84.09595813,81.37840578,82.80946775,80.09191539,9.08787233,37.85750568
42957638,42957641,42957778,42957649,42957719,42957671,42957648,42957728,42957824,42957733,,100.23,81.17914963,98.79164886,117.6541481,128.2141495,147.3541443,172.9086473,123.84,49900,1,82,87.14727893,84.38454163,85.70402009,82.94128279,171.8953431,84.6321024,81.86936509,83.18884355,80.42610625,6.89911935,11.18794307
42957638,42957636,42957768,42957725,42957803,42957671,42957669,42957816,42957661,42957733,,97.79,80.5,99.19999695,118.2999973,129.5500031,149.5600029,178.0310001,142.37,48400,1,83.95,87.03402183,84.35040118,85.87989496,83.19627431,169.6608488,83.59966737,80.91604673,82.4455405,79.76191986,10.03524805,26.6569674
42957638,42957641,42957659,42957684,42957670,42957820,42957739,42957821,42957653,42957688,,101.32,84.05415154,101.9416504,119.8041496,131.4591469,148.5616562,177.3421443,152.57,49400,1,111,87.63837955,84.34580263,85.99739845,82.70482152,172.041668,84.3245732,81.03199627,82.68359209,79.39101517,11.85743009,8.520175517
42957638,42957636,42957659,42957678,42957769,42957820,42957648,42957781,42957727,42957782,,97.51,79.11249733,96.55000305,115.3999958,125.75,147.1175026,173.4049939,120.15,49400,1,80.95,86.64308911,84.33398383,85.56625842,83.25715314,170.0470701,84.02309603,81.71399075,82.94626534,80.63716006,8.000869799,8.700866997
42957643,42957641,42957654,42957656,42957666,42957758,42957708,42957722,42957738,42957695,,102.83,79.26535225,101.6153526,124.8903503,136.047847,156.0928619,182.7113533,174.27,49000,1,104.55,88.29113968,84.33293304,86.38989533,82.43168869,172.3538203,84.02149714,80.06329049,82.12025279,78.16204614,13.097395,22.14756161
42957641,42957637,42957710,42957678,42957713,42957682,42957648,42957695,42957749,42957781,,93.84,73.72915268,91.44165039,113.7916489,125.7441502,147.1566475,174.1131444,102.11,50000,1,77.95,85.98890961,84.30083875,85.41199193,83.72392108,167.5601811,83.23236775,81.5442969,82.65545008,80.96737922,5.981347788,48.54594767
42957643,42957641,42957694,42957656,42957666,42957682,42957741,42957695,42957653,42957782,,103.79,79.53334999,100.8583488,124.4333496,135.01586,155.0158615,182.0093436,175.12,49900,1,87.55,88.39737769,84.29922959,86.36288284,82.26473473,173.0543258,84.24091281,80.1427647,82.20641795,78.10826984,13.81450979,31.62692487
42957638,42957641,42957768,42957655,42957661,42957686,42957674,42957764,42957824,42957733,,98.98,78.37914848,96.56665039,115.9541512,128.0866547,149.4941536,175.2056503,131.06,48000,1,76,87.00932665,84.28194221,85.70290274,82.9755183,170.7628382,84.05286897,81.32548453,82.74644506,80.01906062,7.859186316,5.675918981
42957636,42957637,42957710,42957678,42957752,42957716,42957648,42957821,42957695,42957782,,94.54,77.40000153,95.45000076,113.8125019,125.1575008,145.9249939,175.304003,113.41,50000,1,82.9,86.17750065,84.26189336,85.48593793,83.57033063,167.8549412,83.19692968,81.28132239,82.50536696,80.58975967,8.279021922,14.69052881
