CPT_ID,CPT_Name,CPT_Salary,CPT_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42961878,Donovan Mitchell,15300,64.57,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961849,Jarrett Allen,7000,24.19,42961853,Jakob Poeltl,4600,19.68,42961859,Jaylon Tyson,2000,12.86,210.78,49300,31.2,3.1153e+1
42961881,RJ Barrett,13800,61.52,42961843,Donovan Mitchell,10200,43.05,42961845,Evan Mobley,9400,38.64,42961848,Collin Murray-Boyles,7400,31.56,42961850,Ja'Kobe Walter,6200,24.16,42961858,Jamison Battle,2400,9.87,208.80,49400,29.9,2.9913e+1
42961878,Donovan Mitchell,15300,64.57,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961851,Jamal Shead,5800,23.02,42961855,Sandro Mamukelashvili,3600,13.10,42961856,Sam Merrill,3200,12.22,206.23,48900,27.5,2.7492e+1
42961883,Collin Murray-Boyles,11100,47.33,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961849,Jarrett Allen,7000,24.19,42961865,Keon Ellis,1000,1.05,204.53,49500,27.6,2.7607e+1
42961878,Donovan Mitchell,15300,64.57,42961844,James Harden,10000,42.48,42961846,RJ Barrett,9200,41.01,42961849,Jarrett Allen,7000,24.19,42961851,Jamal Shead,5800,23.02,42961857,Dennis Schroder,2600,12.72,207.99,49900,28.8,2.8790e+1
42961880,Evan Mobley,14100,57.97,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961851,Jamal Shead,5800,23.02,42961852,Max Strus,5200,18.10,42961855,Sandro Mamukelashvili,3600,13.10,206.08,49900,27.6,2.7565e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961848,Collin Murray-Boyles,7400,31.56,42961849,Jarrett Allen,7000,24.19,42961850,Ja'Kobe Walter,6200,24.16,42961856,Sam Merrill,3200,12.22,206.69,49800,28.0,2.7952e+1
42961883,Collin Murray-Boyles,11100,47.33,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961851,Jamal Shead,5800,23.02,42961854,Dean Wade,4000,13.39,205.87,49500,28.8,2.8807e+1
42961878,Donovan Mitchell,15300,64.57,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961850,Ja'Kobe Walter,6200,24.16,42961852,Max Strus,5200,18.10,42961858,Jamison Battle,2400,9.87,206.18,49500,27.6,2.7623e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961849,Jarrett Allen,7000,24.19,42961852,Max Strus,5200,18.10,42961856,Sam Merrill,3200,12.22,205.51,49600,26.4,2.6445e+1
42961885,Ja'Kobe Walter,9300,36.24,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961849,Jarrett Allen,7000,24.19,42961860,AJ Lawson,1800,6.14,202.94,49300,28.6,2.8637e+1
42961885,Ja'Kobe Walter,9300,36.24,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961848,Collin Murray-Boyles,7400,31.56,42961855,Sandro Mamukelashvili,3600,13.10,205.07,49900,30.4,3.0428e+1
42961880,Evan Mobley,14100,57.97,42961843,Donovan Mitchell,10200,43.05,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961853,Jakob Poeltl,4600,19.68,42961854,Dean Wade,4000,13.39,206.66,49500,29.4,2.9397e+1
42961884,Jarrett Allen,10500,36.28,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961851,Jamal Shead,5800,23.02,42961855,Sandro Mamukelashvili,3600,13.10,202.89,49500,30.5,3.0492e+1
42961886,Jamal Shead,8700,34.53,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961852,Max Strus,5200,18.10,42961853,Jakob Poeltl,4600,19.68,204.27,48900,30.7,3.0710e+1
42961880,Evan Mobley,14100,57.97,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961849,Jarrett Allen,7000,24.19,42961853,Jakob Poeltl,4600,19.68,42961858,Jamison Battle,2400,9.87,205.60,49300,28.2,2.8235e+1
42961878,Donovan Mitchell,15300,64.57,42961845,Evan Mobley,9400,38.64,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961852,Max Strus,5200,18.10,42961857,Dennis Schroder,2600,12.72,206.60,49100,29.6,2.9577e+1
