Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,5130296897,Goof2troop,0,113.25,1B Nolan Schanuel 2B Marcus Semien 3B Bo Bichette C Francisco Alvarez OF Juan Soto OF Jo Adell OF Julio Rodriguez P Seth Lugo P Emerson Hancock SS Ronny Mauricio,,Ronny Mauricio,SS,11.29%,3
35,5129697478,craftylefty (45/47),0,113,1B Josh Naylor 2B Oswald Peraza 3B Ronny Mauricio C Francisco Alvarez OF Mike Trout OF Jorge Soler OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,Leo Rivas,3B,9.76%,7
35,5130235159,Skipper55 (30/47),0,113,1B Nolan Schanuel 2B Marcus Semien 3B Leo Rivas C Travis d'Arnaud OF Jorge Soler OF Juan Soto OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,Travis d'Arnaud,C,9.50%,0
35,5130286908,Crzy7MakSas,0,113,1B Josh Naylor 2B Vaughn Grissom 3B Maikel Garcia C Mitch Garver OF Mike Trout OF Jorge Soler OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,Mitch Garver,C,8.55%,3
38,5130299971,Biggs38 (2/3),0,112.25,1B Mark Vientos 2B Oswald Peraza 3B Bo Bichette C Travis d'Arnaud OF Mike Trout OF Austin Slater OF Jo Adell P Seth Lugo P Emerson Hancock SS Zach Neto,,Oswald Peraza,3B,8.29%,13
39,5129686054,lenthompson,0,112,1B Josh Naylor 2B Oswald Peraza 3B Leo Rivas C Cal Raleigh OF Mike Trout OF Jorge Soler OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Andy Ibanez,2B,7.84%,2
39,5130059492,lphilipg5 (4/6),0,112,1B Josh Naylor 2B Cole Young 3B Oswald Peraza C Francisco Alvarez OF Jorge Soler OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Oswald Peraza,2B,6.70%,13
39,5130263127,FantasyGainz (38/47),0,112,1B Nolan Schanuel 2B Cole Young 3B Oswald Peraza C Francisco Alvarez OF Jorge Soler OF Juan Soto OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,Austin Slater,OF,6.51%,10
39,5130288163,OneDropKing (1/47),0,112,1B Josh Naylor 2B Vaughn Grissom 3B Oswald Peraza C Travis d'Arnaud OF Mike Trout OF Jorge Soler OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Ronny Mauricio,3B,6.51%,3
39,5130289408,domjohns,0,112,1B Josh Naylor 2B Andy Ibanez 3B Oswald Peraza C Salvador Perez OF Mike Trout OF Jorge Soler OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,Cal Raleigh,C,5.29%,0
44,5129648072,iuvozz (7/12),0,111.25,1B Mark Vientos 2B Vaughn Grissom 3B Oswald Peraza C Travis d'Arnaud OF Mike Trout OF Austin Slater OF Juan Soto P Seth Lugo P Emerson Hancock SS Zach Neto,,Andy Ibanez,3B,4.97%,2
44,5130223377,dfs_ads (34/47),0,111.25,1B Josh Naylor 2B Oswald Peraza 3B Bo Bichette C Travis d'Arnaud OF Jorge Soler OF Jo Adell OF Julio Rodriguez P Seth Lugo P Emerson Hancock SS Zach Neto,,Vaughn Grissom,1B,4.72%,7
44,5130276384,bizzell88 (25/47),0,111.25,1B Mark Vientos 2B Marcus Semien 3B Ronny Mauricio C Francisco Alvarez OF Jorge Soler OF Juan Soto OF Jo Adell P Seth Lugo P Emerson Hancock SS Zach Neto,,MJ Melendez,OF,0.45%,0
44,5130299970,Biggs38 (1/3),0,111.25,1B Mark Vientos 2B Vaughn Grissom 3B Bo Bichette C Francisco Alvarez OF Austin Slater OF Juan Soto OF Jo Adell P Seth Lugo P Emerson Hancock SS Zach Neto,,Will Wilson,3B,0.19%,0
