P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score,MLB $7.5K Solo Shot ROI,MLB $7.5K Solo Shot Sim Dupes,MLB $7.5K Solo Shot Win Rate,MLB $7.5K Solo Shot Cash Rate,MLB $7.5K Solo Shot ROI StDev,MLB $200K Knuckleball [$50K to 1st] ROI,MLB $200K Knuckleball [$50K to 1st] Sim Dupes,MLB $200K Knuckleball [$50K to 1st] Win Rate,MLB $200K Knuckleball [$50K to 1st] Cash Rate,MLB $200K Knuckleball [$50K to 1st] ROI StDev,MLB $5K Hot Corner [5 Entry Max] ROI,MLB $5K Hot Corner [5 Entry Max] Sim Dupes,MLB $5K Hot Corner [5 Entry Max] Win Rate,MLB $5K Hot Corner [5 Entry Max] Cash Rate,MLB $5K Hot Corner [5 Entry Max] ROI StDev,MLB $1 Winner Take All [$100 to 1st] ROI,MLB $1 Winner Take All [$100 to 1st] Sim Dupes,MLB $1 Winner Take All [$100 to 1st] Win Rate,MLB $1 Winner Take All [$100 to 1st] Cash Rate,MLB $1 Winner Take All [$100 to 1st] ROI StDev,MLB $1 Winner Take All [$100 to 1st] ROI,MLB $1 Winner Take All [$100 to 1st] Sim Dupes,MLB $1 Winner Take All [$100 to 1st] Win Rate,MLB $1 Winner Take All [$100 to 1st] Cash Rate,MLB $1 Winner Take All [$100 to 1st] ROI StDev,MLB $20K Moonshot ROI,MLB $20K Moonshot Sim Dupes,MLB $20K Moonshot Win Rate,MLB $20K Moonshot Cash Rate,MLB $20K Moonshot ROI StDev
42538344,42538351,42538366,42538416,42538437,42538387,42538397,42538507,42538383,42538442,,89.05,70.55439949,88.40439987,109.1293945,120.0943989,140.6818977,159.7823886,58.26,49100,1,98.1,78.24154683,77.59225195,78.15221318,77.5029183,161.0061785,76.65099676,76.00170188,76.56166312,75.91236823,3.370275087,55.81780672,1.204000026,0,0.001285714,0.214285714,28.28297392,4.067356944,0,0.001,0.201142857,134.1709132,0.481999978,0,0.003,0.211857143,10.0769423,0.971428573,0,0.019714286,0.019714286,13.90166632,0.914285719,0,0.019142857,0.019142857,13.70270344,1.044095248,0,0.001142857,0.208714286,25.4660215
42538348,42538351,42538479,42538358,42538607,42538420,42538385,42538401,42538363,42538400,,100,78.88339996,98.83340454,119.1084042,132.2133949,152.68591,183.3049014,143.75,49300,1,189.85,86.3840882,84.51626602,85.81429777,83.94647559,167.1693503,83.05978336,81.19196118,82.48999293,80.62217075,7.949149656,61.21805906,0.64114286,0,0.000714286,0.296857143,20.86842989,5.495899916,0,0.001285714,0.283571429,152.2770854,0.408047646,0,0.001714286,0.292714286,8.041765786,0.885714293,0,0.018857143,0.018857143,13.60204066,0.628571451,0,0.016285714,0.016285714,12.65720735,0.506809518,0,0.000428571,0.287,14.85389574
42538345,42538351,42538516,42538386,42538607,42538426,42538397,42538363,42538412,42538358,,100.05,81.97849655,101.0034943,120.8034992,132.7835091,150.4609917,178.3690004,142.98,49400,1,179.25,84.98109078,82.90755606,84.17904712,82.1055124,167.2573144,81.96866126,79.89512654,81.1666176,79.09308287,8.358852602,29.82394695,1.056999981,0,0.001285714,0.320142857,25.34830831,4.772700071,0,0.001142857,0.308142857,138.8204746,0.409428567,0,0.001857143,0.317428571,7.842910675,0.657142878,0,0.016571429,0.016571429,12.76589845,0.714285731,0,0.017142857,0.017142857,12.98036193,0.951619059,0,0.001142857,0.316285714,23.0219194
42538350,42538351,42538556,42538358,42538437,42538420,42538397,42538363,42538401,42538383,,97.11,77.71764946,94.78015137,117.5426502,130.470153,148.7626572,173.4271513,114.07,49500,1,178.95,83.08472936,81.34165801,82.44874124,80.70566989,165.5350269,80.39946782,78.65639647,79.76347969,78.02040834,8.005408899,55.8393836,0.658642888,0,0.000714286,0.272857143,20.56004489,4.685714245,0,0.001142857,0.261428571,143.6924574,0.333333336,0,0.001714286,0.272428571,7.837825657,0.942857146,0,0.019428571,0.019428571,13.80257296,1.028571486,0,0.020285714,0.020285714,14.09758989,0.860142857,0,0.001142857,0.268714286,24.12618308
42538345,42538343,42538411,42538500,42538461,42538505,42538381,42538357,42538440,42538422,,111.39,90.76164818,111.3241463,130.3741455,141.8241577,159.7791397,186.8421576,195.39,49900,1,95.65,88.60808367,84.50773023,86.51655352,82.41620008,173.6940479,84.67314398,80.57279054,82.58161382,78.48126038,14.67343323,90.344733,1.612714291,0,0.001285714,0.426142857,28.5502762,1.957199931,0,0.000428571,0.397,87.02925479,0.951047629,0,0.002428571,0.417142857,9.370522396,1.171428561,0,0.021714286,0.021714286,14.57490155,1.514285684,0,0.025142857,0.025142857,15.6558915,1.300952375,0,0.001,0.419142857,22.85580763
42538345,42538351,42538389,42538378,42538437,42538397,42538385,42538507,42538383,42538400,,98.6,79.94399643,98.58150101,116.769001,126.8140015,146.864006,159.3745062,91.37,49200,1,130.25,80.13049913,77.96925718,78.85826697,76.69702503,167.0106784,78.73570193,76.57445998,77.46346977,75.30222783,4.879602228,84.61307287,1.249499977,0,0.001142857,0.283142857,26.39912787,3.005842805,0,0.000714286,0.263142857,108.0586539,0.555952385,0,0.002428571,0.276142857,9.188739158,1.08571434,0,0.020857143,0.020857143,14.29059916,1.314285755,0,0.023142857,0.023142857,15.03571259,1.179761857,0,0.001142857,0.277285714,24.99623889
42538350,42538351,42538556,42538358,42538437,42538420,42538397,42538412,42538363,42538383,,96.21,77.8926506,94.53015137,116.1176491,127.5701527,149.7626572,171.1501483,113.35,49300,1,158.95,82.19478597,80.47694904,81.55197114,79.83413421,164.9712604,79.6125345,77.89469757,78.96971967,77.25188274,7.814460236,41.27829373,1.229214311,0,0.001571429,0.274285714,29.6190951,4.207557082,0,0.001,0.263142857,134.1762533,0.366380952,0,0.002142857,0.269857143,8.243773127,0.714285731,0,0.017142857,0.017142857,12.98036193,0.885714293,0,0.018857143,0.018857143,13.60204066,0.852904767,0,0.001,0.264285714,22.36602148
42538345,42538343,42538411,42538554,42538494,42538538,42538372,42538357,42538440,42538419,,108.99,90.68564987,109.2481537,128.6731491,138.7131516,158.7631538,174.6506477,194.01,49200,1,85.65,84.08193484,79.60328057,81.59168118,77.11302691,172.0605233,80.60698669,76.12833242,78.11673303,73.63807875,14.05595838,63.08995485,1.139428556,0,0.001,0.398285714,24.88744742,3.636785626,0,0.000857143,0.368571429,122.7284769,0.717285693,0,0.002571429,0.387714286,9.206688582,0.942857146,0,0.019428571,0.019428571,13.80257296,0.800000012,0,0.018,0.018,13.29511188,0.992714286,0,0.000857143,0.393714286,21.28816223
42538345,42538343,42538389,42538500,42538402,42538505,42538390,42538374,42538392,42538466,,106.91,90.46165085,108.5241508,126.9241486,138.4041473,156.2916542,175.3396576,155.83,49900,1,113.65,85.54229361,82.26695541,83.7621514,80.48681321,171.5958119,82.83684784,79.56150965,81.05670564,77.78136744,9.660029384,74.47119355,1.468142867,0,0.001142857,0.383,27.17998873,1.904757202,0,0.000428571,0.361857143,87.00012463,0.887809545,0,0.003142857,0.379285714,10.14327733,1.200000048,0,0.022,0.022,14.66833324,1.200000048,0,0.022,0.022,14.66833324,1.528904736,0,0.001285714,0.383857143,26.85122809
42538344,42538343,42538389,42538416,42538437,42538426,42538397,42538383,42538485,42538466,,101.79,84.87404823,102.0490494,123.0490532,134.1490479,153.0015533,171.1695479,143.99,49700,1,92.5,82.68576785,79.75158057,81.19197096,78.25778368,168.1334339,79.85839355,76.92420628,78.36459667,75.43040939,7.618964347,68.62775683,1.254500031,0,0.000714286,0.337142857,23.50233489,2.334742904,0,0.000571429,0.31,101.6549594,0.777904779,0,0.002571429,0.330714286,9.326068843,1.114285707,0,0.021142857,0.021142857,14.38604766,1.428571463,0,0.024285714,0.024285714,15.39347861,1.265666664,0,0.001142857,0.330857143,24.44414367
