PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971747,42971828,42971800,42971738,42971820,42971744,42971772,42971721,,244.32,229,244.375,261,271.5,286.5,303.28,250.32,49400,1,0,100.3545506,94.1291069,97.24349037,91.01472342,168.9784361,97.11178561,93.99740213,93.99740213,81.48211828,30.40383756,26.45470798
42971787,42971779,42971757,42971738,42971820,42971747,42971800,42971721,,245.2,229,244.75,260.5,268.25,281,297.255,274.54,49700,1,0,100.528562,94.13198446,97.297721,90.96624792,169.1466138,97.16230251,93.99656598,93.99656598,81.39606858,32.07000283,-8.295759559
42971787,42971779,42971784,42971757,42971723,42971725,42971767,42971772,,244.79,226.75,243.25,260.0625,269.75,285.75,301.255,289.9,50000,1,0,100.4344161,94.16516574,97.31955388,91.01077761,169.0431034,97.15031529,93.99592716,93.99592716,81.42255407,28.826443,-36.68649793
42971735,42971787,42971741,42971738,42971820,42971747,42971776,42971761,,242.94,226.75,242.875,259,267,282.5,297.775,218.9,50000,1,0,99.8995986,94.16449957,97.04604679,91.28295236,169.0193135,96.87708223,93.99553501,93.99553501,81.7661868,24.8952225,-2.043606155
42971732,42971822,42971779,42971750,42971820,42971735,42971738,42971761,,244.29,229.1875,243.75,260.75,268.25,285.25,299.505,231.32,49800,1,0,100.2717095,94.20210322,97.27454408,91.12966237,169.0530867,97.06797545,93.99553459,93.99553459,81.52334769,31.37454217,8.356574178
42971732,42971813,42971757,42971750,42971818,42971747,42971728,42971784,,240.6,223,239.5,256.3125,266.25,283.275,309.7525,229.16,49900,1,0,99.14942375,93.81873278,96.52394151,91.11352405,168.6516857,96.69791106,93.99270233,93.99270233,82.02973071,22.41891317,-31.7725718
42971735,42971779,42971813,42971750,42971723,42971806,42971772,42971738,,243.4,225.5,242.5,259.75,270.25,286.275,304,247.38,49800,1,0,100.0657638,94.09396832,97.09958872,91.08834792,168.9127655,96.99746934,93.99184894,93.99184894,81.62072775,28.44462035,-33.93692672
42971822,42971828,42971776,42971728,42971820,42971747,42971738,42971721,,242.63,226.75,243.125,258.25,268.0375,281.75,295.26,220.18,49900,1,0,99.88040881,94.21227028,97.02987588,91.39466468,169.0517718,96.80830081,93.99069521,93.99069521,81.83721674,27.15826721,51.91938281
42971787,42971779,42971784,42971728,42971723,42971767,42971800,42971744,,246.44,229.25,245.125,261.5,271.25,285.2625,301.5025,307.94,49200,1,0,100.9053626,94.13534043,97.50593087,90.76474999,169.118606,97.36040995,93.98981951,93.98981951,81.13675572,34.77135426,-20.21485418
42971735,42971779,42971784,42971750,42971820,42971732,42971772,42971747,,246.9,230.5,245.25,262.5,272.5,290.5125,303.515,268.68,49200,1,0,101.0462056,94.24662176,97.69692121,90.79632231,169.1007863,97.43991201,93.98961256,93.98961256,81.03913996,36.07373452,4.5054961
42971822,42971767,42971779,42971728,42971723,42971735,42971813,42971776,,246.58,230.5,246.5,262.0625,269.75,284.275,300.265,303.56,49100,1,0,100.9011391,94.13910865,97.51552677,90.76269052,169.1500457,97.36454718,93.98812906,93.98812906,81.12385069,34.7120479,-19.83190328
42971735,42971822,42971784,42971738,42971723,42971767,42971772,42971787,,245.62,230.5,245.875,261,270,288.2625,302.0025,282.12,49200,1,0,100.6455385,94.21665803,97.48800045,90.9453156,169.0646875,97.25877225,93.98742982,93.98742982,81.26516586,33.46830185,-25.05566478
42971732,42971763,42971767,42971750,42971728,42971787,42971813,42971776,,244.54,228.6875,244.625,259.75,270.0375,287.5125,302.005,270.56,50000,1,0,100.3696426,94.19139826,97.32438283,91.0584137,169.0089549,97.12000446,93.9870199,93.9870199,81.44466984,31.5998884,6.037299335
