PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971732,42971813,42971757,42971728,42971820,42971787,42971776,42971723,,250.01,233.1875,251.25,267.8125,277.5,292.2625,306.7525,267.74,50000,1,0,102.696888,96.19528313,99.41657658,92.97398969,170.5161264,99.27459392,96.05330047,96.05330047,83.21216787,32.77929659,53.19318771
42971747,42971779,42971784,42971750,42971723,42971787,42971767,42971744,,251.71,235.5,250,265.3125,275.2875,292.25,304.26,292.86,49900,1,0,103.0812526,96.27220463,99.68576081,92.85864845,170.6548993,99.46684696,96.05329078,96.05329078,82.95448315,35.81154405,37.71127462
42971732,42971787,42971784,42971757,42971772,42971735,42971776,42971761,,250.4,232.6875,251,268.3125,278.5,294.25,313,279.09,49900,1,0,102.7672771,96.06694161,99.40293574,92.73094748,170.4067758,99.38912123,96.0531271,96.0531271,83.08228746,34.06121886,34.37649608
42971763,42971767,42971757,42971750,42971772,42971747,42971784,42971744,,251.35,233.9375,250.5,266.75,276.75,290.5,314.51,296.28,49900,1,0,102.9325545,95.89162647,99.3665865,92.41666643,170.4212754,99.52358527,96.04862523,96.04862523,82.90226576,36.18723387,44.13123131
42971735,42971779,42971784,42971772,42971723,42971732,42971776,42971806,,249.98,233,250.75,268.5,277.0375,292.5,311.2525,276.6,49900,1,0,102.6233135,96.05409581,99.32122078,92.78697085,170.4152287,99.31102633,96.04390136,96.04390136,83.15809157,31.11610532,37.07872033
42971732,42971744,42971779,42971757,42971820,42971735,42971813,42971747,,251.21,233.75,252.75,269.25,279.5375,293.7625,311.255,292.5,49600,1,0,103.0258298,96.09412535,99.51957689,92.66867382,170.4771973,99.46772792,96.04227639,96.04227639,82.95081231,36.17214532,38.63209486
42971732,42971787,42971767,42971772,42971820,42971747,42971776,42971723,,253.32,237.75,253.75,268.5,277,291.25,306.5025,311.04,49300,1,0,103.5269885,96.15742417,99.80471975,92.51012859,170.6830147,99.68844769,96.04115211,96.04115211,82.64665579,38.18156556,32.67688751
42971735,42971779,42971776,42971757,42971820,42971744,42971738,42971761,,251.09,233.75,250.5,267.5,278,293.5125,313.5025,289.27,49700,1,0,102.917553,96.01493683,99.44863882,92.58123484,170.4237577,99.47479546,96.04109347,96.04109347,82.94599628,35.50448888,41.44189358
42971732,42971828,42971757,42971800,42971761,42971735,42971776,42971744,,249.5,232,249.5,268,276.75,293.75,312.2525,273.9,49700,1,0,102.4778413,96.05859541,99.27642897,92.84076185,170.3660567,99.25594646,96.03811291,96.03811291,83.22006387,31.88216436,32.71554708
42971735,42971822,42971800,42971750,42971772,42971747,42971738,42971744,,250.49,234.5,249.75,267,275.325,293.5125,314.505,286.45,50000,1,0,102.6571876,95.97666013,99.34616538,92.60715488,170.3674576,99.40343044,96.03392519,96.03392519,83.02611142,35.02108187,34.43672657
42971735,42971822,42971767,42971757,42971723,42971747,42971776,42971806,,249.83,233.5,249.25,265.75,274.75,290.25,312.2525,281.97,49300,1,0,102.4910407,95.93870456,99.20026303,92.67714609,170.3801883,99.29547344,96.03391497,96.03391497,83.15944334,31.33557591,-3.386033699
42971747,42971822,42971757,42971772,42971723,42971767,42971779,42971744,,252.81,234,251,269.25,280,294.5375,309.7525,311.15,49300,1,0,103.4648484,96.15690994,99.77518755,92.53863234,170.5840612,99.65109702,96.03281942,96.03281942,82.68696477,38.15700916,34.36360955
42971732,42971767,42971779,42971750,42971723,42971822,42971800,42971747,,251.33,234.75,251,266,277.5,293.75,309.5075,291.62,49900,1,0,102.9999615,96.13785861,99.56398579,92.71173143,170.5127847,99.45832361,96.03219643,96.03219643,82.93543937,35.77517312,65.03917575
42971735,42971779,42971767,42971757,42971723,42971813,42971750,42971784,,250.8,233.6875,250,266.8125,276,293.775,313.0075,288.84,49900,1,0,102.7750609,96.02946624,99.42402219,92.63491029,170.4127812,99.4261416,96.03158565,96.03158565,82.98679306,35.41273003,61.27409339
42971732,42971744,42971784,42971800,42971772,42971747,42971738,42971776,,252.46,235.1875,252.875,270.0625,278.75,293.275,305.5025,297.66,50000,1,0,103.374255,96.2440907,99.77450656,92.71367483,170.6520468,99.56026704,96.02985117,96.02985117,82.78532549,36.63498045,68.52886677
42971822,42971763,42971767,42971757,42971723,42971732,42971784,42971776,,250.4,232.6875,251.25,267.75,277.2875,292.275,312.0025,281.47,49800,1,0,102.7273533,96.00929455,99.34274308,92.67584602,170.411867,99.36325916,96.02981063,96.02981063,83.06151659,34.11768409,47.64670432
42971747,42971767,42971776,42971750,42971728,42971744,42971772,42971820,,253.79,237.5,253.125,268.25,276.25,290.25,302.775,313.09,49700,1,0,103.6559545,96.22838458,99.90129023,92.55547892,170.7764712,99.70240581,96.02950016,96.02950016,82.59130919,38.47173287,46.45919502
42971735,42971822,42971757,42971750,42971820,42971767,42971800,42971721,,250.59,235.6875,251.5,265.25,273.0375,287.0125,308.2625,279.18,50000,1,0,102.6654831,95.95010058,99.26966553,92.63053563,170.4981205,99.34807882,96.02851387,96.02851387,83.06679263,34.00973238,22.4100545
42971735,42971767,42971784,42971772,42971820,42971747,42971776,42971723,,253.9,238.5,252.5,269.8125,277.75,292.75,308.5125,321.78,49000,1,0,103.6763136,96.12983022,99.87724179,92.38241864,170.6613198,99.77375904,96.02634747,96.02634747,82.50941802,39.77676689,44.79824901
42971747,42971779,42971757,42971728,42971820,42971744,42971750,42971772,,251.88,234.75,250.875,266.5625,277,291.5125,307.0025,292.19,50000,1,0,103.1467726,96.13361457,99.60704548,92.66018365,170.5874796,99.49761187,96.02418096,96.02418096,82.85895736,36.12274423,51.61404014
42971747,42971763,42971757,42971728,42971772,42971767,42971779,42971776,,252.29,234,251.375,269,277.5,297.0125,310.2525,300.23,50000,1,0,103.2355362,96.21365091,99.77359044,92.65371137,170.5406696,99.58320392,96.02326438,96.02326438,82.75575626,36.62398552,84.2130363
42971763,42971744,42971767,42971757,42971723,42971813,42971784,42971761,,249.71,232.6875,248.75,266.5,275,289.025,308.7525,272.8,49900,1,0,102.5001405,95.99158867,99.20663047,92.77654687,170.4362829,99.23372545,96.01868365,96.01868365,83.19534603,33.01345845,5.663033575
42971747,42971744,42971779,42971800,42971728,42971806,42971776,42971723,,250.15,233.5,249.5,265.75,274,285.5125,305.005,274.62,49900,1,0,102.6166921,95.99161134,99.22437768,92.758845,170.5362758,99.25129067,96.01852433,96.01852433,83.16053194,30.8677676,29.15273309
42971763,42971744,42971779,42971757,42971723,42971747,42971776,42971820,,252.3,235.75,251,269,278,293.5,307.0025,299.72,49400,1,0,103.287543,96.19333018,99.72262385,92.66403651,170.6050396,99.54749319,96.01819952,96.01819952,82.78095248,36.96148979,30.86102903
42971735,42971763,42971779,42971728,42971772,42971744,42971776,42971800,,251.69,234.9375,251.25,267.75,279.25,296.75,314.035,297.06,50000,1,0,103.1017123,96.08134824,99.60554071,92.55715577,170.4274702,99.54120532,96.01701285,96.01701285,82.80833849,36.35253445,61.42901182
42971732,42971767,42971784,42971757,42971761,42971735,42971813,42971772,,250.5,233,250.625,269.25,278,295.2625,313.2525,284.56,49900,1,0,102.7607176,96.05631527,99.41983356,92.69279699,170.3825098,99.38038603,96.01686774,96.01686774,83.01465616,34.63406352,43.16307306
42971735,42971744,42971813,42971728,42971772,42971787,42971776,42971747,,251.34,236.4375,251.5,268.0625,276.5,288.7625,305.7575,288.92,49900,1,0,103.0010919,96.07377058,99.46758889,92.67995226,170.5804807,99.41042346,96.01660515,96.01660515,82.95177217,35.08401091,36.42039597
42971747,42971767,42971776,42971750,42971820,42971744,42971738,42971761,,251.8,235,249.375,265.75,275.5,291.25,307.5325,295.29,49800,1,0,103.0654602,96.1001831,99.57160477,92.62876144,170.5668723,99.48729447,96.01587281,96.01587281,82.85573669,36.00706231,52.90492177
42971732,42971779,42971757,42971728,42971820,42971767,42971784,42971747,,251.36,235.5,251.75,267,276.75,291.2875,306.2625,286.59,50000,1,0,103.0086736,96.138319,99.54100775,92.73563025,170.5688962,99.41604872,96.01335997,96.01335997,82.938887,35.27931803,52.58220434
42971822,42971767,42971776,42971750,42971772,42971735,42971738,42971744,,252.21,236,251.125,268.75,277.0375,295.0125,309.7525,303.47,49900,1,0,103.2005751,96.15282082,99.70073956,92.60490208,170.5400854,99.56094785,96.01302911,96.01302911,82.76062002,36.82118401,41.69149697
