Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
37,5137236683,goodtimes32 (2/10),0,146.3,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C Drake Baldwin OF Corbin Carroll OF Heliot Ramos OF Drew Gilbert P Bryce Elder P Tyler Mahle SS Willy Adames,,Mauricio Dubon,SS,11.71%,11
38,5137846482,mb725016 (29/64),0,145.45,1B Rafael Devers 2B Brandon Lowe 3B Nick Gonzales C Henry Davis OF Oneil Cruz OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Walker Buehler SS Konnor Griffin,,Mark Vientos,1B,11.58%,3
39,5137498222,khogan3131,0,145.3,1B Ildemaro Vargas 2B Brandon Lowe 3B Nick Gonzales C Jesus Rodriguez OF Oneil Cruz OF Jordan Walker OF Mauricio Dubon P Bryce Elder P Eduardo Rodriguez SS Konnor Griffin,,Nolan Gorman,3B,11.21%,0
39,5137799105,cyberbob956,0,145.3,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Gonzales C Ivan Herrera OF Oneil Cruz OF Heliot Ramos OF Nathan Church P Bryce Elder P Eduardo Rodriguez SS Konnor Griffin,,Marcell Ozuna,OF,11.13%,10
41,5137859575,LoganGrewe50 (7/9),0,144.45,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Juan Soto OF Oneil Cruz OF Jung Hoo Lee P Bryce Elder P Walker Buehler SS Willy Adames,,Fernando Tatis Jr.,OF,11.00%,9
42,5137783373,pistol80 (1/2),0,144.3,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Gonzales C Drake Baldwin OF Oneil Cruz OF Ryan O'Hearn OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,Xander Bogaerts,SS,10.55%,10
42,5137818638,HammerSZN (1/13),0,144.3,1B Rafael Devers 2B Casey Schmitt 3B Matt Chapman C Drake Baldwin OF Juan Soto OF Jackson Merrill OF Heliot Ramos P Bryce Elder P Tyler Mahle SS Willy Adames,,Shohei Ohtani,1B,10.25%,0
42,5137818645,HammerSZN (8/13),0,144.3,1B Rafael Devers 2B Casey Schmitt 3B Matt Chapman C Drake Baldwin OF Juan Soto OF Jackson Merrill OF Heliot Ramos P Bryce Elder P Tyler Mahle SS Willy Adames,,Ryan O'Hearn,OF,9.49%,5
42,5137828438,RonnieMachine,0,144.3,1B Matt Olson 2B Luis Arraez 3B Nolan Arenado C Drake Baldwin OF Oneil Cruz OF Jordan Walker OF Eli White P Bryce Elder P Tyler Mahle SS Mauricio Dubon,,David Peterson,P,9.25%,14.85
46,5137853238,tpolak25 (83/100),0,143.85,1B Rafael Devers 2B Brandon Lowe 3B Matt Chapman C Jesus Rodriguez OF Juan Soto OF Oneil Cruz OF Heliot Ramos P Bryce Elder P Justin Wrobleski SS Willy Adames,,Marcus Semien,2B,8.43%,2
47,5137375363,rsumrall,0,143.6,1B Spencer Horwitz 2B Luis Arraez 3B Matt Chapman C Jesus Rodriguez OF Juan Soto OF Oneil Cruz OF Jung Hoo Lee P Bryce Elder P David Peterson SS Konnor Griffin,,Nick Gonzales,3B,8.37%,7
48,5137567668,iuvozz (42/56),0,143.2,1B Rafael Devers 2B JJ Wetherholt 3B Matt Chapman C Drake Baldwin OF Shohei Ohtani OF Jordan Walker OF Heliot Ramos P Eduardo Rodriguez P Kyle Leahy SS Willy Adames,,Nolan Arenado,3B,8.13%,4
49,5137858492,Noodled11 (2/2),0,142.4,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Jordan Walker OF Heliot Ramos OF Mauricio Dubon P Bryce Elder P Kyle Leahy SS Xander Bogaerts,,Masyn Winn,SS,8.00%,2
50,5137724129,cagea65 (2/10),0,142.3,1B Rafael Devers 2B Luis Arraez 3B Austin Riley C Drake Baldwin OF Juan Soto OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Tyler Mahle SS Willy Adames,,Matt Chapman,3B,7.98%,14
50,5137820666,giantsquid (48/50),0,142.3,1B Rafael Devers 2B Casey Schmitt 3B Nick Gonzales C Drake Baldwin OF Oneil Cruz OF Ryan O'Hearn OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Heliot Ramos,OF,7.74%,25
52,5137845791,conradical907 (1/20),0,142.1,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Shohei Ohtani OF Kyle Tucker OF Heliot Ramos P Eduardo Rodriguez P Tyler Mahle SS Willy Adames,,Casey Schmitt,2B,7.71%,0
52,5137853163,tpolak25 (8/100),0,142.1,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Shohei Ohtani OF Kyle Tucker OF Heliot Ramos P Eduardo Rodriguez P Tyler Mahle SS Willy Adames,,Jorge Mateo,SS,7.21%,12
52,5137854424,Donaldduck2476 (5/5),0,142.1,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C Drake Baldwin OF Corbin Carroll OF Andy Pages OF Heliot Ramos P Eduardo Rodriguez P Tyler Mahle SS Willy Adames,,Jesus Rodriguez,C,6.81%,5
55,5137742544,knecke (2/2),0,141.6,1B Rafael Devers 2B Fernando Tatis Jr. 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Corbin Carroll OF Jordan Walker P Bryce Elder P David Peterson SS Konnor Griffin,,Ildemaro Vargas,1B,6.65%,11
56,5137853160,tpolak25 (5/100),0,141.3,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Juan Soto OF Corbin Carroll OF Heliot Ramos P Bryce Elder P Tyler Mahle SS Willy Adames,,Fernando Tatis Jr.,2B,6.62%,9
56,5137856657,lostories (12/117),0,141.3,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Adrian Del Castillo OF Oneil Cruz OF Corbin Carroll OF Jung Hoo Lee P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Nathan Church,OF,6.39%,0
58,5137853255,tpolak25 (100/100),0,140.85,1B Rafael Devers 2B Brandon Lowe 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Heliot Ramos OF Drew Gilbert P Bryce Elder P Justin Wrobleski SS Xander Bogaerts,,Sean Murphy,C,6.15%,2
59,5137654837,trevstudio (2/8),0,140.65,1B Rafael Devers 2B Casey Schmitt 3B Max Muncy C Jesus Rodriguez OF Jordan Walker OF Jung Hoo Lee OF Heliot Ramos P Justin Wrobleski P Eduardo Rodriguez SS Konnor Griffin,,Bo Bichette,3B,6.09%,2
60,5137761381,JoseA2,0,140.3,1B Rafael Devers 2B Brandon Lowe 3B Nick Gonzales C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Marcell Ozuna P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,Luis Arraez,2B,6.04%,11
61,5137853233,tpolak25 (78/100),0,139.85,1B Rafael Devers 2B JJ Wetherholt 3B Nolan Gorman C Ivan Herrera OF Oneil Cruz OF Jordan Walker OF Heliot Ramos P Bryce Elder P Justin Wrobleski SS Willy Adames,,Gavin Sheets,1B,5.80%,2
62,5137856689,lostories (44/117),0,139.65,1B Shohei Ohtani 2B Luis Arraez 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Kyle Tucker OF Heliot Ramos P Justin Wrobleski P Eduardo Rodriguez SS Willy Adames,,Mauricio Dubon,OF,5.64%,11
63,5137836127,J-Rock-R,0,139.4,1B Ildemaro Vargas 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Jordan Walker OF Mauricio Dubon P Bryce Elder P Kyle Leahy SS Jorge Mateo,,Austin Slater,OF,5.59%,0
64,5137806748,gary5141,0,139.3,1B Alec Burleson 2B Ildemaro Vargas 3B Nolan Arenado C Ivan Herrera OF Oneil Cruz OF Jordan Walker OF Marcell Ozuna P Bryce Elder P Eduardo Rodriguez SS Mauricio Dubon,,Carson Benge,OF,5.11%,5
65,5137567666,iuvozz (40/56),0,139.1,1B Matt Olson 2B Ketel Marte 3B Matt Chapman C Pedro Pages OF Shohei Ohtani OF Jordan Walker OF Heliot Ramos P Eduardo Rodriguez P Tyler Mahle SS Willy Adames,,Hyeseong Kim,SS,4.98%,0
66,5137853210,tpolak25 (55/100),0,138.85,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C Jesus Rodriguez OF Oneil Cruz OF Corbin Carroll OF Jung Hoo Lee P Bryce Elder P Justin Wrobleski SS Willy Adames,,Eli White,OF,4.61%,5
67,5137567650,iuvozz (24/56),0,138.4,1B Matt Olson 2B Ketel Marte 3B Austin Riley C Pedro Pages OF Juan Soto OF Jordan Walker OF Heliot Ramos P Bryce Elder P Kyle Leahy SS Willy Adames,,Luis Torrens,C,4.50%,10
67,5137770873,ShamWowzah,0,138.4,1B Shohei Ohtani 2B JJ Wetherholt 3B Nick Gonzales C Drake Baldwin OF Jordan Walker OF Heliot Ramos OF Ryan Waldschmidt P Bryce Elder P Kyle Leahy SS Xander Bogaerts,,Henry Davis,C,4.45%,7
67,5137858185,BangBangBilal (6/6),0,138.4,1B Matt Olson 2B Brandon Lowe 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Heliot Ramos OF Eli White P Bryce Elder P Bubba Chandler SS Mauricio Dubon,,Ryan Waldschmidt,OF,4.27%,16
