P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42502386,42502395,42502448,42502403,42502494,42502482,42502430,42502548,42502454,42502525,111.36,49800,24.21,201.96,8.9794,0.0417
42502395,42502383,42502544,42502403,42502537,42502423,42502500,42502479,42502609,42502439,105.51,49900,6.80,193.71,7.7817,0.0570
42502385,42502395,42502473,42502417,42502603,42502482,42502415,42502659,42502447,42502412,106.84,49700,13.49,195.81,17.2945,0.0613
42502386,42502395,42502539,42502417,42502494,42502482,42502415,42502659,42502447,42502412,106.21,49700,13.52,196.96,10.7963,0.0567
42502384,42502385,42502544,42502437,42502461,42502441,42502436,42502525,42502616,42502465,106.01,48700,13.79,193.55,16.3261,0.0610
42502385,42502383,42502509,42502422,42502586,42502510,42502415,42502548,42502465,42502525,110.66,49700,16.16,199.00,6.9713,0.0493
42502385,42502395,42502509,42502443,42502603,42502428,42502419,42502610,42502403,42502466,106.92,50000,8.84,194.81,10.8202,0.0550
42502383,42502389,42502480,42502403,42502501,42502491,42502553,42502524,42502659,42502479,103.72,48700,8.93,190.25,24.2004,0.0710
42502395,42502386,42502509,42502437,42502494,42502482,42502419,42502406,42502524,42502525,112.04,49700,23.23,203.96,7.4381,0.0530
42502386,42502383,42502544,42502422,42502442,42502482,42502513,42502609,42502440,42502444,105.45,50000,6.97,193.15,12.3062,0.0407
42502395,42502383,42502509,42502407,42502603,42502451,42502553,42502524,42502435,42502491,104.66,48600,11.37,189.71,50.4965,0.0950
42502383,42502395,42502480,42502403,42502510,42502491,42502553,42502548,42502454,42502435,106.26,49900,11.04,192.71,34.0225,0.0893
42502383,42502395,42502448,42502437,42502603,42502482,42502436,42502403,42502616,42502524,112.95,49800,21.49,201.71,10.9418,0.0523
42502395,42502384,42502539,42502433,42502472,42502482,42502571,42502524,42502445,42502405,102.64,49100,6.69,191.26,14.4781,0.0530
42502395,42502383,42502509,42502437,42502537,42502482,42502430,42502669,42502462,42502403,114.28,50000,17.49,206.71,5.9526,0.0497
42502383,42502395,42502539,42502417,42502494,42502451,42502415,42502659,42502447,42502474,108.02,49900,14.40,195.71,15.5115,0.0577
42502383,42502395,42502480,42502403,42502510,42502451,42502553,42502491,42502447,42502524,107.05,50000,12.16,192.71,34.2567,0.0893
42502383,42502385,42502480,42502437,42502442,42502510,42502553,42502556,42502525,42502435,105.87,49200,8.18,192.00,25.7597,0.0720
42502395,42502386,42502539,42502417,42502494,42502603,42502415,42502403,42502659,42502447,105.78,49600,13.94,194.96,10.4930,0.0460
42502386,42502383,42502448,42502437,42502537,42502441,42502430,42502474,42502610,42502525,110.37,49800,15.39,199.15,6.9771,0.0467
42502386,42502383,42502509,42502422,42502494,42502459,42502500,42502474,42502475,42502525,109.81,49900,13.69,198.15,7.5139,0.0390
42502386,42502399,42502539,42502537,42502442,42502409,42502419,42502406,42502616,42502525,102.97,49600,10.35,193.90,10.2834,0.0547
42502383,42502395,42502544,42502476,42502472,42502482,42502436,42502453,42502440,42502669,104.13,47700,8.54,192.71,15.2458,0.0550
42502392,42502388,42502539,42502437,42502586,42502603,42502430,42502403,42502525,42502524,104.42,47500,16.37,192.40,1.6469,0.0137
42502395,42502386,42502544,42502437,42502461,42502441,42502497,42502465,42502406,42502525,104.95,49600,12.15,193.96,26.7734,0.0767
42502397,42502399,42502471,42502437,42502603,42502451,42502430,42502403,42502586,42502406,105.26,49700,18.26,194.35,1.3803,0.0173
42502387,42502395,42502473,42502417,42502603,42502451,42502415,42502412,42502659,42502447,103.33,49800,12.70,191.76,13.0458,0.0487
42502386,42502395,42502509,42502433,42502472,42502451,42502419,42502445,42502504,42502452,103.95,49500,9.76,194.96,14.1018,0.0543
42502392,42502395,42502473,42502417,42502603,42502482,42502415,42502403,42502447,42502659,104.49,49600,13.23,193.56,14.7962,0.0550
42502386,42502395,42502480,42502437,42502603,42502408,42502430,42502454,42502616,42502556,103.04,47700,11.15,189.96,6.6046,0.0297
42502386,42502385,42502509,42502443,42502494,42502409,42502430,42502525,42502669,42502616,106.94,47900,12.34,196.25,8.0059,0.0400
42502395,42502386,42502448,42502518,42502537,42502451,42502430,42502412,42502418,42502556,104.71,49700,8.98,193.96,23.4118,0.0640
42502386,42502395,42502509,42502437,42502494,42502603,42502430,42502412,42502616,42502403,111.70,49800,24.71,202.96,8.4551,0.0463
42502395,42502386,42502509,42502493,42502494,42502603,42502463,42502421,42502427,42502406,103.09,49800,11.05,191.11,8.0558,0.0307
42502386,42502395,42502539,42502577,42502494,42502409,42502415,42502406,42502447,42502659,104.49,49900,9.71,194.96,7.4515,0.0407
42502385,42502395,42502455,42502545,42502468,42502482,42502484,42502406,42502426,42502616,102.77,49100,4.74,187.81,12.8446,0.0397
42502383,42502395,42502471,42502407,42502494,42502459,42502488,42502586,42502579,42502453,104.07,49000,9.31,189.71,7.4678,0.0287
42502386,42502395,42502509,42502518,42502537,42502441,42502419,42502452,42502406,42502525,107.01,49500,11.42,198.96,9.2316,0.0477
42502395,42502384,42502480,42502422,42502510,42502491,42502419,42502524,42502413,42502504,105.23,49900,12.30,192.26,21.3660,0.0700
42502390,42502387,42502448,42502422,42502494,42502451,42502463,42502548,42502579,42502412,104.82,49600,16.84,195.40,2.2934,0.0213
42502397,42502385,42502539,42502422,42502586,42502482,42502419,42502454,42502548,42502406,109.98,49700,19.14,201.70,2.6199,0.0250
42502386,42502395,42502448,42502422,42502510,42502491,42502553,42502412,42502524,42502413,105.58,50000,12.47,193.96,17.9637,0.0770
42502385,42502395,42502448,42502437,42502577,42502482,42502419,42502452,42502412,42502548,110.97,49800,17.00,202.81,9.7441,0.0480
42502386,42502395,42502509,42502443,42502494,42502428,42502430,42502406,42502610,42502466,105.01,49900,8.45,193.96,16.0030,0.0573
42502395,42502383,42502509,42502476,42502603,42502451,42502436,42502440,42502669,42502453,104.71,47200,11.70,191.71,9.7843,0.0390
42502390,42502383,42502471,42502632,42502586,42502451,42502488,42502425,42502609,42502403,103.00,49800,6.80,190.35,2.9539,0.0160
42502386,42502395,42502539,42502417,42502537,42502451,42502415,42502659,42502447,42502412,105.05,49700,11.30,194.96,14.4106,0.0570
42502383,42502395,42502480,42502407,42502494,42502491,42502553,42502524,42502454,42502474,105.86,49300,11.78,191.71,44.1433,0.0970
42502386,42502395,42502480,42502422,42502494,42502451,42502459,42502524,42502525,42502406,109.37,50000,19.47,198.96,7.7365,0.0520
42502397,42502385,42502455,42502422,42502472,42502409,42502553,42502525,42502548,42502616,103.19,47300,9.03,192.70,6.4479,0.0390
42502386,42502395,42502480,42502422,42502510,42502438,42502553,42502403,42502524,42502525,105.61,49300,10.34,192.96,17.0821,0.0653
42502386,42502395,42502455,42502403,42502494,42502451,42502571,42502525,42502474,42502616,106.66,47700,12.74,194.96,5.5272,0.0263
42502383,42502395,42502471,42502437,42502603,42502482,42502571,42502579,42502548,42502412,108.36,47100,13.45,194.71,5.7720,0.0307
42502385,42502395,42502509,42502433,42502472,42502482,42502419,42502504,42502452,42502445,106.27,49300,10.14,197.81,21.4502,0.0567
42502386,42502395,42502509,42502518,42502537,42502451,42502430,42502418,42502556,42502406,104.98,49600,9.00,194.96,22.0955,0.0633
42502387,42502386,42502471,42502577,42502494,42502408,42502463,42502616,42502548,42502406,102.82,49900,10.14,192.20,4.4880,0.0383
42502383,42502385,42502509,42502422,42502494,42502469,42502488,42502406,42502609,42502669,111.20,50000,11.29,201.00,8.5616,0.0493
42502386,42502395,42502509,42502437,42502510,42502482,42502430,42502412,42502474,42502445,108.36,49800,15.77,198.96,8.3470,0.0500
42502395,42502386,42502509,42502437,42502603,42502482,42502430,42502412,42502406,42502616,111.26,49700,23.45,202.96,10.5223,0.0577
42502395,42502385,42502509,42502422,42502537,42502451,42502436,42502403,42502525,42502556,112.31,49700,16.78,204.81,7.8957,0.0433
42502395,42502383,42502509,42502422,42502494,42502603,42502419,42502403,42502525,42502659,114.99,49700,25.77,205.71,6.4156,0.0320
