entity,k4_cluster,n_slates,pct_5stack,pct_4stack,pct_3_3stack,pct_other_stack,bring_back_rate,pct_HP_HO,pct_HP_LO,pct_LP_HO,pct_LP_LO,mean_pairwise_jaccard,salary_total_mean,salary_std_mean,own_mean,own_std
needlunchmoney,1,1,0.52,0.44666666666666666,0.02,0.013333333333333334,0.17333333333333334,0.49333333333333335,0.08,0.08,0.3466666666666667,0.11095973896023109,50072.0,2119.3154658931353,15.659053333333334,3.7086037746240237
needlunchmoney,2,6,0.4533333333333333,0.39999999999999997,0.04888888888888889,0.09777777777777778,0.15666666666666665,0.3944444444444444,0.11666666666666668,0.06333333333333334,0.4255555555555555,0.08406413623484783,49422.333333333336,2081.0290686455637,12.07334111111111,2.765524930765513
needlunchmoney,3,5,0.5773333333333334,0.33066666666666666,0.03866666666666667,0.05333333333333333,0.132,0.256,0.128,0.09066666666666666,0.5253333333333334,0.06820132733025375,49532.799999999996,2180.2848005833794,9.809084000000002,2.495245231529481
needlunchmoney,4,7,0.49523809523809526,0.40857142857142853,0.0419047619047619,0.054285714285714284,0.19238095238095237,0.4285714285714285,0.11714285714285713,0.050476190476190466,0.4038095238095239,0.10999101879397122,49557.2380952381,2217.7603970462396,14.938581904761906,3.3020019464303196
bgreseth,1,2,0.6633333333333333,0.3333333333333333,0.0033333333333333335,0.0,0.33666666666666667,0.3333333333333333,0.12,0.05,0.49666666666666665,0.12766193611040688,49574.666666666664,1847.9111035168266,16.720443333333336,3.6420875468950618
bgreseth,2,6,0.7833333333333333,0.21444444444444444,0.0022222222222222222,0.0,0.2111111111111111,0.518888888888889,0.13666666666666666,0.036666666666666674,0.30777777777777776,0.1101185727101464,49692.11111111112,2103.7260984328027,12.741628888888888,2.7594484340735956
bgreseth,3,3,0.8555555555555555,0.14444444444444446,0.0,0.0,0.17555555555555558,0.3511111111111111,0.17777777777777778,0.024444444444444446,0.4466666666666667,0.08226373886432735,49734.22222222222,2154.686944612791,11.161651111111112,3.0693476145491636
bgreseth,4,5,0.8306666666666669,0.16799999999999998,0.0013333333333333335,0.0,0.26,0.42400000000000004,0.09333333333333335,0.06266666666666668,0.42000000000000004,0.12376788966760455,49674.0,2046.7555512037331,15.344128000000001,3.6532793069402265
youdacao,1,1,0.9466666666666667,0.05333333333333334,0.0,0.0,0.20666666666666667,0.4866666666666667,0.08,0.16666666666666666,0.26666666666666666,0.17080621506119326,50326.0,2308.888490750776,16.194060000000004,2.4816677113854975
youdacao,2,6,0.9722222222222223,0.027777777777777776,0.0,0.0,0.2544444444444445,0.5255555555555556,0.11555555555555556,0.17666666666666664,0.18222222222222226,0.1316720016670392,49511.777777777774,2142.972466103253,13.48798777777778,1.8283179345072151
youdacao,3,5,0.784,0.21599999999999997,0.0,0.0,0.3026666666666667,0.5893333333333333,0.08,0.11066666666666666,0.22000000000000003,0.22625378303313423,49571.73333333334,2195.2945665902835,11.620862666666664,1.7892768284211478
youdacao,4,4,0.6083333333333334,0.38,0.006666666666666667,0.005,0.44166666666666665,0.7516666666666667,0.045,0.14166666666666666,0.06166666666666667,0.1997075571721778,49607.5,2323.846285899114,18.030266666666666,2.0415951385769024
b_heals152,1,1,0.5066666666666667,0.34,0.08666666666666667,0.06666666666666667,0.3333333333333333,0.36,0.10666666666666667,0.07333333333333333,0.46,0.09263156114195695,49790.666666666664,2088.603068613136,14.456726666666667,3.4122834385919476
b_heals152,2,6,0.5922222222222222,0.2588888888888889,0.06555555555555558,0.08333333333333333,0.2544444444444445,0.29444444444444445,0.07222222222222223,0.09999999999999999,0.5333333333333333,0.07170314706662602,48795.22222222222,2059.570253604326,11.59293888888889,2.9723508325048082
b_heals152,3,5,0.672,0.24000000000000005,0.04266666666666667,0.04533333333333334,0.24,0.24666666666666667,0.08666666666666667,0.07733333333333334,0.5893333333333333,0.06460285078922842,48976.8,2076.534883878152,9.764233333333333,2.9161511222604033
b_heals152,4,10,0.6886666666666665,0.23200000000000004,0.03333333333333333,0.046,0.32133333333333336,0.25,0.10599999999999998,0.07466666666666666,0.5693333333333332,0.09262728038828354,48670.59999999999,2076.318037962862,13.986697999999999,3.3828123938230186
pro_avg,1,11,0.59125,0.28125,0.06458333333333333,0.06291666666666666,0.24541666666666667,0.4079166666666667,0.07375000000000001,0.10625,0.4120833333333333,0.1333737643747532,49459.25,1984.4760320977798,17.483831249999998,3.661465422120893
pro_avg,2,48,0.6770833333333333,0.23569444444444443,0.04125000000000001,0.04597222222222222,0.19861111111111113,0.39208333333333334,0.08652777777777779,0.12097222222222222,0.4004166666666667,0.09350720264086997,49318.22222222222,2083.0075818582764,12.403085,2.6635955522026653
pro_avg,3,38,0.7242777777777778,0.22005555555555556,0.029833333333333337,0.025833333333333333,0.1801111111111111,0.37872222222222224,0.09005555555555556,0.1193888888888889,0.41183333333333333,0.10200619648221629,49419.49444444444,2154.1264447352655,10.912023722222223,2.409353837613018
pro_avg,4,65,0.6577890211640212,0.2653399470899471,0.03814550264550264,0.0387255291005291,0.2558392857142857,0.42425198412698417,0.07991600529100529,0.11826785714285715,0.37756415343915345,0.1255751122233621,49264.65337301587,2157.4637639875973,15.626574497354497,2.9466162386782555
