rank,tier,mode,stackPattern,bringBackRequired,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwn,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherSharesGameWithBringBack,playerNames,playerIds,playerTeams,playerOwn
21,frontier,chalk-core,5-1,true,5,1,STL,LAD,1,5,6,6,2120,23000,88.52999999999999,7.516445035676195,5.730308807683368,49600,false,false,Chris Sale;Emerson Hancock;Francisco Alvarez;Alec Burleson;JJ Wetherholt;Ramon Urias;Masyn Winn;Kyle Tucker;Ezequiel Duran;Jordan Walker,42957638;42957640;42957715;42957684;42957670;42957766;42957731;42957657;42957791;42957665,ATL;SEA;NYM;STL;STL;STL;STL;LAD;TEX;STL,39.17;12.64;9.52;6.84;7.06;2.21;4.80;6.70;9.10;3.91
22,frontier,chalk-core,5-1,true,5,1,LAD,STL,0,5,5,5,1991.883530731654,22500,86.81,6.1750192873950045,5.062486804421206,49800,false,false,Kumar Rocker;Chris Sale;Edgar Quero;Freddie Freeman;Alex Freeland;Austin Riley;Hyeseong Kim;Shohei Ohtani;Teoscar Hernandez;Jo Adell,42957644;42957638;42957778;42957660;42957779;42957673;42957745;42957649;42957681;42957685,TEX;ATL;CWS;LAD;LAD;ATL;LAD;LAD;LAD;LAA,4.77;39.17;1.65;6.70;6.09;9.75;5.94;15.53;4.88;1.46
23,frontier,chalk-core,4-3,true,4,3,KC,SEA,0,5,5,4,2318.2105167564055,23900,90.92999999999999,6.970401226986441,4.8327783167437826,48300,false,false,Chris Sale;Michael King;Carter Jensen;Jake Burger;Michael Massey;Maikel Garcia;Corey Seager;Alejandro Osuna;Mike Trout;Isaac Collins,42957638;42957639;42957694;42957725;42957752;42957682;42957669;42957816;42957651;42957782,ATL;SD;KC;TEX;KC;KC;TEX;TEX;LAA;KC,39.17;23.23;3.98;10.49;2.65;5.88;11.79;6.28;1.56;3.96
24,frontier,chalk-core,4-3,true,4,3,COL,ATL,1,4,5,5,1577.3395322504284,20800,87.73,6.581956360653042,5.779075344754381,50000,false,false,Michael McGreevy;Michael King;Francisco Alvarez;TJ Rumfield;Marcus Semien;Willi Castro;Ezequiel Tovar;Ronald Acuna Jr.;Brenton Doyle;Juan Soto,42957645;42957639;42957715;42957712;42957729;42957679;42957689;42957653;42957722;42957652,STL;SD;NYM;COL;NYM;COL;COL;ATL;COL;NYM,5.28;23.23;9.52;2.43;9.13;4.76;1.21;22.63;4.95;9.13
25,frontier,mid,5-2,false,5,2,KC,SEA,0,3,3,5,1910,22000,95.61000000000001,8.746195413307376,7.822399221406859,49700,false,false,Kumar Rocker;Chris Sale;Salvador Perez;Vinnie Pasquantino;Ozzie Albies;Maikel Garcia;Corey Seager;Ronald Acuna Jr.;Isaac Collins;Kyle Isbel,42957644;42957638;42957710;42957678;42957666;42957682;42957669;42957653;42957782;42957781,TEX;ATL;KC;KC;ATL;KC;TEX;ATL;KC;KC,4.77;39.17;6.18;5.36;22.19;5.88;11.79;22.63;3.96;3.07
26,frontier,mid,5-2,false,5,2,STL,LAD,0,3,3,6,2059.1503102007878,21400,91.48999999999998,8.835978111623227,7.822937354363466,48300,false,true,Michael McGreevy;Chris Sale;Ivan Herrera;Matt Olson;JJ Wetherholt;Leo Rivas;Masyn Winn;Jordan Walker;Victor Scott II;Ronald Acuna Jr.,42957645;42957638;42957705;42957656;42957670;42957820;42957731;42957665;42957822;42957653,STL;ATL;STL;ATL;STL;SEA;STL;STL;STL;ATL,5.28;39.17;7.90;20.51;7.06;5.88;4.80;3.91;4.91;22.63
27,frontier,mid,5-2,false,5,2,SD,CWS,1,4,5,6,1596.9971822141704,20700,96.88999999999999,10.129575210820754,8.243463812861304,48600,false,false,Roki Sasaki;Reid Detmers;Hunter Goodman;Munetaka Murakami;Jake Cronenworth;Manny Machado;Xander Bogaerts;Jordan Beck;Miguel Andujar;Fernando Tatis Jr.,42957643;42957641;42957667;42957655;42957769;42957686;42957692;42957738;42957736;42957661,LAD;LAA;COL;CWS;SD;SD;SD;COL;SD;SD,15.17;35.16;3.33;3.47;8.51;12.60;13.29;6.31;9.69;21.18
28,frontier,mid,5-2,false,5,2,KC,SEA,2,3,4,7,2287.3565528793274,23600,101.01000000000003,8.829773361484946,6.1668252339633,49000,false,false,Chris Sale;Reid Detmers;Cal Raleigh;Vinnie Pasquantino;Ozzie Albies;Leo Rivas;Bobby Witt Jr.;Isaac Collins;Jac Caglianone;Kyle Isbel,42957638;42957641;42957659;42957678;42957666;42957820;42957648;42957782;42957727;42957781,ATL;LAA;SEA;KC;ATL;SEA;KC;KC;KC;KC,39.17;35.16;9.62;5.36;22.19;5.88;6.33;3.96;4.04;3.07
29,frontier,mid,5-2,false,5,2,TEX,DET,0,4,4,5,2654.0723426462964,25800,98.38,10.094449580273915,7.31501082656699,49700,false,false,Chris Sale;Nolan McLean;Edgar Quero;Jake Burger;Chase Meidroth;Josh Jung;Corey Seager;Joc Pederson;Evan Carter;Juan Soto,42957638;42957636;42957778;42957725;42957719;42957720;42957669;42957785;42957728;42957652,ATL;NYM;CWS;TEX;CWS;TEX;TEX;TEX;TEX;NYM,39.17;34.21;1.65;10.49;2.28;12.03;11.79;11.99;13.38;9.13
30,frontier,mid,5-2,false,5,2,KC,SEA,0,4,5,5,1897.6037521042163,22900,94.24000000000002,8.351371438476168,6.140234965547993,49100,false,false,Michael King;Reid Detmers;Salvador Perez;Vinnie Pasquantino;Michael Massey;Maikel Garcia;Bobby Witt Jr.;Mauricio Dubon;Jordan Beck;Brenton Doyle,42957639;42957641;42957710;42957678;42957752;42957682;42957648;42957708;42957738;42957722,SD;LAA;KC;KC;KC;KC;KC;ATL;COL;COL,23.23;35.16;6.18;5.36;2.65;5.88;6.33;19.80;6.31;4.95
