Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
16462,5042172234,bigt66 (2/3),0,245.5,C Jarrett Allen F Derik Queen G T.J. McConnell PF Pascal Siakam PG Tre Jones SF Jaylon Tyson SG Brandon Ingram UTIL Lonzo Ball,,,,,
16462,5042185106,dcmayes,0,245.5,C Yves Missi F Derik Queen G James Harden PF Jarace Walker PG Jamal Shead SF Aaron Nesmith SG Brandon Ingram UTIL Nic Claxton,,,,,
16462,5042189091,loegs14 (1/40),0,245.5,C Derik Queen F Noah Clowney G Coby White PF Zion Williamson PG Craig Porter Jr. SF Aaron Nesmith SG Brandon Ingram UTIL Sandro Mamukelashvili,,,,,
16462,5042212837,moklovin (39/150),0,245.5,C Joel Embiid F Collin Murray-Boyles G Coby White PF Derik Queen PG Jamal Shead SF Johnny Furphy SG Drake Powell UTIL Michael Porter Jr.,,,,,
16462,5042230581,Heibs22 (66/150),0,245.5,C Day'Ron Sharpe F Scottie Barnes G James Harden PF Saddiq Bey PG T.J. McConnell SF Johnny Furphy SG Cam Thomas UTIL Nic Claxton,,,,,
16462,5042265697,zdavis33,0,245.5,C Yves Missi F Collin Murray-Boyles G Andrew Nembhard PF Noah Clowney PG T.J. McConnell SF Paul George SG Donovan Mitchell UTIL Coby White,,,,,
16462,5042291890,awen419 (35/150),0,245.5,C Nikola Vucevic F Jordan Miller G Tyrese Maxey PF Nicolas Batum PG Craig Porter Jr. SF Johnny Furphy SG Donovan Mitchell UTIL T.J. McConnell,,,,,
16462,5042310442,sirrouse3 (1/2),0,245.5,C Evan Mobley F Scottie Barnes G Jordan Miller PF Nicolas Batum PG Jeremiah Fears SF Kobe Sanders SG Brandon Ingram UTIL Coby White,,,,,
16462,5042317318,swishersweets21 (2/2),0,245.5,C Day'Ron Sharpe F Jarace Walker G Ayo Dosunmu PF Zion Williamson PG T.J. McConnell SF De'Andre Hunter SG Donovan Mitchell UTIL Nikola Vucevic,,,,,
16462,5042337921,keg4540 (53/150),0,245.5,C Day'Ron Sharpe F Jordan Miller G James Harden PF Scottie Barnes PG Craig Porter Jr. SF Johnny Furphy SG Brandon Ingram UTIL Egor Demin,,,,,
16462,5042342710,bghead65,0,245.5,C Collin Murray-Boyles F Scottie Barnes G Gradey Dick PF Pascal Siakam PG Quenton Jackson SF Isaac Okoro SG Donovan Mitchell UTIL Craig Porter Jr.,,,,,
16462,5042347031,magneto999 (6/50),0,245.5,C Jalen Smith F Kelly Oubre Jr. G Brandon Ingram PF Paul George PG Andrew Nembhard SF Aaron Nesmith SG Coby White UTIL Collin Murray-Boyles,,,,,
16462,5042370292,codymane37,0,245.5,C Jarrett Allen F Aaron Nesmith G Jeremiah Fears PF Matas Buzelis PG Andrew Nembhard SF Saddiq Bey SG Coby White UTIL Paul George,,,,,
16462,5042392194,jlvannoy013,0,245.5,C Collin Murray-Boyles F Gradey Dick G Jeremiah Fears PF Matas Buzelis PG James Harden SF Aaron Nesmith SG Cam Thomas UTIL Coby White,,,,,
16462,5042392231,McLongrod (4/5),0,245.5,C Derik Queen F Gradey Dick G Brandon Ingram PF Scottie Barnes PG Jeremiah Fears SF Paul George SG Drake Powell UTIL Coby White,,,,,
16462,5042399808,jecarl2,0,245.5,C Nikola Vucevic F Collin Murray-Boyles G Trey Murphy III PF Zion Williamson PG Craig Porter Jr. SF Jarace Walker SG VJ Edgecombe UTIL Jordan Miller,,,,,
16462,5042453813,Skol_Krusher (4/150),0,245.5,C Joel Embiid F Aaron Nesmith G Craig Porter Jr. PF Pascal Siakam PG T.J. McConnell SF Johnny Furphy SG Coby White UTIL Nic Claxton,,,,,
16462,5042472685,Go0ch (4/5),0,245.5,C Nikola Vucevic F Pascal Siakam G Brandon Ingram PF Jarace Walker PG Jamal Shead SF Johnny Furphy SG Drake Powell UTIL Scottie Barnes,,,,,
16462,5042472694,skafriha (3/13),0,245.5,C Nikola Vucevic F Gradey Dick G Brandon Ingram PF Scottie Barnes PG Craig Porter Jr. SF Johnny Furphy SG Trey Murphy III UTIL Kobe Sanders,,,,,
16462,5042485487,aarondp987 (99/150),0,245.5,C Ivica Zubac F Scottie Barnes G Craig Porter Jr. PF Collin Murray-Boyles PG T.J. McConnell SF Aaron Nesmith SG Brandon Ingram UTIL Jamal Shead,,,,,
16462,5042492326,dtbolt,0,245.5,C Jay Huff F Derik Queen G Drake Powell PF Dominick Barlow PG Craig Porter Jr. SF Michael Porter Jr. SG Donovan Mitchell UTIL Brandon Ingram,,,,,
16462,5042506015,Big125baby,0,245.5,C Derik Queen F Matas Buzelis G Cam Thomas PF Zion Williamson PG Jeremiah Fears SF Aaron Nesmith SG Coby White UTIL Ayo Dosunmu,,,,,
16462,5042541319,THE_PHANTOM_1 (8/30),0,245.5,C Jarrett Allen F Pascal Siakam G Brandon Ingram PF Jarace Walker PG T.J. McConnell SF Jaylon Tyson SG Drake Powell UTIL Joel Embiid,,,,,
16462,5042568113,tenaciousdjones (57/83),0,245.5,C Sandro Mamukelashvili F Kobe Sanders G Gradey Dick PF Matas Buzelis PG Craig Porter Jr. SF Aaron Nesmith SG Donovan Mitchell UTIL James Harden,,,,,
16462,5042568127,tenaciousdjones (71/83),0,245.5,C Nikola Vucevic F Kobe Sanders G Jamal Shead PF Nicolas Batum PG Craig Porter Jr. SF Johnny Furphy SG Donovan Mitchell UTIL James Harden,,,,,
16462,5042568174,conradical907 (76/100),0,245.5,C Nic Claxton F Michael Porter Jr. G Kobe Sanders PF Matas Buzelis PG T.J. McConnell SF Aaron Nesmith SG Coby White UTIL Brandon Ingram,,,,,
16462,5042574675,footballdelta (45/50),0,245.5,C Nic Claxton F John Collins G Ayo Dosunmu PF Pascal Siakam PG Jeremiah Fears SF Paul George SG Coby White UTIL Noah Clowney,,,,,
16499,5041898612,Crapy226 (3/3),0,245.25,C Day'Ron Sharpe F Jordan Miller G Brandon Ingram PF Scottie Barnes PG Tre Jones SF Gradey Dick SG Donovan Mitchell UTIL Nicolas Batum,,,,,
16499,5041933198,austinturner773 (84/150),0,245.25,C Nic Claxton F Aaron Nesmith G Gradey Dick PF De'Andre Hunter PG Andrew Nembhard SF Jarace Walker SG Donovan Mitchell UTIL Brandon Ingram,,,,,
16499,5041934754,jamessimjames (2/4),0,245.25,C Nic Claxton F Gradey Dick G James Harden PF Jarace Walker PG Tyrese Maxey SF AJ Lawson SG Donovan Mitchell UTIL Karlo Matkovic,,,,,
16499,5041946310,OneDropKing (20/150),0,245.25,C Jay Huff F Jarace Walker G Brandon Ingram PF Pascal Siakam PG Andrew Nembhard SF Aaron Nesmith SG Coby White UTIL Egor Demin,,,,,
16499,5041946426,OneDropKing (136/150),0,245.25,C Nic Claxton F Michael Porter Jr. G Jamal Shead PF Matas Buzelis PG Egor Demin SF Drake Powell SG Coby White UTIL Nikola Vucevic,,,,,
16499,5041979973,hankfarley,0,245.25,C Ivica Zubac F Paul George G Andrew Nembhard PF Patrick Williams PG Craig Porter Jr. SF Aaron Nesmith SG Gradey Dick UTIL Tyrese Maxey,,,,,
